year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI,actual_index_total
1960,2382594,3424,314,236,478,2396,32319,10081,19636,2602,South Carolina,South Carolina State-Level Estimate,,35743
1961,2407000,3318,280,224,501,2313,34857,11524,20504,2829,South Carolina,South Carolina State-Level Estimate,,38175
1962,2436000,3012,247,172,468,2125,37835,12299,22696,2840,South Carolina,South Carolina State-Level Estimate,,40847
1963,2483000,4075,249,150,536,3140,41379,14288,23783,3308,South Carolina,South Carolina State-Level Estimate,,45454
1964,2555000,4240,206,271,659,3104,48199,15874,27982,4343,South Carolina,South Carolina State-Level Estimate,,52439
1965,2542000,4504,245,285,546,3428,42752,13374,25450,3928,South Carolina,South Carolina State-Level Estimate,,47256
1966,2586000,5844,301,352,744,4447,45424,13865,27417,4142,South Carolina,South Carolina State-Level Estimate,,51268
1967,2599000,6015,291,379,909,4436,48330,16603,27509,4218,South Carolina,South Carolina State-Level Estimate,,54345
1968,2692000,5853,366,404,1152,3931,52714,19073,28694,4947,South Carolina,South Carolina State-Level Estimate,,58567
1969,2692000,6449,336,378,1347,4388,62228,21711,34099,6418,South Carolina,South Carolina State-Level Estimate,,68677
1970,2590516,7412,377,467,1557,5011,71808,26407,38740,6661,South Carolina,South Carolina State-Level Estimate,,79220
1971,2627000,8188,436,478,1640,5634,74259,27077,41414,5768,South Carolina,South Carolina State-Level Estimate,,82447
1972,2665000,10312,447,599,1762,7504,76691,29760,41003,5928,South Carolina,South Carolina State-Level Estimate,,87003
1973,2726000,10757,392,612,2158,7595,79937,32557,40675,6705,South Carolina,South Carolina State-Level Estimate,,90694
1974,2784000,12688,452,730,3547,7959,103273,43497,51914,7862,South Carolina,South Carolina State-Level Estimate,,115961
1975,2818000,14412,414,748,3125,10125,116385,48306,60764,7315,South Carolina,South Carolina State-Level Estimate,,130797
1976,2848000,17065,331,909,3010,12815,122684,44247,71292,7145,South Carolina,South Carolina State-Level Estimate,,139749
1977,2876000,18297,343,950,3046,13958,120823,46407,67368,7048,South Carolina,South Carolina State-Level Estimate,,139120
1978,2918000,18604,336,1032,2955,14281,124259,43729,72472,8058,South Carolina,South Carolina State-Level Estimate,,142863
1979,2932000,19889,368,1006,3156,15359,128651,44160,75807,8684,South Carolina,South Carolina State-Level Estimate,,148540
1980,3064557,20225,348,1148,3620,15109,146461,51177,85905,9379,South Carolina,South Carolina State-Level Estimate,,166686
1981,3166000,20275,330,1148,3805,14992,148127,50520,88887,8720,South Carolina,South Carolina State-Level Estimate,,168402
1982,3203000,23061,348,1242,3921,17550,148657,47752,92009,8896,South Carolina,South Carolina State-Level Estimate,,171718
1983,3264000,20133,321,1144,3425,15243,135590,42263,85501,7826,South Carolina,South Carolina State-Level Estimate,,155723
1984,3300000,20607,305,1329,3408,15565,133270,40646,84753,7871,South Carolina,South Carolina State-Level Estimate,,153877
1985,3347000,21121,304,1385,3143,16289,140892,41955,90260,8677,South Carolina,South Carolina State-Level Estimate,,162013
1986,3378000,22789,291,1395,3361,17742,150752,45276,96132,9344,South Carolina,South Carolina State-Level Estimate,,173541
1987,3425000,22773,318,1497,3463,17495,154021,46511,97892,9618,South Carolina,South Carolina State-Level Estimate,,176794
1988,3493000,25889,325,1493,4357,19714,163164,49467,103055,10642,South Carolina,South Carolina State-Level Estimate,,189053
