agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burglary_total,actual_burglary_force_entry,actual_burglary_nonforce_entry,actual_burglary_attempted,actual_theft_total,actual_motor_vehicle_theft_total,actual_motor_vehicle_theft_car,actual_motor_vehicle_theft_truck,actual_motor_vehicle_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,unfounded_murder,unfounded_manslaughter,unfounded_rape_total,unfounded_rape_by_force,unfounded_rape_attempted,unfounded_robbery_total,unfounded_robbery_with_a_gun,unfounded_robbery_with_a_knife,unfounded_robbery_other_weapon,unfounded_robbery_unarmed,unfounded_assault_total,unfounded_assault_with_a_gun,unfounded_assault_with_a_knife,unfounded_assault_other_weapon,unfounded_assault_unarmed,unfounded_assault_simple,unfounded_burglary_total,unfounded_burglary_force_entry,unfounded_burglary_nonforce_entry,unfounded_burglary_attempted,unfounded_theft_total,unfounded_motor_vehicle_theft_total,unfounded_motor_vehicle_theft_car,unfounded_motor_vehicle_theft_truck,unfounded_motor_vehicle_theft_other,unfounded_all_crimes,unfounded_theft_under50_dollar,unfounded_assault_aggravated,unfounded_index_violent,unfounded_index_property,unfounded_index_total
Scott City Police Department,2023,Missouri,4354,MO10105,0,0,0,1,0,3,3,0,0,0,0,0,0,61,4,1,1,1,54,3,3,0,0,42,2,2,0,0,112,0,7,11,47,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scott City Police Department,2022,Missouri,4373,MO10105,0,0,0,0,0,4,4,0,1,0,0,1,0,64,0,0,3,4,57,9,5,4,0,51,9,9,0,0,138,0,7,12,69,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scott City Police Department,2021,Missouri,4520,MO10105,0,0,0,0,0,0,0,0,1,1,0,0,0,56,0,1,0,0,55,4,2,2,0,62,9,6,2,1,132,0,1,2,75,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scott City Police Department,2020,Missouri,4458,MO10105,0,0,0,0,0,1,1,0,0,0,0,0,0,55,1,3,2,2,47,10,4,5,1,80,2,2,0,0,148,0,8,9,92,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scott City Police Department,2019,Missouri,4493,MO10105,0,0,1,0,0,3,2,1,0,0,0,0,0,54,1,3,2,2,46,18,11,7,0,68,4,3,0,1,147,0,8,11,90,101,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Scott City Police Department,2018,Missouri,4486,MO10105,0,0,0,0,0,3,3,0,0,0,0,0,0,60,0,0,2,5,53,16,11,5,0,62,8,1,4,3,149,0,7,10,86,96,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1
Scott City Police Department,2017,Missouri,4480,MO10105,0,0,1,0,0,1,1,0,0,0,0,0,0,59,2,2,3,8,44,18,7,11,0,66,4,2,0,2,148,0,15,16,88,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1
Scott City Police Department,2016,Missouri,4518,MO10105,0,0,0,0,0,1,1,0,0,0,0,0,0,49,0,0,3,2,44,29,20,9,0,60,5,4,0,1,144,0,5,6,94,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scott City Police Department,2015,Missouri,4488,MO10105,0,0,1,0,0,1,1,0,0,0,0,0,0,61,1,3,4,4,49,21,9,10,2,74,6,5,1,0,163,0,12,13,101,114,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Scott City Police Department,2014,Missouri,4550,MO10105,0,0,1,0,0,0,0,0,0,0,0,0,0,77,1,3,7,2,64,31,14,16,1,68,10,2,2,6,186,0,13,13,109,122,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1
Scott City Police Department,2013,Missouri,4541,MO10105,0,0,1,0,0,0,0,0,0,0,0,0,0,94,4,3,5,2,80,41,18,21,2,106,1,1,0,0,242,0,14,14,148,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1
Scott City Police Department,2012,Missouri,4565,MO10105,0,0,2,0,0,1,1,0,0,0,0,0,0,75,0,8,3,3,61,29,14,15,0,86,4,1,2,1,195,0,14,15,119,134,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,1,1,0,0,1,0,0,0,0,5,0,0,0,2,2
Scott City Police Department,2011,Missouri,4582,MO10105,0,0,3,0,0,0,0,0,1,0,0,0,1,42,1,2,1,11,27,25,7,14,4,107,5,2,3,0,180,0,15,16,137,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,2,0,0,0,2,2
