agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_motor_vehicle_theft_total,actual_motor_vehicle_theft_car,actual_motor_vehicle_theft_truck,actual_motor_vehicle_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,unfounded_murder,unfounded_manslaughter,unfounded_rape_total,unfounded_rape_by_force,unfounded_rape_attempted,unfounded_robbery_total,unfounded_robbery_with_a_gun,unfounded_robbery_with_a_knife,unfounded_robbery_other_weapon,unfounded_robbery_unarmed,unfounded_assault_total,unfounded_assault_with_a_gun,unfounded_assault_with_a_knife,unfounded_assault_other_weapon,unfounded_assault_unarmed,unfounded_assault_simple,unfounded_burg_total,unfounded_burg_force_entry,unfounded_burg_nonforce_entry,unfounded_burg_attempted,unfounded_theft_total,unfounded_motor_vehicle_theft_total,unfounded_motor_vehicle_theft_car,unfounded_motor_vehicle_theft_truck,unfounded_motor_vehicle_theft_other,unfounded_all_crimes,unfounded_theft_under50_dollar,unfounded_assault_aggravated,unfounded_index_violent,unfounded_index_property,unfounded_index_total
Villa Park Police,2023,California,5684,CA03023,0,0,0,0,0,0,0,0,1,0,0,0,1,13,1,0,0,0,12,14,13,1,0,18,10,4,4,2,56,0,1,2,42,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Villa Park Police,2022,California,5712,CA03023,0,0,0,0,0,0,0,0,1,0,0,0,1,23,0,0,1,2,20,22,15,7,0,33,4,0,2,2,83,0,3,4,59,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Villa Park Police,2021,California,5799,CA03023,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,1,5,6,4,1,1,15,2,1,0,1,30,0,2,2,23,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Villa Park Police,2020,California,5786,CA03023,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,15,8,6,1,32,5,3,2,0,58,0,0,0,52,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1
Villa Park Police,2019,California,5840,CA03023,0,0,1,0,0,0,0,0,0,0,0,0,0,22,0,0,1,3,18,9,8,1,0,35,0,0,0,0,66,0,4,4,44,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1
Villa Park Police,2018,California,5904,CA03023,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,21,18,3,0,34,2,1,1,0,67,0,0,0,57,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Villa Park Police,2017,California,5933,CA03023,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,2,12,35,24,9,2,35,4,2,2,0,88,0,2,2,74,76,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Villa Park Police,2016,California,5991,CA03023,0,0,0,0,0,1,1,0,1,0,0,0,1,15,0,0,1,1,13,22,12,8,2,57,3,3,0,0,99,0,2,4,82,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Villa Park Police,2015,California,6002,CA03023,0,0,0,0,0,0,0,0,1,0,0,1,0,15,0,0,0,0,15,34,21,13,0,47,2,1,0,1,99,0,0,1,83,84,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,1,1
Villa Park Police,2014,California,5982,CA03023,0,0,0,0,0,2,2,0,2,0,0,0,2,18,0,0,1,0,17,29,18,11,0,50,5,2,3,0,106,0,1,5,84,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
Villa Park Police,2013,California,5959,CA03023,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,1,2,3,19,30,19,10,1,56,0,0,0,0,111,0,6,6,86,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Villa Park Police,2012,California,5956,CA03023,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,1,1,16,22,11,9,2,62,3,0,3,0,105,0,2,2,87,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
