agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burglary_total,actual_burglary_force_entry,actual_burglary_nonforce_entry,actual_burglary_attempted,actual_theft_total,actual_motor_vehicle_theft_total,actual_motor_vehicle_theft_car,actual_motor_vehicle_theft_truck,actual_motor_vehicle_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,total_cleared_murder,total_cleared_manslaughter,total_cleared_rape_total,total_cleared_rape_by_force,total_cleared_rape_attempted,total_cleared_robbery_total,total_cleared_robbery_with_a_gun,total_cleared_robbery_with_a_knife,total_cleared_robbery_other_weapon,total_cleared_robbery_unarmed,total_cleared_assault_total,total_cleared_assault_with_a_gun,total_cleared_assault_with_a_knife,total_cleared_assault_other_weapon,total_cleared_assault_unarmed,total_cleared_assault_simple,total_cleared_burglary_total,total_cleared_burglary_force_entry,total_cleared_burglary_nonforce_entry,total_cleared_burglary_attempted,total_cleared_theft_total,total_cleared_motor_vehicle_theft_total,total_cleared_motor_vehicle_theft_car,total_cleared_motor_vehicle_theft_truck,total_cleared_motor_vehicle_theft_other,total_cleared_all_crimes,total_cleared_theft_under50_dollar,total_cleared_assault_aggravated,total_cleared_index_violent,total_cleared_index_property,total_cleared_index_total,cleared_18_murder,cleared_18_manslaughter,cleared_18_rape_total,cleared_18_rape_by_force,cleared_18_rape_attempted,cleared_18_robbery_total,cleared_18_robbery_with_a_gun,cleared_18_robbery_with_a_knife,cleared_18_robbery_other_weapon,cleared_18_robbery_unarmed,cleared_18_assault_total,cleared_18_assault_with_a_gun,cleared_18_assault_with_a_knife,cleared_18_assault_other_weapon,cleared_18_assault_unarmed,cleared_18_assault_simple,cleared_18_burglary_total,cleared_18_burglary_force_entry,cleared_18_burglary_nonforce_entry,cleared_18_burglary_attempted,cleared_18_theft_total,cleared_18_motor_vehicle_theft_total,cleared_18_motor_vehicle_theft_car,cleared_18_motor_vehicle_theft_truck,cleared_18_motor_vehicle_theft_other,cleared_18_all_crimes,cleared_18_theft_under50_dollar,cleared_18_assault_aggravated,cleared_18_index_violent,cleared_18_index_property,cleared_18_index_total,unfounded_murder,unfounded_manslaughter,unfounded_rape_total,unfounded_rape_by_force,unfounded_rape_attempted,unfounded_robbery_total,unfounded_robbery_with_a_gun,unfounded_robbery_with_a_knife,unfounded_robbery_other_weapon,unfounded_robbery_unarmed,unfounded_assault_total,unfounded_assault_with_a_gun,unfounded_assault_with_a_knife,unfounded_assault_other_weapon,unfounded_assault_unarmed,unfounded_assault_simple,unfounded_burglary_total,unfounded_burglary_force_entry,unfounded_burglary_nonforce_entry,unfounded_burglary_attempted,unfounded_theft_total,unfounded_motor_vehicle_theft_total,unfounded_motor_vehicle_theft_car,unfounded_motor_vehicle_theft_truck,unfounded_motor_vehicle_theft_other,unfounded_all_crimes,unfounded_theft_under50_dollar,unfounded_assault_aggravated,unfounded_index_violent,unfounded_index_property,unfounded_index_total
Massena Village Police Department,2023,New York,10120,NY04402,0,0,0,1,0,0,0,0,0,0,0,0,0,81,1,10,3,2,65,15,7,8,0,153,0,0,0,0,250,0,16,17,168,185,1,0,0,0,0,0,0,0,0,0,76,1,10,3,2,60,11,5,6,0,108,0,0,0,0,196,0,16,17,119,136,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Massena Village Police Department,2022,New York,10165,NY04402,0,0,0,1,0,0,0,0,6,0,1,1,4,65,4,2,3,2,54,13,5,8,0,88,3,3,0,0,176,0,11,18,104,122,1,0,0,0,0,7,0,1,1,5,51,4,2,4,2,39,9,3,6,0,80,2,2,0,0,150,0,12,20,91,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Massena Village Police Department,2021,New York,10045,NY04402,0,0,0,1,0,1,1,0,2,0,0,0,2,125,0,5,2,2,116,8,3,5,0,90,8,8,0,0,235,0,9,13,106,119,1,0,2,2,0,1,0,0,0,1,71,0,5,1,2,63,0,0,0,0,49,6,6,0,0,130,0,8,12,55,67,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Massena Village Police Department,2020,New York,10123,NY04402,0,0,0,0,0,3,3,0,2,1,0,0,1,203,2,6,4,1,190,15,8,7,0,158,7,4,1,2,388,0,13,18,180,198,0,0,1,1,0,1,0,0,0,1,48,1,4,2,1,40,2,1,1,0,52,0,0,0,0,104,0,8,10,54,64,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,1,0,0,2,0,0,0,0,5,0,2,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Massena Village Police Department,2019,New York,10177,NY04402,0,0,0,0,0,0,0,0,3,0,0,0,3,184,0,2,3,3,176,29,14,15,0,209,8,7,0,1,433,0,8,11,246,257,0,0,0,0,0,1,0,0,0,1,51,0,2,2,2,45,2,1,1,0,76,2,2,0,0,132,0,6,7,80,87,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Massena Village Police Department,2018,New York,,NY04402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Massena Village Police Department,2017,New York,,NY04402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Massena Village Police Department,2016,New York,10571,NY04402,0,0,0,1,0,6,6,0,8,2,1,0,5,412,4,6,1,3,398,67,31,35,1,418,6,4,0,2,918,0,14,29,491,520,1,0,2,2,0,3,1,1,0,1,89,0,6,1,2,80,15,9,6,0,148,2,2,0,0,260,0,9,15,165,180,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,7,2,2,0,0,10,0,0,0,0,20,0,1,1,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Massena Village Police Department,2015,New York,10673,NY04402,0,0,0,0,0,3,3,0,6,2,0,2,2,412,0,6,3,2,401,57,24,31,2,377,11,10,1,0,866,0,11,20,445,465,0,0,2,2,0,2,0,0,0,2,96,0,3,2,1,90,7,2,5,0,148,6,5,1,0,261,0,6,10,161,171,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13,2,1,1,0,13,1,1,0,0,29,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Massena Village Police Department,2014,New York,10785,NY04402,0,0,0,0,0,5,5,0,7,0,1,0,6,278,0,5,6,3,264,47,18,26,3,311,3,3,0,0,651,0,14,26,361,387,0,0,2,2,0,4,0,0,0,4,67,0,3,4,2,58,10,2,7,1,76,1,1,0,0,160,0,9,15,87,102,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,1,0,1,0,6,0,0,0,0,14,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
