agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burglary_total,actual_burglary_force_entry,actual_burglary_nonforce_entry,actual_burglary_attempted,actual_theft_total,actual_motor_vehicle_theft_total,actual_motor_vehicle_theft_car,actual_motor_vehicle_theft_truck,actual_motor_vehicle_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,unfounded_murder,unfounded_manslaughter,unfounded_rape_total,unfounded_rape_by_force,unfounded_rape_attempted,unfounded_robbery_total,unfounded_robbery_with_a_gun,unfounded_robbery_with_a_knife,unfounded_robbery_other_weapon,unfounded_robbery_unarmed,unfounded_assault_total,unfounded_assault_with_a_gun,unfounded_assault_with_a_knife,unfounded_assault_other_weapon,unfounded_assault_unarmed,unfounded_assault_simple,unfounded_burglary_total,unfounded_burglary_force_entry,unfounded_burglary_nonforce_entry,unfounded_burglary_attempted,unfounded_theft_total,unfounded_motor_vehicle_theft_total,unfounded_motor_vehicle_theft_car,unfounded_motor_vehicle_theft_truck,unfounded_motor_vehicle_theft_other,unfounded_all_crimes,unfounded_theft_under50_dollar,unfounded_assault_aggravated,unfounded_index_violent,unfounded_index_property,unfounded_index_total
Lexington Police Department,2023,Massachusetts,34044,MA00923,0,0,0,0,0,3,3,0,2,0,1,0,1,35,0,0,3,2,30,10,5,5,0,84,6,4,0,2,140,0,5,10,100,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lexington Police Department,2022,Massachusetts,33889,MA00923,0,0,0,0,0,6,6,0,1,0,0,0,1,66,0,1,5,2,58,20,8,10,2,73,8,7,0,1,174,0,8,15,101,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lexington Police Department,2021,Massachusetts,33427,MA00923,0,0,0,0,0,2,2,0,2,0,1,0,1,73,0,5,9,6,53,20,11,6,3,80,5,4,0,1,182,0,20,24,105,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lexington Police Department,2020,Massachusetts,33138,MA00923,0,0,0,0,0,1,1,0,2,0,0,0,2,44,0,7,0,3,34,24,11,12,1,88,3,3,0,0,162,0,10,13,115,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lexington Police Department,2019,Massachusetts,33824,MA00923,0,0,0,1,0,2,2,0,0,0,0,0,0,38,0,1,4,9,24,5,2,3,0,72,0,0,0,0,118,0,14,17,77,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lexington Police Department,2018,Massachusetts,34050,MA00923,0,0,0,0,0,1,1,0,0,0,0,0,0,38,0,2,1,4,31,24,13,7,4,88,1,1,0,0,152,0,7,8,113,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lexington Police Department,2017,Massachusetts,33768,MA00923,0,0,0,0,0,2,2,0,0,0,0,0,0,26,0,2,3,7,14,20,17,3,0,103,0,0,0,0,151,0,12,14,123,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lexington Police Department,2016,Massachusetts,33643,MA00923,0,0,0,0,0,3,3,0,1,0,0,0,1,30,0,2,2,15,11,22,11,10,1,108,2,1,1,0,166,0,19,23,132,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lexington Police Department,2015,Massachusetts,33502,MA00923,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,1,5,13,18,22,9,12,1,127,1,0,1,0,187,0,19,19,150,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lexington Police Department,2014,Massachusetts,33047,MA00923,0,0,0,0,0,0,0,0,3,1,0,1,1,20,0,0,3,4,13,34,14,19,1,181,5,3,2,0,243,0,7,10,220,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
