agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burglary_total,actual_burglary_force_entry,actual_burglary_nonforce_entry,actual_burglary_attempted,actual_theft_total,actual_motor_vehicle_theft_total,actual_motor_vehicle_theft_car,actual_motor_vehicle_theft_truck,actual_motor_vehicle_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,total_cleared_murder,total_cleared_manslaughter,total_cleared_rape_total,total_cleared_rape_by_force,total_cleared_rape_attempted,total_cleared_robbery_total,total_cleared_robbery_with_a_gun,total_cleared_robbery_with_a_knife,total_cleared_robbery_other_weapon,total_cleared_robbery_unarmed,total_cleared_assault_total,total_cleared_assault_with_a_gun,total_cleared_assault_with_a_knife,total_cleared_assault_other_weapon,total_cleared_assault_unarmed,total_cleared_assault_simple,total_cleared_burglary_total,total_cleared_burglary_force_entry,total_cleared_burglary_nonforce_entry,total_cleared_burglary_attempted,total_cleared_theft_total,total_cleared_motor_vehicle_theft_total,total_cleared_motor_vehicle_theft_car,total_cleared_motor_vehicle_theft_truck,total_cleared_motor_vehicle_theft_other,total_cleared_all_crimes,total_cleared_theft_under50_dollar,total_cleared_assault_aggravated,total_cleared_index_violent,total_cleared_index_property,total_cleared_index_total,cleared_18_murder,cleared_18_manslaughter,cleared_18_rape_total,cleared_18_rape_by_force,cleared_18_rape_attempted,cleared_18_robbery_total,cleared_18_robbery_with_a_gun,cleared_18_robbery_with_a_knife,cleared_18_robbery_other_weapon,cleared_18_robbery_unarmed,cleared_18_assault_total,cleared_18_assault_with_a_gun,cleared_18_assault_with_a_knife,cleared_18_assault_other_weapon,cleared_18_assault_unarmed,cleared_18_assault_simple,cleared_18_burglary_total,cleared_18_burglary_force_entry,cleared_18_burglary_nonforce_entry,cleared_18_burglary_attempted,cleared_18_theft_total,cleared_18_motor_vehicle_theft_total,cleared_18_motor_vehicle_theft_car,cleared_18_motor_vehicle_theft_truck,cleared_18_motor_vehicle_theft_other,cleared_18_all_crimes,cleared_18_theft_under50_dollar,cleared_18_assault_aggravated,cleared_18_index_violent,cleared_18_index_property,cleared_18_index_total,unfounded_murder,unfounded_manslaughter,unfounded_rape_total,unfounded_rape_by_force,unfounded_rape_attempted,unfounded_robbery_total,unfounded_robbery_with_a_gun,unfounded_robbery_with_a_knife,unfounded_robbery_other_weapon,unfounded_robbery_unarmed,unfounded_assault_total,unfounded_assault_with_a_gun,unfounded_assault_with_a_knife,unfounded_assault_other_weapon,unfounded_assault_unarmed,unfounded_assault_simple,unfounded_burglary_total,unfounded_burglary_force_entry,unfounded_burglary_nonforce_entry,unfounded_burglary_attempted,unfounded_theft_total,unfounded_motor_vehicle_theft_total,unfounded_motor_vehicle_theft_car,unfounded_motor_vehicle_theft_truck,unfounded_motor_vehicle_theft_other,unfounded_all_crimes,unfounded_theft_under50_dollar,unfounded_assault_aggravated,unfounded_index_violent,unfounded_index_property,unfounded_index_total
Chesterfield County Sheriff's Office,2023,South Carolina,34419,SC01300,0,0,0,2,0,6,6,0,8,4,0,3,1,772,103,26,14,43,586,118,84,27,7,415,84,66,7,11,1405,0,186,202,617,819,2,0,2,2,0,3,2,0,1,0,379,50,14,9,35,271,21,15,3,3,54,8,4,2,2,469,0,108,115,83,198,0,0,2,2,0,2,1,0,1,0,31,1,1,0,5,24,3,0,0,3,2,0,0,0,0,40,0,7,11,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chesterfield County Sheriff's Office,2022,South Carolina,34088,SC01300,0,0,0,3,1,15,14,1,7,5,0,0,2,685,86,16,29,46,508,161,116,35,10,459,90,81,4,5,1421,0,177,202,710,912,4,1,1,1,0,2,1,0,0,1,297,47,12,13,39,186,34,20,14,0,67,14,13,1,0,420,0,111,118,115,233,1,1,0,0,0,0,0,0,0,0,17,5,1,0,2,9,1,1,0,0,1,0,0,0,0,21,0,8,9,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chesterfield County Sheriff's Office,2021,South Carolina,34420,SC01300,0,0,0,6,1,7,7,0,7,7,0,0,0,705,83,19,39,23,541,214,164,43,7,481,128,100,15,13,1549,0,164,184,823,1007,5,1,1,1,0,6,6,0,0,0,332,57,17,24,20,214,61,47,14,0,56,33,27,4,2,495,0,118,130,150,280,0,0,0,0,0,2,2,0,0,0,23,4,6,0,0,13,4,4,0,0,4,2,2,0,0,35,0,10,12,10,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chesterfield County Sheriff's Office,2020,South Carolina,35177,SC01300,0,0,0,6,0,15,15,0,11,9,0,0,2,691,95,19,23,28,526,238,172,53,13,521,67,53,10,4,1549,0,165,197,826,1023,4,0,4,4,0,6,4,0,0,2,288,49,9,11,24,195,47,35,11,1,44,14,9,4,1,407,0,93,107,105,212,0,0,0,0,0,0,0,0,0,0,15,2,0,2,1,10,5,5,0,0,2,2,2,0,0,24,0,5,5,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chesterfield County Sheriff's Office,2019,South Carolina,36005,SC01300,0,0,0,6,0,6,6,0,12,8,1,2,1,629,73,22,10,23,501,249,171,63,15,485,66,59,4,3,1453,0,128,152,800,952,6,0,1,1,0,4,2,1,1,0,288,38,15,9,18,208,31,25,6,0,54,9,6,2,1,393,0,80,91,94,185,0,0,0,0,0,0,0,0,0,0,11,0,0,1,1,9,5,5,0,0,1,2,1,1,0,19,0,2,2,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chesterfield County Sheriff's Office,2018,South Carolina,36130,SC01300,0,0,0,1,0,7,7,0,8,4,2,1,1,551,41,4,16,18,472,281,196,64,21,433,50,41,6,3,1331,0,79,95,764,859,1,0,0,0,0,0,0,0,0,0,191,18,3,6,14,150,24,18,5,1,32,6,6,0,0,254,0,41,42,62,104,0,0,0,0,0,0,0,0,0,0,6,1,0,0,1,4,2,2,0,0,0,0,0,0,0,8,0,2,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chesterfield County Sheriff's Office,2017,South Carolina,36033,SC01300,0,0,0,7,0,20,20,0,11,5,1,1,4,614,44,14,23,31,502,348,245,95,8,472,39,28,7,4,1511,0,112,150,859,1009,5,0,1,1,0,3,2,0,0,1,204,17,10,13,13,151,22,15,6,1,38,2,2,0,0,275,0,53,62,62,124,0,0,0,0,0,0,0,0,0,0,10,0,4,0,1,5,1,1,0,0,4,0,0,0,0,15,0,5,5,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chesterfield County Sheriff's Office,2016,South Carolina,35173,SC01300,0,0,0,0,0,8,8,0,8,5,1,0,2,574,51,10,24,31,458,268,207,55,6,455,141,129,8,4,1454,0,116,132,864,996,0,0,0,0,0,1,0,0,0,1,191,23,5,19,20,124,20,18,2,0,31,7,6,1,0,250,0,67,68,58,126,0,0,0,0,0,0,0,0,0,0,14,0,0,1,4,9,1,1,0,0,1,2,2,0,0,18,0,5,5,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chesterfield County Sheriff's Office,2015,South Carolina,35279,SC01300,0,0,0,1,0,10,10,0,8,3,1,0,4,621,25,11,18,29,538,242,172,66,4,510,43,27,14,2,1435,0,83,102,795,897,1,0,7,7,0,0,0,0,0,0,248,12,9,14,17,196,43,33,10,0,49,6,5,0,1,354,0,52,60,98,158,0,0,0,0,0,0,0,0,0,0,9,0,1,0,1,7,5,5,0,0,3,0,0,0,0,17,0,2,2,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chesterfield County Sheriff's Office,2014,South Carolina,35399,SC01300,0,0,0,0,0,7,7,0,4,3,0,0,1,664,29,13,18,29,575,244,196,39,9,519,67,42,15,10,1505,0,89,100,830,930,0,0,5,5,0,2,1,0,1,0,223,19,11,9,12,172,42,34,8,0,45,10,7,2,1,327,0,51,58,97,155,0,0,1,1,0,0,0,0,0,0,14,0,0,0,0,14,3,2,1,0,2,1,1,0,0,21,0,0,1,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
