agency,year,state,population,ORI,act_all_crimes,clr_all_crimes,clr_18_all_crimes,unfound_all_crimes,act_aggravated_assault,tot_clr_aggravated_assault,clr_18_aggravated_assault,unfound_aggravated_assault,act_assault_total,tot_clr_assault_total,clr_18_assault_total,unfound_assault_total,act_gun_assault,tot_clr_gun_assault,clr_18_gun_assault,unfound_gun_assault,act_knife_assault,tot_clr_knife_assault,clr_18_knife_assault,unfound_knife_assault,act_other_weapon_assault,tot_clr_other_weapon_assault,clr_18_other_weapon_assault,unfound_other_weapon_assault,act_simple_assault,tot_clr_simple_assault,clr_18_simple_assault,unfound_simple_assault,act_hand_feet_assault,tot_clr_hand_feet_assault,clr_18_hand_feet_assault,unfound_hand_feet_assault,act_burglary_total,tot_clr_burglary_total,clr_18_burglary_total,unfound_burglary_total,act_attempted_burglary,tot_clr_attempted_burglary,clr_18_attempted_burglary,unfound_attempted_burglary,act_burg_force_entry,tot_clr_burg_force_entry,clr_18_burg_force_entry,unfound_burg_force_entry,act_burg_no_force_entry,tot_clr_burg_no_force_entry,clr_18_burg_no_force_entry,unfound_burg_no_force_entry,act_mtr_vhc_theft_total,tot_clr_mtr_vhc_theft_total,clr_18_mtr_vhc_theft_total,unfound_mtr_vhc_theft_total,act_manslaughter,tot_clr_manslaughter,clr_18_manslaughter,unfound_manslaughter,act_murder,tot_clr_murder,clr_18_murder,unfound_murder,officers_assaulted,officers_killed_by_accident,officers_killed_by_felony,act_rape_total,tot_clr_rape_total,clr_18_rape_total,unfound_rape_total,act_attempted_rape,tot_clr_attempted_rape,clr_18_attempted_rape,unfound_attempted_rape,act_force_rape,tot_clr_force_rape,clr_18_force_rape,unfound_force_rape,act_robbery_total,tot_clr_robbery_total,clr_18_robbery_total,unfound_robbery_total,act_gun_robbery,tot_clr_gun_robbery,clr_18_gun_robbery,unfound_gun_robbery,act_knife_robbery,tot_clr_knife_robbery,clr_18_knife_robbery,unfound_knife_robbery,act_other_weapon_robbery,tot_clr_other_weapon_robbery,clr_18_other_weapon_robbery,unfound_other_weapon_robbery,act_strong_arm_robbery,tot_clr_strong_arm_robbery,clr_18_strong_arm_robbery,unfound_strong_arm_robbery,act_theft_total,tot_clr_theft_total,clr_18_theft_total,unfound_theft_total,act_auto_theft,tot_clr_auto_theft,clr_18_auto_theft,unfound_auto_theft,act_other_vhc_theft,tot_clr_other_vhc_theft,clr_18_other_vhc_theft,unfound_other_vhc_theft,act_truck_bus_theft,tot_clr_truck_bus_theft,clr_18_truck_bus_theft,unfound_truck_bus_theft
Spring City Police Dept,2017,Tennessee,1990,TN07202,56,28,0,0,11,11,0,0,21,20,0,0,2,2,0,0,4,4,0,0,4,4,0,0,10,9,0,0,1,1,0,0,7,1,0,0,0,0,0,0,4,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spring City Police Dept,2016,Tennessee,1998,TN07202,64,27,4,0,0,0,0,0,20,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,20,17,3,0,0,0,0,0,15,2,0,0,0,0,0,0,11,2,0,0,4,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,7,1,0,3,1,0,0,0,0,0,0,0,0,0,0
Spring City Police Dept,2015,Tennessee,2016,TN07202,74,30,1,0,4,3,0,0,24,15,0,0,1,1,0,0,1,1,0,0,2,1,0,0,20,12,0,0,0,0,0,0,15,6,0,0,0,0,0,0,7,2,0,0,8,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,8,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Spring City Police Dept,2014,Tennessee,2019,TN07202,77,25,1,0,1,0,0,0,19,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18,11,0,0,0,0,0,0,11,3,0,0,0,0,0,0,6,2,0,0,5,1,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,7,1,0,6,4,0,0,0,0,0,0,0,0,0,0
Spring City Police Dept,2013,Tennessee,2e3,TN07202,63,25,1,0,3,3,0,0,19,13,0,0,0,0,0,0,2,2,0,0,0,0,0,0,16,10,0,0,1,1,0,0,8,4,0,0,0,0,0,0,5,3,0,0,3,1,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,6,0,0,4,2,1,0,0,0,0,0,0,0,0,0
Spring City Police Dept,2012,Tennessee,2013,TN07202,78,26,4,0,10,5,2,0,33,14,3,0,3,1,0,0,1,0,0,0,4,2,0,0,23,9,1,0,2,2,2,0,5,1,1,0,0,0,0,0,4,1,1,0,1,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,8,0,0,6,3,0,0,0,0,0,0,0,0,0,0
Spring City Police Dept,2011,Tennessee,1999,TN07202,75,17,1,0,1,1,0,0,32,15,1,0,0,0,0,0,1,1,0,0,0,0,0,0,31,14,1,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Spring City Police Dept,2010,Tennessee,1981,TN07202,59,27,0,0,4,3,0,0,18,15,0,0,2,2,0,0,1,0,0,0,1,1,0,0,14,12,0,0,0,0,0,0,6,4,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spring City Police Dept,2009,Tennessee,2021,TN07202,70,18,1,0,3,1,0,0,25,10,0,0,1,1,0,0,2,0,0,0,0,0,0,0,22,9,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,35,4,0,0,4,3,1,0,0,0,0,0,0,0,0,0
Spring City Police Dept,2008,Tennessee,1999,TN07202,80,21,0,0,1,1,0,0,24,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,6,0,0,1,1,0,0,6,1,0,0,0,0,0,0,6,1,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,10,0,0,5,3,0,0,0,0,0,0,0,0,0,0
Spring City Police Dept,2007,Tennessee,2018,TN07202,58,8,0,0,0,0,0,0,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Spring City Police Dept,2006,Tennessee,2035,TN07202,59,10,1,0,1,1,0,0,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,1,1,0,0,6,1,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Spring City Police Dept,2005,Tennessee,2044,TN07202,74,17,2,0,4,3,1,0,27,11,2,0,0,0,0,0,1,0,0,0,3,3,1,0,23,8,1,0,0,0,0,0,8,2,0,0,1,0,0,0,5,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spring City Police Dept,2004,Tennessee,2031,TN07202,62,25,1,0,2,2,0,0,23,15,0,0,1,1,0,0,0,0,0,0,1,1,0,0,21,13,0,0,0,0,0,0,7,1,0,0,1,0,0,0,5,0,0,0,1,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,7,1,0,3,2,0,0,0,0,0,0,0,0,0,0
Spring City Police Dept,2003,Tennessee,2030,TN07202,54,19,2,0,4,4,0,0,26,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,9,1,0,4,4,0,0,4,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2,1,0,5,4,0,0,0,0,0,0,0,0,0,0
Spring City Police Dept,2002,Tennessee,2063,TN07202,94,25,4,0,4,1,0,0,56,13,0,0,1,1,0,0,0,0,0,0,0,0,0,0,52,12,0,0,3,0,0,0,5,4,1,0,0,0,0,0,4,3,1,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,8,3,0,2,0,0,0,0,0,0,0,0,0,0,0
Spring City Police Dept,2001,Tennessee,2043,TN07202,73,20,0,0,10,7,0,0,46,19,0,0,0,0,0,0,1,0,0,0,1,0,0,0,36,12,0,0,8,7,0,0,8,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spring City Police Dept,2e3,Tennessee,2025,TN07202,58,19,0,0,2,2,0,0,22,14,0,0,0,0,0,0,2,2,0,0,0,0,0,0,20,12,0,0,0,0,0,0,13,2,0,0,1,0,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spring City Police Dept,1999,Tennessee,2373,TN07202,91,19,0,0,4,2,0,0,45,8,0,0,0,0,0,0,1,0,0,0,2,1,0,0,41,6,0,0,1,1,0,0,6,1,0,0,1,0,0,0,5,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,9,0,0,2,1,0,0,0,0,0,0,1,0,0,0
Spring City Police Dept,1998,Tennessee,2443,TN07202,68,12,2,1,3,1,0,0,14,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,4,0,0,2,1,0,0,11,2,0,1,2,0,0,1,4,2,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,5,2,0,0,0,0,0,0,0,0,0,1,0,0,0
Spring City Police Dept,1997,Tennessee,2999,TN07202,53,6,0,0,3,1,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,3,1,0,0,13,2,0,0,4,0,0,0,7,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spring City Police Dept,1996,Tennessee,2973,TN07202,61,16,0,1,10,7,0,0,16,9,0,0,0,0,0,0,1,1,0,0,1,0,0,0,6,2,0,0,8,6,0,0,14,2,0,1,2,0,0,0,4,1,0,0,8,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Spring City Police Dept,1995,Tennessee,2938,TN07202,21,7,0,0,4,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,6,4,0,0,1,0,0,0,3,3,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Spring City Police Dept,1992,Tennessee,2264,TN07202,55,20,2,0,3,1,0,0,19,14,0,0,0,0,0,0,0,0,0,0,2,0,0,0,16,13,0,0,1,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,6,2,0,1,0,0,0,1,0,0,0,0,0,0,0
Spring City Police Dept,1991,Tennessee,2233,TN07202,47,15,3,26,6,3,0,1,9,6,0,10,0,0,0,0,2,2,0,0,0,0,0,0,3,3,0,9,4,1,0,1,6,0,0,3,1,0,0,1,4,0,0,1,1,0,0,1,3,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,6,2,13,2,2,1,0,1,0,0,0,0,0,0,0
Spring City Police Dept,1990,Tennessee,2199,TN07202,46,6,2,24,3,0,0,2,11,2,0,20,0,0,0,0,1,0,0,0,0,0,0,0,8,2,0,18,2,0,0,2,12,2,2,3,0,0,0,0,8,2,2,1,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Spring City Police Dept,1989,Tennessee,2149,TN07202,39,4,0,6,2,1,0,0,6,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,14,0,0,5,1,0,0,1,10,0,0,3,3,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,1,2,1,0,0,0,0,0,0,2,0,0,0
Spring City Police Dept,1988,Tennessee,2110,TN07202,51,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21,0,0,0,1,0,0,0,17,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Spring City Police Dept,1987,Tennessee,2072,TN07202,47,7,0,0,4,2,0,0,7,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,2,0,0,2,2,0,0,21,2,0,0,1,0,0,0,11,1,0,0,9,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Spring City Police Dept,1986,Tennessee,2014,TN07202,63,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,27,0,0,0,3,0,0,0,16,0,0,0,8,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0
