year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI,actual_index_total
1960,330066,362,16,23,176,147,5989,990,4620,379,Wyoming,Wyoming State-Level Estimate,,6351
1961,338000,288,11,12,121,144,6358,1226,4747,385,Wyoming,Wyoming State-Level Estimate,,6646
1962,365000,156,12,28,51,65,5711,1038,4177,496,Wyoming,Wyoming State-Level Estimate,,5867
1963,337000,213,12,21,72,108,6081,1163,4457,461,Wyoming,Wyoming State-Level Estimate,,6294
1964,343000,285,19,35,46,185,6272,1301,4562,409,Wyoming,Wyoming State-Level Estimate,,6557
1965,340000,257,10,39,61,147,6450,1235,4752,463,Wyoming,Wyoming State-Level Estimate,,6707
1966,329000,273,16,40,69,148,7016,1263,5257,496,Wyoming,Wyoming State-Level Estimate,,7289
1967,315000,294,15,23,43,213,7304,1594,5159,551,Wyoming,Wyoming State-Level Estimate,,7598
1968,315000,278,20,28,39,191,7754,1717,5606,431,Wyoming,Wyoming State-Level Estimate,,8032
1969,320000,286,33,37,51,165,8359,1808,5984,567,Wyoming,Wyoming State-Level Estimate,,8645
1970,332416,376,19,41,73,243,9504,2147,6810,547,Wyoming,Wyoming State-Level Estimate,,9880
1971,340000,532,18,47,68,399,9044,1993,6433,618,Wyoming,Wyoming State-Level Estimate,,9576
1972,345000,511,14,48,117,332,9950,2057,7190,703,Wyoming,Wyoming State-Level Estimate,,10461
1973,353000,763,24,55,116,568,11285,2470,8058,757,Wyoming,Wyoming State-Level Estimate,,12048
1974,359000,519,18,55,153,293,12586,2970,8846,770,Wyoming,Wyoming State-Level Estimate,,13105
1975,374000,764,38,64,185,477,14779,3229,10512,1038,Wyoming,Wyoming State-Level Estimate,,15543
1976,390000,851,27,97,114,613,14652,2982,10726,944,Wyoming,Wyoming State-Level Estimate,,15503
1977,406000,978,22,89,161,706,15695,3295,11255,1145,Wyoming,Wyoming State-Level Estimate,,16673
1978,424000,1189,30,100,204,855,17868,3545,12871,1452,Wyoming,Wyoming State-Level Estimate,,19057
1979,450000,1579,41,124,190,1224,20129,3887,14607,1635,Wyoming,Wyoming State-Level Estimate,,21708
