year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI,actual_index_total
1960,2178611,1272,64,109,410,689,29120,7705,19515,1900,Kansas,Kansas State-Level Estimate,,30392
1961,2194000,1282,41,118,460,663,29918,7275,20763,1880,Kansas,Kansas State-Level Estimate,,31200
1962,2219000,1477,63,147,480,787,33314,7531,23514,2269,Kansas,Kansas State-Level Estimate,,34791
1963,2225000,1831,57,148,648,978,34704,8234,24068,2402,Kansas,Kansas State-Level Estimate,,36535
1964,2225000,2573,75,246,623,1629,41345,9626,28613,3106,Kansas,Kansas State-Level Estimate,,43918
1965,2234000,2392,60,204,537,1591,42070,10443,28886,2741,Kansas,Kansas State-Level Estimate,,44462
1966,2250000,2517,78,200,667,1572,44779,10712,30742,3325,Kansas,Kansas State-Level Estimate,,47296
1967,2275000,3248,90,243,959,1956,53047,13610,35231,4206,Kansas,Kansas State-Level Estimate,,56295
1968,2303000,3463,86,305,1095,1977,59264,14178,40353,4733,Kansas,Kansas State-Level Estimate,,62727
1969,2321000,3873,81,350,1271,2171,68961,16091,47579,5291,Kansas,Kansas State-Level Estimate,,72834
1970,2249071,4561,107,325,1689,2440,77385,19829,51784,5772,Kansas,Kansas State-Level Estimate,,81946
1971,2258000,4843,115,360,1483,2885,74079,20064,48511,5504,Kansas,Kansas State-Level Estimate,,78922
1972,2258000,4737,91,401,1556,2689,72144,20472,46433,5239,Kansas,Kansas State-Level Estimate,,76881
1973,2279000,4956,137,411,1781,2627,75123,23485,46840,4798,Kansas,Kansas State-Level Estimate,,80079
1974,2270000,6272,157,447,2447,3221,91347,28797,57134,5416,Kansas,Kansas State-Level Estimate,,97619
1975,2267000,6307,122,391,2103,3691,101307,31047,64900,5360,Kansas,Kansas State-Level Estimate,,107614
1976,2310000,6529,104,506,1983,3936,103853,30618,67870,5365,Kansas,Kansas State-Level Estimate,,110382
1977,2326000,7206,153,511,2343,4199,98948,29549,63716,5683,Kansas,Kansas State-Level Estimate,,106154
1978,2348000,7471,133,586,2201,4551,99225,30215,63194,5816,Kansas,Kansas State-Level Estimate,,106696
