agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_mtr_veh_theft_total,actual_mtr_veh_theft_car,actual_mtr_veh_theft_truck,actual_mtr_veh_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,tot_clr_murder,tot_clr_manslaughter,tot_clr_rape_total,tot_clr_rape_by_force,tot_clr_rape_attempted,tot_clr_robbery_total,tot_clr_robbery_with_a_gun,tot_clr_robbery_with_a_knife,tot_clr_robbery_other_weapon,tot_clr_robbery_unarmed,tot_clr_assault_total,tot_clr_assault_with_a_gun,tot_clr_assault_with_a_knife,tot_clr_assault_other_weapon,tot_clr_assault_unarmed,tot_clr_assault_simple,tot_clr_burg_total,tot_clr_burg_force_entry,tot_clr_burg_nonforce_entry,tot_clr_burg_attempted,tot_clr_theft_total,tot_clr_mtr_veh_theft_total,tot_clr_mtr_veh_theft_car,tot_clr_mtr_veh_theft_truck,tot_clr_mtr_veh_theft_other,tot_clr_all_crimes,tot_clr_theft_under50_dollar,tot_clr_assault_aggravated,tot_clr_index_violent,tot_clr_index_property,tot_clr_index_total,clr_18_murder,clr_18_manslaughter,clr_18_rape_total,clr_18_rape_by_force,clr_18_rape_attempted,clr_18_robbery_total,clr_18_robbery_with_a_gun,clr_18_robbery_with_a_knife,clr_18_robbery_other_weapon,clr_18_robbery_unarmed,clr_18_assault_total,clr_18_assault_with_a_gun,clr_18_assault_with_a_knife,clr_18_assault_other_weapon,clr_18_assault_unarmed,clr_18_assault_simple,clr_18_burg_total,clr_18_burg_force_entry,clr_18_burg_nonforce_entry,clr_18_burg_attempted,clr_18_theft_total,clr_18_mtr_veh_theft_total,clr_18_mtr_veh_theft_car,clr_18_mtr_veh_theft_truck,clr_18_mtr_veh_theft_other,clr_18_all_crimes,clr_18_theft_under50_dollar,clr_18_assault_aggravated,clr_18_index_violent,clr_18_index_property,clr_18_index_total,unfound_murder,unfound_manslaughter,unfound_rape_total,unfound_rape_by_force,unfound_rape_attempted,unfound_robbery_total,unfound_robbery_with_a_gun,unfound_robbery_with_a_knife,unfound_robbery_other_weapon,unfound_robbery_unarmed,unfound_assault_total,unfound_assault_with_a_gun,unfound_assault_with_a_knife,unfound_assault_other_weapon,unfound_assault_unarmed,unfound_assault_simple,unfound_burg_total,unfound_burg_force_entry,unfound_burg_nonforce_entry,unfound_burg_attempted,unfound_theft_total,unfound_mtr_veh_theft_total,unfound_mtr_veh_theft_car,unfound_mtr_veh_theft_truck,unfound_mtr_veh_theft_other,unfound_all_crimes,unfound_theft_under50_dollar,unfound_assault_aggravated,unfound_index_violent,unfound_index_property,unfound_index_total
Norwalk Pd,2023,California,96656,CA01949,0,0,0,7,0,24,20,4,126,38,11,16,61,524,79,42,65,55,283,283,215,55,13,1130,585,482,87,16,2679,0,241,398,1998,2396,2,0,29,24,5,57,11,6,7,33,446,28,37,56,57,268,44,29,14,1,98,24,20,4,0,700,0,178,266,166,432,0,0,4,2,2,4,2,0,0,2,13,1,1,3,1,7,2,1,1,0,5,1,1,0,0,29,0,6,14,8,22,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,1,1,0,1,0,4,0,2,2,2,4
Norwalk Pd,2022,California,98259,CA01949,0,0,0,3,0,19,18,1,111,43,6,14,48,510,77,44,55,70,264,269,209,50,10,1011,558,431,117,10,2481,0,246,379,1838,2217,2,0,16,14,2,49,13,5,6,25,332,18,38,33,47,196,35,21,12,2,59,50,34,13,3,543,0,136,203,144,347,0,0,3,2,1,1,1,0,0,0,18,0,4,0,1,13,3,2,1,0,2,7,7,0,0,34,0,5,9,12,21,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,3,0,0,0,0,0,0,0,0,0,5,0,2,2,0,2
Norwalk Pd,2021,California,,CA01949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norwalk Pd,2020,California,103774,CA01949,0,0,37,4,0,22,20,2,129,21,10,23,75,586,91,43,85,63,304,223,142,62,19,1132,416,320,82,14,2512,0,282,437,1771,2208,0,0,17,17,0,69,6,5,14,44,482,55,36,69,50,272,38,21,15,2,119,32,32,0,0,757,0,210,296,189,485,0,0,2,2,0,2,0,1,0,1,23,4,0,3,0,16,3,0,3,0,4,1,1,0,0,35,0,7,11,8,19,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,1,2,0,3,0,0,0,0,7,0,1,1,6,7
Norwalk Pd,2019,California,105067,CA01949,0,0,28,5,0,21,17,4,138,35,17,17,69,601,82,46,71,69,333,343,231,94,18,922,306,266,28,12,2336,0,268,432,1571,2003,1,0,24,19,5,50,10,6,4,30,465,23,37,57,56,292,50,23,20,7,126,33,29,3,1,749,0,173,248,209,457,0,0,4,4,0,2,0,0,0,2,35,0,4,0,1,30,3,1,1,1,4,5,5,0,0,53,0,5,11,12,23,0,0,2,2,0,0,0,0,0,0,8,0,0,0,2,6,0,0,0,0,3,1,1,0,0,14,0,2,4,4,8
Norwalk Pd,2018,California,106158,CA01949,0,0,19,9,0,23,20,3,132,34,7,19,72,683,80,50,74,81,398,438,322,96,20,1116,394,362,23,9,2795,0,285,449,1948,2397,5,0,12,10,2,52,13,3,5,31,550,28,37,59,64,362,38,24,12,2,164,36,36,0,0,857,0,188,257,238,495,0,0,0,0,0,0,0,0,0,0,26,2,1,2,2,19,1,1,0,0,3,1,1,0,0,31,0,7,7,5,12,0,0,0,0,0,2,0,0,1,1,13,0,1,2,2,8,2,0,2,0,3,1,1,0,0,21,0,5,7,6,13
Norwalk Pd,2017,California,106278,CA01949,0,0,25,5,0,17,16,1,133,37,7,21,68,677,115,46,71,50,395,418,279,119,20,1123,415,365,33,17,2788,0,282,437,1956,2393,2,0,18,18,0,53,12,6,8,27,470,26,31,53,38,322,50,33,15,2,199,34,29,3,2,826,0,148,221,283,504,0,0,1,1,0,4,1,0,1,2,26,0,1,4,1,20,5,3,2,0,3,0,0,0,0,39,0,6,11,8,19,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,2,2,0,0,7,0,0,0,0,15,0,0,0,9,9
Norwalk Pd,2016,California,107453,CA01949,0,0,13,7,0,18,16,2,139,41,15,13,70,617,127,27,67,34,362,372,243,112,17,1125,466,414,29,23,2744,0,255,419,1963,2382,4,0,11,10,1,58,16,4,5,33,468,37,20,46,32,333,47,29,15,3,202,33,29,1,3,823,0,135,208,282,490,0,0,2,2,0,1,0,0,0,1,24,1,1,5,0,17,5,4,1,0,11,0,0,0,0,43,0,7,10,16,26,1,0,2,2,0,1,0,0,0,1,10,0,0,0,0,10,3,0,3,0,7,0,0,0,0,24,0,0,4,10,14
Norwalk Pd,2015,California,107470,CA01949,0,0,21,9,0,33,30,3,131,38,21,16,56,580,65,35,76,51,353,395,259,122,14,1087,428,392,26,10,2663,0,227,400,1910,2310,5,0,16,14,2,52,5,9,6,32,475,21,26,55,41,332,45,28,15,2,187,28,26,1,1,808,0,143,216,260,476,0,0,2,2,0,3,0,0,0,3,23,0,1,2,1,19,5,5,0,0,9,1,1,0,0,43,0,4,9,15,24,1,0,0,0,0,1,1,0,0,0,6,0,0,0,0,6,2,1,1,0,4,0,0,0,0,14,0,0,2,6,8
Norwalk Pd,2014,California,106838,CA01949,0,0,11,8,0,13,12,1,110,25,9,13,63,557,45,39,60,41,372,360,228,119,13,1155,486,455,24,7,2689,0,185,316,2001,2317,1,0,11,10,1,48,8,1,8,31,429,16,18,49,35,311,58,35,22,1,262,39,34,5,0,848,0,118,178,359,537,0,0,1,1,0,2,0,0,0,2,25,4,2,0,0,19,10,9,1,0,19,2,2,0,0,59,0,6,9,31,40,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,4,1,0,1,0,4,1,1,0,0,11,0,0,1,6,7
