agency,year,state,population,ORI,act_all_crimes,clr_all_crimes,clr_18_all_crimes,unfound_all_crimes,act_aggravated_assault,tot_clr_aggravated_assault,clr_18_aggravated_assault,unfound_aggravated_assault,act_assault_total,tot_clr_assault_total,clr_18_assault_total,unfound_assault_total,act_gun_assault,tot_clr_gun_assault,clr_18_gun_assault,unfound_gun_assault,act_knife_assault,tot_clr_knife_assault,clr_18_knife_assault,unfound_knife_assault,act_other_weapon_assault,tot_clr_other_weapon_assault,clr_18_other_weapon_assault,unfound_other_weapon_assault,act_simple_assault,tot_clr_simple_assault,clr_18_simple_assault,unfound_simple_assault,act_hand_feet_assault,tot_clr_hand_feet_assault,clr_18_hand_feet_assault,unfound_hand_feet_assault,act_burglary_total,tot_clr_burglary_total,clr_18_burglary_total,unfound_burglary_total,act_attempted_burglary,tot_clr_attempted_burglary,clr_18_attempted_burglary,unfound_attempted_burglary,act_burg_force_entry,tot_clr_burg_force_entry,clr_18_burg_force_entry,unfound_burg_force_entry,act_burg_no_force_entry,tot_clr_burg_no_force_entry,clr_18_burg_no_force_entry,unfound_burg_no_force_entry,act_mtr_vhc_theft_total,tot_clr_mtr_vhc_theft_total,clr_18_mtr_vhc_theft_total,unfound_mtr_vhc_theft_total,act_manslaughter,tot_clr_manslaughter,clr_18_manslaughter,unfound_manslaughter,act_murder,tot_clr_murder,clr_18_murder,unfound_murder,officers_assaulted,officers_killed_by_accident,officers_killed_by_felony,act_rape_total,tot_clr_rape_total,clr_18_rape_total,unfound_rape_total,act_attempted_rape,tot_clr_attempted_rape,clr_18_attempted_rape,unfound_attempted_rape,act_force_rape,tot_clr_force_rape,clr_18_force_rape,unfound_force_rape,act_robbery_total,tot_clr_robbery_total,clr_18_robbery_total,unfound_robbery_total,act_gun_robbery,tot_clr_gun_robbery,clr_18_gun_robbery,unfound_gun_robbery,act_knife_robbery,tot_clr_knife_robbery,clr_18_knife_robbery,unfound_knife_robbery,act_other_weapon_robbery,tot_clr_other_weapon_robbery,clr_18_other_weapon_robbery,unfound_other_weapon_robbery,act_strong_arm_robbery,tot_clr_strong_arm_robbery,clr_18_strong_arm_robbery,unfound_strong_arm_robbery,act_theft_total,tot_clr_theft_total,clr_18_theft_total,unfound_theft_total,act_auto_theft,tot_clr_auto_theft,clr_18_auto_theft,unfound_auto_theft,act_other_vhc_theft,tot_clr_other_vhc_theft,clr_18_other_vhc_theft,unfound_other_vhc_theft,act_truck_bus_theft,tot_clr_truck_bus_theft,clr_18_truck_bus_theft,unfound_truck_bus_theft
Rio Vista Police Department,2007,California,7778,CA04804,159,110,17,4,31,25,2,2,38,27,3,2,0,0,0,0,0,0,0,0,4,4,0,0,7,2,1,0,27,21,2,2,44,31,3,2,5,4,0,0,14,10,0,0,25,17,3,2,13,9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,1,0,61,41,10,0,12,8,0,0,1,1,0,0,0,0,0,0
Rio Vista Police Department,2006,California,7141,CA04804,107,43,9,1,1,1,1,0,33,33,7,0,1,1,1,0,0,0,0,0,0,0,0,0,32,32,6,0,0,0,0,0,20,1,1,0,0,0,0,0,11,0,0,0,9,1,1,0,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,4,1,1,9,4,0,0,1,0,0,0,1,1,0,0
Rio Vista Police Department,2005,California,6600,CA04804,160,61,11,2,1,1,1,0,33,33,5,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,4,0,1,1,1,0,19,2,1,0,1,0,0,0,6,1,0,0,12,1,1,0,29,15,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,77,10,4,2,18,9,0,0,4,1,1,0,7,5,0,0
Rio Vista Police Department,2004,California,6213,CA04804,204,62,7,5,3,3,0,0,36,33,2,0,0,0,0,0,0,0,0,0,1,1,0,0,33,30,2,0,2,2,0,0,37,6,3,2,2,1,1,0,23,2,1,0,12,3,1,2,16,7,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,15,2,3,13,6,0,0,0,0,0,0,3,1,0,0
Rio Vista Police Department,2003,California,5744,CA04804,202,71,19,4,5,4,2,0,50,48,11,0,0,0,0,0,0,0,0,0,1,1,0,0,45,44,9,0,4,3,2,0,35,3,1,2,0,0,0,0,25,3,1,1,10,0,0,1,15,10,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,100,10,6,2,9,7,1,0,2,1,0,0,4,2,0,0
Rio Vista Police Department,2002,California,4739,CA04804,244,74,17,7,1,1,0,0,40,39,7,0,0,0,0,0,0,0,0,0,1,1,0,0,39,38,7,0,0,0,0,0,51,6,1,3,0,0,0,0,33,3,0,1,18,3,1,2,25,14,2,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,125,15,7,3,11,6,1,1,6,2,1,0,8,6,0,0
Rio Vista Police Department,2001,California,4656,CA04804,273,82,35,30,16,16,9,1,57,57,27,2,2,2,2,0,0,0,0,0,2,2,1,1,41,41,18,1,12,12,6,0,57,2,0,9,0,0,0,0,19,1,0,9,38,1,0,0,22,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,135,17,8,19,16,4,0,0,4,0,0,0,2,2,0,0
Rio Vista Police Department,2e3,California,4571,CA04804,162,56,16,1,13,13,5,0,34,34,8,0,1,1,1,0,0,0,0,0,2,2,1,0,21,21,3,0,10,10,3,0,45,7,4,0,3,2,0,0,22,1,0,0,20,4,4,0,9,5,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,10,2,1,4,3,2,0,4,2,0,0,1,0,0,0
Rio Vista Police Department,1999,California,3970,CA04804,145,56,15,7,12,10,3,0,37,35,11,1,0,0,0,0,0,0,0,0,3,2,1,0,25,25,8,1,9,8,2,0,30,2,0,1,0,0,0,0,16,1,0,0,14,1,0,1,7,5,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,14,3,3,4,4,1,0,1,0,0,2,2,1,0,0
Rio Vista Police Department,1998,California,3586,CA04804,159,62,6,3,13,13,1,0,31,30,2,0,0,0,0,0,2,2,0,0,1,1,0,0,18,17,1,0,10,10,1,0,36,3,1,0,0,0,0,0,25,1,0,0,11,2,1,0,7,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,26,3,3,7,3,0,0,0,0,0,0,0,0,0,0
