agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burglary_total,actual_burglary_force_entry,actual_burglary_nonforce_entry,actual_burglary_attempted,actual_theft_total,actual_motor_vehicle_theft_total,actual_motor_vehicle_theft_car,actual_motor_vehicle_theft_truck,actual_motor_vehicle_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,unfounded_murder,unfounded_manslaughter,unfounded_rape_total,unfounded_rape_by_force,unfounded_rape_attempted,unfounded_robbery_total,unfounded_robbery_with_a_gun,unfounded_robbery_with_a_knife,unfounded_robbery_other_weapon,unfounded_robbery_unarmed,unfounded_assault_total,unfounded_assault_with_a_gun,unfounded_assault_with_a_knife,unfounded_assault_other_weapon,unfounded_assault_unarmed,unfounded_assault_simple,unfounded_burglary_total,unfounded_burglary_force_entry,unfounded_burglary_nonforce_entry,unfounded_burglary_attempted,unfounded_theft_total,unfounded_motor_vehicle_theft_total,unfounded_motor_vehicle_theft_car,unfounded_motor_vehicle_theft_truck,unfounded_motor_vehicle_theft_other,unfounded_all_crimes,unfounded_theft_under50_dollar,unfounded_assault_aggravated,unfounded_index_violent,unfounded_index_property,unfounded_index_total
Bremerton Police Department,2023,Washington,46342,WA01801,0,0,0,1,0,33,31,2,41,10,5,6,20,808,17,20,31,45,695,194,74,101,19,767,273,238,19,16,2117,0,113,188,1234,1422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bremerton Police Department,2022,Washington,44256,WA01801,0,0,0,1,0,40,40,0,44,11,5,5,23,1029,22,16,35,52,904,317,31,257,29,1191,352,206,101,45,2974,0,125,210,1860,2070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bremerton Police Department,2021,Washington,42798,WA01801,0,0,0,2,0,38,36,2,22,8,3,4,7,919,21,11,35,38,814,246,50,164,32,878,244,158,54,32,2349,0,105,167,1368,1535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bremerton Police Department,2020,Washington,41817,WA01801,0,0,0,1,0,17,17,0,23,2,2,5,14,887,22,15,36,30,784,224,41,159,24,948,173,116,27,30,2273,0,103,144,1345,1489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bremerton Police Department,2019,Washington,41675,WA01801,0,0,0,1,0,26,26,0,34,7,6,4,17,1073,10,13,47,37,966,234,56,153,25,984,140,106,26,8,2492,0,107,168,1358,1526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bremerton Police Department,2018,Washington,41527,WA01801,0,0,0,1,0,34,32,2,33,7,2,3,21,905,7,18,33,30,817,254,75,139,40,996,124,85,23,16,2347,0,88,156,1374,1530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bremerton Police Department,2017,Washington,41173,WA01801,0,0,0,2,0,29,24,5,29,6,3,5,15,931,18,29,46,63,775,264,74,160,30,1210,200,162,26,12,2665,0,156,216,1674,1890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bremerton Police Department,2016,Washington,39862,WA01801,0,0,0,0,0,31,29,2,38,6,2,3,27,793,12,23,40,56,662,257,69,154,34,1160,161,127,23,11,2440,0,131,200,1578,1778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bremerton Police Department,2015,Washington,38755,WA01801,0,0,0,1,0,38,35,3,37,10,5,8,14,750,6,20,41,67,616,302,92,180,30,1178,136,109,20,7,2442,0,134,210,1616,1826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bremerton Police Department,2014,Washington,39359,WA01801,0,0,0,0,0,39,37,2,39,13,2,4,20,719,9,18,41,62,589,345,106,210,29,1318,154,132,17,5,2614,0,130,208,1817,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
