agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_mtr_veh_theft_total,actual_mtr_veh_theft_car,actual_mtr_veh_theft_truck,actual_mtr_veh_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,tot_clr_murder,tot_clr_manslaughter,tot_clr_rape_total,tot_clr_rape_by_force,tot_clr_rape_attempted,tot_clr_robbery_total,tot_clr_robbery_with_a_gun,tot_clr_robbery_with_a_knife,tot_clr_robbery_other_weapon,tot_clr_robbery_unarmed,tot_clr_assault_total,tot_clr_assault_with_a_gun,tot_clr_assault_with_a_knife,tot_clr_assault_other_weapon,tot_clr_assault_unarmed,tot_clr_assault_simple,tot_clr_burg_total,tot_clr_burg_force_entry,tot_clr_burg_nonforce_entry,tot_clr_burg_attempted,tot_clr_theft_total,tot_clr_mtr_veh_theft_total,tot_clr_mtr_veh_theft_car,tot_clr_mtr_veh_theft_truck,tot_clr_mtr_veh_theft_other,tot_clr_all_crimes,tot_clr_theft_under50_dollar,tot_clr_assault_aggravated,tot_clr_index_violent,tot_clr_index_property,tot_clr_index_total,clr_18_murder,clr_18_manslaughter,clr_18_rape_total,clr_18_rape_by_force,clr_18_rape_attempted,clr_18_robbery_total,clr_18_robbery_with_a_gun,clr_18_robbery_with_a_knife,clr_18_robbery_other_weapon,clr_18_robbery_unarmed,clr_18_assault_total,clr_18_assault_with_a_gun,clr_18_assault_with_a_knife,clr_18_assault_other_weapon,clr_18_assault_unarmed,clr_18_assault_simple,clr_18_burg_total,clr_18_burg_force_entry,clr_18_burg_nonforce_entry,clr_18_burg_attempted,clr_18_theft_total,clr_18_mtr_veh_theft_total,clr_18_mtr_veh_theft_car,clr_18_mtr_veh_theft_truck,clr_18_mtr_veh_theft_other,clr_18_all_crimes,clr_18_theft_under50_dollar,clr_18_assault_aggravated,clr_18_index_violent,clr_18_index_property,clr_18_index_total,unfound_murder,unfound_manslaughter,unfound_rape_total,unfound_rape_by_force,unfound_rape_attempted,unfound_robbery_total,unfound_robbery_with_a_gun,unfound_robbery_with_a_knife,unfound_robbery_other_weapon,unfound_robbery_unarmed,unfound_assault_total,unfound_assault_with_a_gun,unfound_assault_with_a_knife,unfound_assault_other_weapon,unfound_assault_unarmed,unfound_assault_simple,unfound_burg_total,unfound_burg_force_entry,unfound_burg_nonforce_entry,unfound_burg_attempted,unfound_theft_total,unfound_mtr_veh_theft_total,unfound_mtr_veh_theft_car,unfound_mtr_veh_theft_truck,unfound_mtr_veh_theft_other,unfound_all_crimes,unfound_theft_under50_dollar,unfound_assault_aggravated,unfound_index_violent,unfound_index_property,unfound_index_total
Caruthersville Police Department,2013,Missouri,6107,MO07801,0,0,0,1,0,5,5,0,12,3,0,1,8,119,4,12,13,42,48,90,40,41,9,152,14,11,2,1,393,0,71,89,256,345,1,0,2,2,0,1,0,0,0,1,37,0,2,3,8,24,9,6,3,0,21,2,2,0,0,73,0,13,17,32,49,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,1,0,0,2,0,0,0,0,5,0,0,0,3,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,1,2
Caruthersville Police Department,2012,Missouri,6139,MO07801,0,0,0,0,0,3,3,0,14,6,0,0,8,132,4,7,18,59,44,98,58,28,12,176,9,8,1,0,432,0,88,105,283,388,0,0,1,1,0,2,2,0,0,0,25,2,3,4,9,7,6,3,3,0,10,4,4,0,0,48,0,18,21,20,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,3,0,1,2,1,3
Caruthersville Police Department,2011,Missouri,6190,MO07801,1,0,0,1,0,1,0,1,9,3,3,2,1,90,3,10,12,37,28,96,64,22,10,138,9,8,1,0,344,0,62,73,243,316,1,0,0,0,0,0,0,0,0,0,16,2,3,0,6,5,2,1,1,0,12,1,1,0,0,32,0,11,12,15,27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caruthersville Police Department,2010,Missouri,6168,MO07801,0,0,0,2,0,2,1,1,5,2,0,1,2,81,2,5,9,24,41,120,61,48,11,166,7,6,0,1,383,0,40,49,293,342,2,0,0,0,0,0,0,0,0,0,37,0,2,5,8,22,13,8,4,1,26,3,3,0,0,81,0,15,17,42,59,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,0,1,1,0,0,3,0,0,0,0,7,0,3,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,2,0,0,0,0,6,0,0,0,6,6
Caruthersville Police Department,2009,Missouri,6082,MO07801,0,0,0,0,0,1,1,0,5,2,0,0,3,113,1,8,10,38,56,93,46,40,7,108,12,10,1,1,332,0,57,63,213,276,0,0,0,0,0,1,1,0,0,0,46,0,1,0,10,35,10,5,3,2,13,2,2,0,0,72,0,11,12,25,37,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,2,2,1,1,0,1,0,0,0,0,6,0,1,1,3,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
Caruthersville Police Department,2008,Missouri,6177,MO07801,0,0,0,0,0,7,4,3,8,2,0,0,6,99,3,4,6,37,49,75,52,18,5,147,8,4,0,4,344,0,50,65,230,295,0,0,4,2,2,1,0,0,0,1,46,0,2,2,17,25,10,8,1,1,26,0,0,0,0,87,0,21,26,36,62,0,0,1,0,1,0,0,0,0,0,6,0,0,0,2,4,3,3,0,0,6,0,0,0,0,16,0,2,3,9,12,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,23,7,13,3,14,0,0,0,0,39,0,1,2,37,39
Caruthersville Police Department,2007,Missouri,6310,MO07801,0,0,0,0,0,1,1,0,7,3,2,0,2,102,1,0,2,10,89,58,42,12,4,172,8,4,2,2,348,0,13,21,238,259,0,0,1,1,0,3,1,2,0,0,54,0,0,1,6,47,5,2,2,1,17,2,2,0,0,82,0,7,11,24,35,0,0,1,1,0,0,0,0,0,0,9,0,0,0,2,7,2,1,1,0,2,0,0,0,0,14,0,2,3,4,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,1,2
Caruthersville Police Department,2006,Missouri,6497,MO07801,0,0,0,0,0,1,1,0,8,5,0,0,3,117,1,3,4,8,101,83,49,28,6,214,12,8,3,1,435,0,16,25,309,334,0,0,0,0,0,1,0,0,0,1,47,1,0,1,4,41,4,3,1,0,19,4,3,0,1,75,0,6,7,27,34,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,6,0,0,0,0,8,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,1,1,0,1,0,0,0,0,5,0,0,0,3,3
Caruthersville Police Department,2005,Missouri,6557,MO07801,0,0,0,1,0,1,0,1,7,2,0,0,5,96,1,3,3,2,87,113,62,49,2,228,11,5,4,2,457,0,9,18,352,370,0,0,1,0,1,1,0,0,0,1,56,0,3,3,1,49,10,7,2,1,20,5,2,1,2,93,0,7,9,35,44,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0,2,3,2,0,1,3,2,0,0,2,12,0,2,2,8,10,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,2,0,0,0,0,5,1,1,0,0,9,0,1,1,6,7
Caruthersville Police Department,2004,Missouri,6622,MO07801,0,0,0,0,0,0,0,0,5,2,0,0,3,149,6,6,13,2,122,87,65,18,4,218,15,14,0,1,474,0,27,32,320,352,0,0,0,0,0,2,0,0,0,2,47,2,2,3,2,38,8,5,1,2,30,3,2,0,1,90,0,9,11,41,52,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,10,4,4,0,0,12,1,0,0,1,28,0,1,1,17,18,0,0,0,0,0,1,0,1,0,0,14,0,2,0,0,12,6,1,5,0,15,0,0,0,0,36,0,2,3,21,24
Caruthersville Police Department,2003,Missouri,6673,MO07801,0,0,0,0,0,0,0,0,2,1,0,0,1,78,6,4,5,5,58,73,70,3,0,175,15,7,4,4,343,0,20,22,263,285,0,0,0,0,0,1,1,0,0,0,32,0,2,1,3,26,9,9,0,0,15,3,1,1,1,60,0,6,7,27,34,0,0,0,0,0,1,1,0,0,0,3,0,1,0,0,2,3,3,0,0,3,0,0,0,0,10,0,1,2,6,8,0,0,0,0,0,2,1,0,0,1,6,0,0,0,0,6,3,3,0,0,3,0,0,0,0,14,0,0,2,6,8
Caruthersville Police Department,2002,Missouri,6854,MO07801,0,0,0,0,0,1,1,0,7,4,2,0,1,94,6,5,14,42,27,87,82,4,1,247,14,8,4,2,450,0,67,75,348,423,0,0,1,1,0,4,2,1,0,1,47,2,3,8,19,15,9,9,0,0,31,12,7,4,1,104,0,32,37,52,89,0,0,1,1,0,0,0,0,0,0,6,0,1,2,2,1,0,0,0,0,12,0,0,0,0,19,0,5,6,12,18,0,0,1,1,0,1,0,0,0,1,10,0,1,0,5,4,4,3,1,0,4,1,0,1,0,21,0,6,8,9,17
