year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI,actual_index_total
1960,3951777,1261,50,109,327,775,44009,7847,32035,4127,Wisconsin,Wisconsin State-Level Estimate,,45270
1961,4022000,1268,63,101,361,743,46669,9021,34197,3451,Wisconsin,Wisconsin State-Level Estimate,,47937
1962,4092000,1174,37,98,348,691,47038,8757,34041,4240,Wisconsin,Wisconsin State-Level Estimate,,48212
1963,4061000,1312,70,115,393,734,53390,9584,38919,4887,Wisconsin,Wisconsin State-Level Estimate,,54702
1964,4107000,1762,60,124,451,1127,63348,11725,45756,5867,Wisconsin,Wisconsin State-Level Estimate,,65110
1965,4144000,1911,64,149,475,1223,63934,11871,45701,6362,Wisconsin,Wisconsin State-Level Estimate,,65845
1966,4161000,1984,80,151,537,1216,77055,14346,54736,7973,Wisconsin,Wisconsin State-Level Estimate,,79039
1967,4189000,2948,80,194,1171,1503,90556,18862,62703,8991,Wisconsin,Wisconsin State-Level Estimate,,93504
1968,4213000,3400,92,262,1394,1652,97134,21225,67312,8597,Wisconsin,Wisconsin State-Level Estimate,,100534
1969,4233000,3411,87,305,1196,1823,101909,21101,71330,9478,Wisconsin,Wisconsin State-Level Estimate,,105320
1970,4417933,3792,88,296,1462,1946,115584,23792,82178,9614,Wisconsin,Wisconsin State-Level Estimate,,119376
1971,4476000,3957,126,341,1411,2079,130780,28172,91837,10771,Wisconsin,Wisconsin State-Level Estimate,,134737
1972,4520000,4358,126,376,1661,2195,129024,28862,89642,10520,Wisconsin,Wisconsin State-Level Estimate,,133382
1973,4569000,5273,119,492,2226,2436,139878,32467,96953,10458,Wisconsin,Wisconsin State-Level Estimate,,145151
1974,4566000,6411,138,514,3025,2734,159843,38212,110395,11236,Wisconsin,Wisconsin State-Level Estimate,,166254
1975,4607000,6992,150,490,3381,2971,176165,42317,122794,11054,Wisconsin,Wisconsin State-Level Estimate,,183157
1976,4609000,6345,140,542,2734,2929,173437,38891,124275,10271,Wisconsin,Wisconsin State-Level Estimate,,179782
1977,4651000,6117,130,600,2426,2961,171245,39390,121588,10267,Wisconsin,Wisconsin State-Level Estimate,,177362
1978,4679000,6184,118,677,2336,3053,175372,39599,125037,10736,Wisconsin,Wisconsin State-Level Estimate,,181556
1979,4720000,7839,160,758,2857,4064,199273,44806,141880,12587,Wisconsin,Wisconsin State-Level Estimate,,207112
1980,4680917,8546,136,697,3310,4403,216073,50524,154070,11479,Wisconsin,Wisconsin State-Level Estimate,,224619
1981,4739000,8904,161,745,3249,4749,216997,50813,155892,10292,Wisconsin,Wisconsin State-Level Estimate,,225901
1982,4765000,9077,148,680,3393,4856,202447,46564,147177,8706,Wisconsin,Wisconsin State-Level Estimate,,211524
1983,4751000,9070,131,861,3415,4663,193118,41980,141434,9704,Wisconsin,Wisconsin State-Level Estimate,,202188
1984,4766000,9367,117,790,3167,5293,189484,39755,138526,11203,Wisconsin,Wisconsin State-Level Estimate,,198851
1985,4775000,9880,135,875,3351,5519,181918,37987,133349,10582,Wisconsin,Wisconsin State-Level Estimate,,191798
1986,4785000,12339,149,961,3483,7746,183692,37464,134083,12145,Wisconsin,Wisconsin State-Level Estimate,,196031
1987,4807000,12014,168,954,3192,7700,188411,40502,136058,11851,Wisconsin,Wisconsin State-Level Estimate,,200425
1988,4858000,10414,144,965,3258,6047,182545,35423,134046,13076,Wisconsin,Wisconsin State-Level Estimate,,192959
1989,4867000,10834,176,993,3659,6006,191869,35683,140040,16146,Wisconsin,Wisconsin State-Level Estimate,,202703
1990,4891769,12948,225,1013,5514,6196,202052,36755,144924,20373,Wisconsin,Wisconsin State-Level Estimate,,215000
1991,4955000,13723,239,1259,5895,6330,207560,37241,148695,21624,Wisconsin,Wisconsin State-Level Estimate,,221283
1992,5007000,13806,218,1315,5997,6276,202448,34645,146198,21605,Wisconsin,Wisconsin State-Level Estimate,,216254
1993,5038000,13321,222,1269,5714,6116,190923,33400,139148,18375,Wisconsin,Wisconsin State-Level Estimate,,204244
1994,5082000,13748,227,1192,5739,6590,186704,32824,135559,18321,Wisconsin,Wisconsin State-Level Estimate,,200452
1995,5123000,14399,219,1194,5384,7602,184665,31416,134623,18626,Wisconsin,Wisconsin State-Level Estimate,,199064
1996,5160000,13039,204,1086,4982,6767,184143,30356,135941,17846,Wisconsin,Wisconsin State-Level Estimate,,197182
1997,5170000,13988,205,1048,5214,7521,176145,29503,131002,15640,Wisconsin,Wisconsin State-Level Estimate,,190133
1998,5224000,13009,190,1037,4474,7308,172084,29740,128134,14210,Wisconsin,Wisconsin State-Level Estimate,,185093
1999,5250446,12908,179,1055,4449,7225,160154,25633,120702,13819,Wisconsin,Wisconsin State-Level Estimate,,173062
2000,5363675,12700,169,1165,4537,6829,159424,25183,119605,14636,Wisconsin,Wisconsin State-Level Estimate,,172124
2001,5405947,12486,192,1142,4444,6708,166924,26927,125275,14722,Wisconsin,Wisconsin State-Level Estimate,,179410
2002,5439692,12238,154,1237,4713,6134,164749,27926,123365,13458,Wisconsin,Wisconsin State-Level Estimate,,176987
2003,5474290,12104,183,1202,4397,6322,157684,26546,118775,12363,Wisconsin,Wisconsin State-Level Estimate,,169788
2004,5503533,11548,154,1136,4067,6191,146710,23854,111482,11374,Wisconsin,Wisconsin State-Level Estimate,,158258
2005,5527644,13367,206,1135,4555,7471,147556,24448,110531,12577,Wisconsin,Wisconsin State-Level Estimate,,160923
2006,5556506,15899,165,1233,5564,8937,156748,27038,115682,14028,Wisconsin,Wisconsin State-Level Estimate,,172647
2007,5601640,16330,185,1227,5480,9438,159305,27890,117957,13458,Wisconsin,Wisconsin State-Level Estimate,,175635
2008,5627967,15507,146,1128,5163,9070,155456,27459,116456,11541,Wisconsin,Wisconsin State-Level Estimate,,170963
2009,5654774,14650,146,1118,4904,8482,147692,26813,111947,8932,Wisconsin,Wisconsin State-Level Estimate,,162342
2010,5691659,14167,155,1191,4516,8305,142781,26636,107993,8152,Wisconsin,Wisconsin State-Level Estimate,,156948
2011,5709843,14268,138,1190,4600,8340,139912,27167,104472,8273,Wisconsin,Wisconsin State-Level Estimate,,154180
2012,5724554,16254,169,1228,4692,10165,140780,27931,104619,8230,Wisconsin,Wisconsin State-Level Estimate,,157034
2013,5742953,16118,163,1836,4834,9285,125694,24358,93946,7390,Wisconsin,Wisconsin State-Level Estimate,,141812
2014,5757564,16714,165,1674,5066,9809,120238,21216,89103,9919,Wisconsin,Wisconsin State-Level Estimate,,136952
2015,5767891,17549,240,1805,5234,10270,114171,19602,83572,10997,Wisconsin,Wisconsin State-Level Estimate,,131720
2016,5772917,17716,232,2005,4707,10772,111911,19498,82455,9958,Wisconsin,Wisconsin State-Level Estimate,,129627
2017,5792051,18638,192,2177,4370,11899,104908,17570,77868,9470,Wisconsin,Wisconsin State-Level Estimate,,123546
2018,5813568,17176,176,2248,3489,11263,90686,14099,67953,8634,Wisconsin,Wisconsin State-Level Estimate,,107862
