agency,year,state,population,ORI,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_strong_arm,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_mtr_veh_theft_total,actual_mtr_veh_theft_car,actual_mtr_veh_theft_truck,actual_mtr_veh_theft_other,actual_all_crimes,actual_assault_aggravated,tot_clr_murder,tot_clr_manslaughter,tot_clr_rape_total,tot_clr_rape_by_force,tot_clr_rape_attempted,tot_clr_robbery_total,tot_clr_robbery_with_a_gun,tot_clr_robbery_with_a_knife,tot_clr_robbery_other_weapon,tot_clr_robbery_strong_arm,tot_clr_assault_total,tot_clr_assault_with_a_gun,tot_clr_assault_with_a_knife,tot_clr_assault_other_weapon,tot_clr_assault_unarmed,tot_clr_assault_simple,tot_clr_burg_total,tot_clr_burg_force_entry,tot_clr_burg_nonforce_entry,tot_clr_burg_attempted,tot_clr_theft_total,tot_clr_mtr_veh_theft_total,tot_clr_mtr_veh_theft_car,tot_clr_mtr_veh_theft_truck,tot_clr_mtr_veh_theft_other,tot_clr_all_crimes,tot_clr_assault_aggravated,clr_18_murder,clr_18_manslaughter,clr_18_rape_total,clr_18_rape_by_force,clr_18_rape_attempted,clr_18_robbery_total,clr_18_robbery_with_a_gun,clr_18_robbery_with_a_knife,clr_18_robbery_other_weapon,clr_18_robbery_strong_arm,clr_18_assault_total,clr_18_assault_with_a_gun,clr_18_assault_with_a_knife,clr_18_assault_other_weapon,clr_18_assault_unarmed,clr_18_assault_simple,clr_18_burg_total,clr_18_burg_force_entry,clr_18_burg_nonforce_entry,clr_18_burg_attempted,clr_18_theft_total,clr_18_mtr_veh_theft_total,clr_18_mtr_veh_theft_car,clr_18_mtr_veh_theft_truck,clr_18_mtr_veh_theft_other,clr_18_all_crimes,clr_18_assault_aggravated,unfound_murder,unfound_manslaughter,unfound_rape_total,unfound_rape_by_force,unfound_rape_attempted,unfound_robbery_total,unfound_robbery_with_a_gun,unfound_robbery_with_a_knife,unfound_robbery_other_weapon,unfound_robbery_strong_arm,unfound_assault_total,unfound_assault_with_a_gun,unfound_assault_with_a_knife,unfound_assault_other_weapon,unfound_assault_unarmed,unfound_assault_simple,unfound_burg_total,unfound_burg_force_entry,unfound_burg_nonforce_entry,unfound_burg_attempted,unfound_theft_total,unfound_mtr_veh_theft_total,unfound_mtr_veh_theft_car,unfound_mtr_veh_theft_truck,unfound_mtr_veh_theft_other,unfound_all_crimes,unfound_assault_aggravated
Sitka Police Dept,2017,Alaska,8736,AK00109,1,0,0,0,0,1,0,0,1,0,89,4,2,5,1,77,12,6,6,0,145,6,5,1,0,254,12,1,0,0,0,0,0,0,0,0,0,74,4,2,5,1,62,2,2,0,0,28,3,2,1,0,108,12,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,1,0,1,0,6,1,1,0,0,12,0
Sitka Police Dept,2016,Alaska,8836,AK00109,0,0,3,3,0,0,0,0,0,0,76,0,3,5,1,67,12,5,7,0,133,4,4,0,0,228,9,0,0,0,0,0,0,0,0,0,0,72,0,3,4,1,64,3,3,0,0,30,0,0,0,0,105,8,0,0,0,0,0,0,0,0,0,0,7,0,1,1,0,5,0,0,0,0,2,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,6,1,1,0,0,10,0
Sitka Police Dept,2015,Alaska,8850,AK00109,0,0,0,0,0,1,0,1,0,0,78,2,3,3,5,65,10,2,8,0,132,5,4,1,0,226,13,0,0,0,0,0,0,0,0,0,0,76,2,3,3,5,63,4,1,3,0,32,3,2,1,0,115,13,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,3,3,2,1,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,5,0,0,0,0,8,0
Sitka Police Dept,2014,Alaska,9051,AK00109,0,0,0,0,0,0,0,0,0,0,46,1,1,1,3,40,37,7,30,0,195,7,4,3,0,285,6,0,0,0,0,0,0,0,0,0,0,40,1,1,1,3,34,5,1,4,0,24,0,0,0,0,69,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,6,2,2,0,0,9,0
Sitka Police Dept,2013,Alaska,9093,AK00109,0,0,-1,-1,0,0,0,0,0,0,61,2,1,3,1,54,21,3,16,2,174,12,6,4,2,267,7,0,0,1,1,0,0,0,0,0,0,58,2,0,2,5,49,3,1,1,1,31,4,2,2,0,97,9,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,2,0,1,1,4,1,0,1,0,13,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,5,2,1,0,1,10,0
Sitka Police Dept,2012,Alaska,9060,AK00109,0,0,1,1,0,1,1,0,0,0,50,3,2,2,3,40,17,3,13,1,120,6,5,1,0,195,10,0,0,0,0,0,1,1,0,0,0,40,3,2,1,3,31,5,2,3,0,27,1,1,0,0,74,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,2,1,0,1,0,4,1,1,0,0,9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,9,1,0,1,0,11,0
Sitka Police Dept,2011,Alaska,9037,AK00109,0,0,1,1,0,3,0,0,0,3,61,2,2,3,5,49,28,7,21,0,167,4,4,0,0,264,12,0,0,2,2,0,2,0,0,0,2,46,2,2,3,11,28,7,2,5,0,47,2,2,0,0,106,18,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,2,1,1,0,0,8,0,0,0,0,12,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,4,0,4,0,11,0,0,0,0,17,1
Sitka Police Dept,2010,Alaska,8881,AK00109,0,0,3,3,0,2,1,0,0,1,76,9,6,11,2,48,19,10,8,1,182,21,12,2,7,303,28,0,0,1,1,0,0,0,0,0,0,55,9,5,8,2,31,2,0,1,1,38,6,5,0,1,102,24,0,0,0,0,0,0,0,0,0,0,9,0,1,1,0,7,0,0,0,0,12,0,0,0,0,21,2,0,0,3,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,8,4,4,0,0,16,0
Sitka Police Dept,2009,Alaska,8896,AK00109,0,0,7,7,0,2,0,0,1,1,64,1,3,5,0,55,18,7,11,0,229,22,20,2,0,342,9,0,0,4,4,0,0,0,0,0,0,31,1,2,4,0,24,4,1,3,0,20,4,4,0,0,63,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,1,0,1,0,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,11,3,3,0,0,15,0
Sitka Police Dept,2008,Alaska,8879,AK00109,1,0,3,3,0,0,0,0,0,0,83,1,2,3,3,74,18,3,15,0,273,41,31,4,6,419,9,1,0,0,0,0,0,0,0,0,0,55,0,2,1,2,50,2,0,2,0,31,11,8,0,3,100,5,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,6,1,0,1,0,10,3,2,0,1,21,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,9,3,3,0,0,14,0
