agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burglary_total,actual_burglary_force_entry,actual_burglary_nonforce_entry,actual_burglary_attempted,actual_theft_total,actual_motor_vehicle_theft_total,actual_motor_vehicle_theft_car,actual_motor_vehicle_theft_truck,actual_motor_vehicle_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,unfounded_murder,unfounded_manslaughter,unfounded_rape_total,unfounded_rape_by_force,unfounded_rape_attempted,unfounded_robbery_total,unfounded_robbery_with_a_gun,unfounded_robbery_with_a_knife,unfounded_robbery_other_weapon,unfounded_robbery_unarmed,unfounded_assault_total,unfounded_assault_with_a_gun,unfounded_assault_with_a_knife,unfounded_assault_other_weapon,unfounded_assault_unarmed,unfounded_assault_simple,unfounded_burglary_total,unfounded_burglary_force_entry,unfounded_burglary_nonforce_entry,unfounded_burglary_attempted,unfounded_theft_total,unfounded_motor_vehicle_theft_total,unfounded_motor_vehicle_theft_car,unfounded_motor_vehicle_theft_truck,unfounded_motor_vehicle_theft_other,unfounded_all_crimes,unfounded_theft_under50_dollar,unfounded_assault_aggravated,unfounded_index_violent,unfounded_index_property,unfounded_index_total
Hudson Police Department,2023,New Hampshire,25669,NH00628,0,0,0,0,0,10,9,1,4,0,0,0,4,277,2,1,0,2,272,26,16,6,4,176,6,6,0,0,499,0,5,19,208,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hudson Police Department,2022,New Hampshire,25530,NH00628,0,0,0,1,0,11,11,0,2,1,0,0,1,250,2,0,1,0,247,14,5,4,5,178,12,9,3,0,468,0,3,17,204,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hudson Police Department,2021,New Hampshire,25736,NH00628,0,0,0,0,0,12,12,0,3,1,0,0,2,240,0,1,1,6,232,21,7,11,3,158,19,17,2,0,453,0,8,23,198,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hudson Police Department,2020,New Hampshire,25748,NH00628,0,0,0,0,0,9,9,0,6,1,3,1,1,231,0,4,1,2,224,23,6,10,7,177,13,9,2,2,459,0,7,22,213,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hudson Police Department,2019,New Hampshire,25695,NH00628,0,0,0,0,0,3,3,0,2,0,0,0,2,248,0,3,8,3,234,27,11,9,7,174,9,6,3,0,463,0,14,19,210,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hudson Police Department,2018,New Hampshire,25232,NH00628,0,0,0,0,0,3,3,0,3,0,0,0,3,263,5,5,6,3,244,27,7,7,13,205,15,10,4,1,516,0,19,25,247,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hudson Police Department,2017,New Hampshire,25212,NH00628,0,0,0,0,0,9,9,0,1,0,0,0,1,247,1,2,7,7,230,28,11,8,9,209,13,10,2,1,507,0,17,27,250,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hudson Police Department,2016,New Hampshire,24997,NH00628,0,0,0,0,0,5,5,0,5,1,2,0,2,274,9,5,12,4,244,30,16,8,6,253,23,15,6,2,590,0,30,40,306,346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hudson Police Department,2015,New Hampshire,24849,NH00628,0,0,0,0,0,11,11,0,3,2,0,0,1,263,4,7,4,6,242,45,21,12,12,261,15,8,1,6,598,0,21,35,321,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hudson Police Department,2014,New Hampshire,24685,NH00628,0,0,0,0,0,7,7,0,5,0,2,1,2,265,5,4,2,9,245,63,27,25,11,351,16,11,2,3,707,0,20,32,430,462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hudson Police Department,2013,New Hampshire,24591,NH00628,0,0,0,0,0,10,8,2,8,3,2,0,3,307,0,12,5,6,284,65,27,17,21,297,9,5,3,1,696,0,23,41,371,412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hudson Police Department,2012,New Hampshire,24574,NH00628,0,0,0,0,0,6,6,0,5,1,0,1,3,249,5,2,5,7,230,68,32,23,13,336,20,16,3,1,684,0,19,30,424,454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hudson Police Department,2011,New Hampshire,24499,NH00628,0,0,0,0,2,4,4,0,7,1,1,0,5,279,2,6,3,7,261,60,25,26,9,288,19,13,2,4,659,0,18,29,367,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hudson Police Department,2010,New Hampshire,24467,NH00628,0,0,0,0,0,5,5,0,2,1,0,0,1,337,6,6,7,4,314,76,29,27,20,302,30,18,8,4,752,0,23,30,408,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hudson Police Department,2009,New Hampshire,24978,NH00628,0,0,0,0,1,7,7,0,5,1,0,1,3,349,6,17,2,4,320,62,23,23,16,319,22,10,7,5,765,0,29,41,403,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hudson Police Department,2008,New Hampshire,25009,NH00628,0,0,0,0,0,6,5,1,3,1,1,0,1,267,2,8,6,1,250,71,27,26,18,330,30,19,8,3,707,0,17,26,431,457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hudson Police Department,2007,New Hampshire,24996,NH00628,0,0,0,0,0,3,3,0,5,1,1,2,1,223,1,7,4,3,208,70,41,23,6,318,21,15,4,2,640,0,15,23,409,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hudson Police Department,2006,New Hampshire,24661,NH00628,0,0,0,0,0,9,7,2,7,3,1,0,3,204,3,1,3,3,194,66,31,14,21,298,43,19,20,4,627,0,10,26,407,433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
