year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI
1960,11319366,11203,296,995,3840,6072,107586,33709,60023,13854,Pennsylvania,Pennsylvania State-Level Estimate,
1961,11468000,11223,298,841,4094,5990,108895,36391,58729,13775,Pennsylvania,Pennsylvania State-Level Estimate,
1962,11376000,11856,311,946,4534,6065,117167,37298,64359,15510,Pennsylvania,Pennsylvania State-Level Estimate,
1963,11424000,12678,268,930,4771,6709,128209,40089,69915,18205,Pennsylvania,Pennsylvania State-Level Estimate,
1964,11459000,14162,384,1061,5111,7606,142616,44235,76983,21398,Pennsylvania,Pennsylvania State-Level Estimate,
1965,11520000,16384,411,1181,6069,8723,155050,48070,81476,25504,Pennsylvania,Pennsylvania State-Level Estimate,
1966,11582000,15169,378,1267,5815,7709,157775,49073,84394,24308,Pennsylvania,Pennsylvania State-Level Estimate,
1967,11629000,16119,448,1154,6735,7782,177676,56709,93482,27485,Pennsylvania,Pennsylvania State-Level Estimate,
1968,11712000,20710,475,1203,9981,9051,206151,65151,108204,32796,Pennsylvania,Pennsylvania State-Level Estimate,
1969,11803000,22887,488,1430,10690,10279,215276,68187,111114,35975,Pennsylvania,Pennsylvania State-Level Estimate,
1970,11793909,25970,637,1408,12810,11115,231825,70730,120380,40715,Pennsylvania,Pennsylvania State-Level Estimate,
1971,11879000,31917,738,1653,16853,12673,273153,88176,141238,43739,Pennsylvania,Pennsylvania State-Level Estimate,
1972,11926000,33052,721,1909,17800,12622,254458,89343,124743,40372,Pennsylvania,Pennsylvania State-Level Estimate,
1973,11902000,32397,754,1875,16498,13270,265361,92078,129810,43473,Pennsylvania,Pennsylvania State-Level Estimate,
1974,11835000,37281,795,2111,18876,15499,324104,109808,169836,44460,Pennsylvania,Pennsylvania State-Level Estimate,
1975,11827000,38933,808,2052,19935,16138,357206,116295,197510,43401,Pennsylvania,Pennsylvania State-Level Estimate,
1976,11862000,34985,719,2148,16366,15752,361199,107472,212424,41303,Pennsylvania,Pennsylvania State-Level Estimate,
1977,11785000,33328,655,2236,15356,15081,334069,103408,191397,39264,Pennsylvania,Pennsylvania State-Level Estimate,
1978,11750000,35381,725,2195,16064,16397,338824,105737,193052,40035,Pennsylvania,Pennsylvania State-Level Estimate,
1979,11731000,39133,724,2533,17855,18021,370914,109668,215567,45679,Pennsylvania,Pennsylvania State-Level Estimate,
1980,11824220,43032,809,2722,21039,18462,398761,122800,226496,49465,Pennsylvania,Pennsylvania State-Level Estimate,
1981,11864000,44104,729,2662,22137,18576,392872,122372,226701,43799,Pennsylvania,Pennsylvania State-Level Estimate,
1982,11865000,42767,678,2448,20806,18835,366903,106867,220623,39413,Pennsylvania,Pennsylvania State-Level Estimate,
1983,11895000,40782,583,2449,20501,17249,339321,96425,205408,37488,Pennsylvania,Pennsylvania State-Level Estimate,
1984,11901000,38154,538,2764,17656,17196,325960,88517,196999,40444,Pennsylvania,Pennsylvania State-Level Estimate,
1985,11853000,39240,550,2886,17429,18375,320788,87417,194467,38904,Pennsylvania,Pennsylvania State-Level Estimate,
1986,11889000,42629,659,2984,18085,20901,326149,87362,196657,42130,Pennsylvania,Pennsylvania State-Level Estimate,
1987,11936000,44087,642,3130,17241,23074,333476,86177,205619,41680,Pennsylvania,Pennsylvania State-Level Estimate,
1988,12027000,43534,660,2992,16607,23275,338486,83791,203362,51333,Pennsylvania,Pennsylvania State-Level Estimate,
1989,12040000,45586,753,2963,18025,23845,359008,85925,216566,56517,Pennsylvania,Pennsylvania State-Level Estimate,
1990,11881643,51213,801,3068,20930,26414,361805,86624,215119,60062,Pennsylvania,Pennsylvania State-Level Estimate,
1991,11961000,53824,758,3435,23191,26440,371814,86074,228142,57598,Pennsylvania,Pennsylvania State-Level Estimate,
1992,12009000,51276,746,3324,21701,25505,356155,75834,224150,56171,Pennsylvania,Pennsylvania State-Level Estimate,
1993,12048000,50295,823,3195,21563,24714,343841,70125,220683,53033,Pennsylvania,Pennsylvania State-Level Estimate,
1994,12052000,51425,712,3145,22497,25071,342901,66468,222280,54153,Pennsylvania,Pennsylvania State-Level Estimate,
1995,12072000,51586,755,3046,22858,24927,354623,67815,236991,49817,Pennsylvania,Pennsylvania State-Level Estimate,
1996,12056000,57905,686,3034,22784,31401,370851,71357,250758,48736,Pennsylvania,Pennsylvania State-Level Estimate,
1997,12020000,53140,705,3289,18788,30358,359323,68218,246892,44213,Pennsylvania,Pennsylvania State-Level Estimate,
1998,12001000,50470,633,3223,19787,26827,342318,63777,235873,42668,Pennsylvania,Pennsylvania State-Level Estimate,
1999,11994016,50431,592,3279,18670,27890,323021,56037,227750,39234,Pennsylvania,Pennsylvania State-Level Estimate,
2000,12281054,51584,602,3247,18155,29580,316274,54080,225869,36325,Pennsylvania,Pennsylvania State-Level Estimate,
2001,12303104,50432,651,3467,17500,28814,313408,54345,223350,35713,Pennsylvania,Pennsylvania State-Level Estimate,
2002,12328827,49578,624,3731,17163,28060,300868,55610,212441,32817,Pennsylvania,Pennsylvania State-Level Estimate,
2003,12370761,49210,647,3556,17980,27027,300639,53918,213279,33442,Pennsylvania,Pennsylvania State-Level Estimate,
2004,12394471,50998,650,3535,18474,28339,299611,54443,214199,30969,Pennsylvania,Pennsylvania State-Level Estimate,
2005,12405348,52761,756,3586,19214,29205,300444,56134,214916,29394,Pennsylvania,Pennsylvania State-Level Estimate,
2006,12440621,55028,741,3611,21095,29581,304589,57739,217142,29708,Pennsylvania,Pennsylvania State-Level Estimate,
2007,12432792,51806,725,3443,19440,28198,293850,56091,211248,26511,Pennsylvania,Pennsylvania State-Level Estimate,
2008,12448279,51044,705,3485,18873,27981,300294,58687,219115,22492,Pennsylvania,Pennsylvania State-Level Estimate,
2009,12604767,48188,664,3626,17504,26394,277182,54772,204588,17822,Pennsylvania,Pennsylvania State-Level Estimate,
2010,12717722,46612,653,3472,16375,26112,276366,55206,204440,16720,Pennsylvania,Pennsylvania State-Level Estimate,
2011,12743948,46189,639,3339,16165,26046,283442,57966,208604,16872,Pennsylvania,Pennsylvania State-Level Estimate,
2012,12764475,45384,707,3371,15735,25571,276562,57040,204409,15113,Pennsylvania,Pennsylvania State-Level Estimate,
2013,12781296,42825,611,3795,14739,23680,263176,52000,197410,13766,Pennsylvania,Pennsylvania State-Level Estimate,
2014,12787209,40164,614,3827,13534,22189,247016,45720,188256,13040,Pennsylvania,Pennsylvania State-Level Estimate,
2015,12791904,40348,665,4299,12965,22419,231941,39573,180236,12132,Pennsylvania,Pennsylvania State-Level Estimate,
2016,12787085,40389,674,4459,12314,22942,222394,35178,174147,13069,Pennsylvania,Pennsylvania State-Level Estimate,
2017,12790447,40030,742,4216,11777,23295,210316,31925,165434,12957,Pennsylvania,Pennsylvania State-Level Estimate,
2018,12807060,39192,784,4483,9848,24077,190816,27104,150596,13116,Pennsylvania,Pennsylvania State-Level Estimate,
