year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI
1960,2328284,2258,174,299,929,856,44665,12834,27270,4561,Oklahoma,Oklahoma State-Level Estimate,
1961,2360000,2437,119,286,817,1215,43592,12586,26513,4493,Oklahoma,Oklahoma State-Level Estimate,
1962,2448000,2478,126,182,973,1197,45959,12563,28501,4895,Oklahoma,Oklahoma State-Level Estimate,
1963,2487000,2808,129,200,997,1482,46008,13331,27904,4773,Oklahoma,Oklahoma State-Level Estimate,
1964,2465000,3609,110,269,1055,2175,49743,14793,30000,4950,Oklahoma,Oklahoma State-Level Estimate,
1965,2482000,3339,110,275,957,1997,46795,13784,28227,4784,Oklahoma,Oklahoma State-Level Estimate,
1966,2458000,3552,135,336,1015,2066,50357,15036,30485,4836,Oklahoma,Oklahoma State-Level Estimate,
1967,2495000,3703,166,343,976,2218,54045,15632,33655,4758,Oklahoma,Oklahoma State-Level Estimate,
1968,2518000,4473,162,383,1241,2687,61532,18290,37823,5419,Oklahoma,Oklahoma State-Level Estimate,
1969,2568000,4775,148,366,1268,2993,62443,18595,37563,6285,Oklahoma,Oklahoma State-Level Estimate,
1970,2559253,5194,151,400,1400,3243,71004,21381,42474,7149,Oklahoma,Oklahoma State-Level Estimate,
1971,2610000,6719,170,432,1575,4542,74830,24289,43174,7367,Oklahoma,Oklahoma State-Level Estimate,
1972,2634000,6289,184,501,1702,3902,75513,26156,42288,7069,Oklahoma,Oklahoma State-Level Estimate,
1973,2663000,6556,177,532,1816,4031,85755,30995,46475,8285,Oklahoma,Oklahoma State-Level Estimate,
1974,2709000,7588,220,676,2263,4429,103372,39421,54152,9799,Oklahoma,Oklahoma State-Level Estimate,
1975,2712000,8225,256,737,2445,4787,115933,42086,64409,9438,Oklahoma,Oklahoma State-Level Estimate,
1976,2766000,7926,178,747,1944,5057,116015,36441,71098,8476,Oklahoma,Oklahoma State-Level Estimate,
1977,2811000,8899,241,821,2075,5762,108028,36211,62632,9185,Oklahoma,Oklahoma State-Level Estimate,
1978,2880000,10165,244,893,2542,6486,108774,37433,61222,10119,Oklahoma,Oklahoma State-Level Estimate,
1979,2892000,11719,281,953,2966,7519,124293,42646,69292,12355,Oklahoma,Oklahoma State-Level Estimate,
1980,3001252,12589,299,1088,3147,8055,139061,50802,75649,12610,Oklahoma,Oklahoma State-Level Estimate,
