agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burglary_total,actual_burglary_force_entry,actual_burglary_nonforce_entry,actual_burglary_attempted,actual_theft_total,actual_motor_vehicle_theft_total,actual_motor_vehicle_theft_car,actual_motor_vehicle_theft_truck,actual_motor_vehicle_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,unfounded_murder,unfounded_manslaughter,unfounded_rape_total,unfounded_rape_by_force,unfounded_rape_attempted,unfounded_robbery_total,unfounded_robbery_with_a_gun,unfounded_robbery_with_a_knife,unfounded_robbery_other_weapon,unfounded_robbery_unarmed,unfounded_assault_total,unfounded_assault_with_a_gun,unfounded_assault_with_a_knife,unfounded_assault_other_weapon,unfounded_assault_unarmed,unfounded_assault_simple,unfounded_burglary_total,unfounded_burglary_force_entry,unfounded_burglary_nonforce_entry,unfounded_burglary_attempted,unfounded_theft_total,unfounded_motor_vehicle_theft_total,unfounded_motor_vehicle_theft_car,unfounded_motor_vehicle_theft_truck,unfounded_motor_vehicle_theft_other,unfounded_all_crimes,unfounded_theft_under50_dollar,unfounded_assault_aggravated,unfounded_index_violent,unfounded_index_property,unfounded_index_total
Altavista Police Department,2008,Virginia,3371,VA01601,0,0,0,0,0,0,0,0,4,2,0,2,0,60,1,2,6,3,48,18,4,13,1,83,13,13,0,0,178,0,12,16,114,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Altavista Police Department,2007,Virginia,3379,VA01601,0,0,0,0,0,3,3,0,1,0,0,0,1,52,0,3,2,2,45,12,3,8,1,109,8,7,1,0,185,0,7,11,129,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Altavista Police Department,2006,Virginia,3419,VA01601,0,0,0,0,0,1,1,0,4,2,0,0,2,79,0,1,3,2,73,8,1,6,1,83,10,9,0,1,185,0,6,11,101,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Altavista Police Department,2005,Virginia,3415,VA01601,0,0,0,0,0,0,0,0,3,1,0,2,0,67,0,1,1,2,63,15,2,10,3,109,10,10,0,0,204,0,4,7,134,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Altavista Police Department,2004,Virginia,3372,VA01601,0,0,0,0,0,0,0,0,1,0,0,1,0,60,0,0,1,3,56,18,4,13,1,114,13,12,0,1,206,0,4,5,145,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Altavista Police Department,2003,Virginia,3424,VA01601,0,0,0,1,0,1,1,0,0,0,0,0,0,39,1,0,1,3,34,9,3,6,0,55,8,7,1,0,113,0,5,7,72,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Altavista Police Department,2002,Virginia,3529,VA01601,0,0,0,0,0,1,1,0,1,1,0,0,0,52,2,1,1,1,47,12,7,4,1,56,7,6,0,1,129,0,5,7,75,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Altavista Police Department,2001,Virginia,3478,VA01601,0,0,0,0,0,1,1,0,2,0,0,0,2,54,0,2,3,2,47,12,9,1,2,70,4,4,0,0,143,0,7,10,86,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Altavista Police Department,2000,Virginia,3425,VA01601,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,1,0,4,63,13,10,1,2,67,8,6,2,0,156,0,5,5,88,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Altavista Police Department,1999,Virginia,3542,VA01601,0,0,0,0,0,0,0,0,1,1,0,0,0,48,0,0,2,0,46,18,16,2,0,65,11,8,3,0,143,0,2,3,94,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Altavista Police Department,1998,Virginia,3637,VA01601,0,0,0,0,0,0,0,0,1,0,0,0,1,72,2,1,2,5,62,9,8,1,0,88,6,5,1,0,176,0,10,11,103,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Altavista Police Department,1997,Virginia,3638,VA01601,0,0,0,0,0,1,1,0,3,0,0,1,2,83,1,2,1,4,75,10,7,2,1,105,6,5,1,0,208,0,8,12,121,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,2
Altavista Police Department,1996,Virginia,3607,VA01601,0,0,0,1,0,0,0,0,3,0,1,1,1,58,0,1,3,2,52,7,5,2,0,96,2,1,1,0,167,0,6,10,105,115,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1
Altavista Police Department,1995,Virginia,3577,VA01601,0,0,0,0,0,0,0,0,2,0,0,0,2,27,1,0,0,0,26,1,0,1,0,106,1,1,0,0,137,0,1,3,108,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Altavista Police Department,1994,Virginia,3796,VA01601,0,0,0,0,0,0,0,0,1,0,0,0,1,34,0,0,0,0,34,8,8,0,0,89,9,8,1,0,141,0,0,1,106,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Altavista Police Department,1993,Virginia,3761,VA01601,0,0,0,1,0,2,2,0,0,0,0,0,0,86,1,0,0,2,83,1,1,0,0,98,2,2,0,0,190,0,3,6,101,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Altavista Police Department,1992,Virginia,3798,VA01601,0,0,3,0,0,2,2,0,1,0,0,0,1,55,0,1,0,3,51,1,1,0,0,104,5,3,2,0,168,0,4,7,110,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,1,1,0,0,5,0,0,0,5,5
Altavista Police Department,1991,Virginia,3744,VA01601,0,0,1,0,0,1,1,0,0,0,0,0,0,19,0,0,0,0,19,7,7,0,0,110,5,4,1,0,142,0,0,1,122,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Altavista Police Department,1990,Virginia,3686,VA01601,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,3,25,26,24,2,0,115,4,1,3,0,173,0,3,3,145,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Altavista Police Department,1989,Virginia,3741,VA01601,0,0,2,0,0,0,0,0,2,2,0,0,0,18,0,0,1,1,16,7,7,0,0,151,8,5,3,0,186,0,2,4,166,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Altavista Police Department,1988,Virginia,3893,VA01601,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,12,12,0,0,94,2,2,0,0,111,0,0,0,108,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1
Altavista Police Department,1987,Virginia,3928,VA01601,0,0,3,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,5,4,0,1,76,4,3,0,1,93,0,0,0,85,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Altavista Police Department,1986,Virginia,3983,VA01601,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,1,2,0,60,9,4,4,1,73,0,1,1,72,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Altavista Police Department,1985,Virginia,3993,VA01601,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,1,2,2,0,0,68,3,3,0,0,77,0,3,3,73,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Altavista Police Department,1984,Virginia,3943,VA01601,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,0,11,6,4,0,2,61,5,2,3,0,84,0,1,1,72,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Altavista Police Department,1983,Virginia,4011,VA01601,0,0,3,0,0,0,0,0,2,1,1,0,0,12,0,1,0,0,11,19,14,4,1,73,4,2,2,0,110,0,1,3,96,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
Altavista Police Department,1982,Virginia,3969,VA01601,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,5,5,0,0,90,4,2,1,1,108,0,0,0,99,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Altavista Police Department,1981,Virginia,3922,VA01601,0,0,2,0,0,0,0,0,0,0,0,0,0,12,0,1,0,0,11,3,3,0,0,76,2,1,0,1,93,0,1,1,81,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Altavista Police Department,1980,Virginia,3848,VA01601,0,0,2,0,0,-1,-1,0,0,0,0,0,0,14,1,0,0,3,10,27,23,0,4,108,4,4,0,0,152,0,4,3,139,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Altavista Police Department,1979,Virginia,2834,VA01601,0,0,0,0,0,0,0,0,1,1,0,0,0,30,1,3,0,0,26,18,15,2,1,63,4,2,1,1,116,0,4,5,85,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Altavista Police Department,1978,Virginia,3061,VA01601,0,0,0,1,0,1,1,0,0,0,0,0,0,24,1,2,0,0,21,23,19,3,1,76,12,7,5,0,137,0,3,5,111,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Altavista Police Department,1977,Virginia,3030,VA01601,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,14,12,1,1,60,0,0,0,0,85,0,0,0,74,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Altavista Police Department,1976,Virginia,3127,VA01601,0,0,0,1,0,2,2,0,0,0,0,0,0,20,0,2,0,3,15,22,22,0,0,98,1,1,0,0,144,0,5,8,121,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Altavista Police Department,1975,Virginia,2800,VA01601,0,0,2,0,0,3,3,0,0,0,0,0,0,20,1,1,0,17,1,18,13,1,4,97,9,9,0,0,147,0,19,22,124,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Altavista Police Department,1974,Virginia,,VA01601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altavista Police Department,1973,Virginia,2954,VA01601,0,0,0,1,0,1,1,0,2,0,0,0,2,44,6,3,0,2,33,19,14,3,2,46,3,3,0,0,83,41,11,15,68,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Altavista Police Department,1972,Virginia,2855,VA01601,0,0,0,0,0,0,0,0,0,0,0,0,0,63,11,3,4,6,39,14,12,0,2,57,6,6,0,0,101,44,24,24,77,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Altavista Police Department,1971,Virginia,2823,VA01601,0,0,0,0,0,0,0,0,0,0,0,0,0,53,6,12,0,1,34,13,13,0,0,42,1,1,0,0,75,37,19,19,56,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Altavista Police Department,1970,Virginia,2708,VA01601,0,0,0,1,0,0,0,0,1,1,0,0,0,84,9,13,2,7,53,11,10,0,1,69,3,3,0,0,116,53,31,33,83,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Altavista Police Department,1969,Virginia,4000,VA01601,0,0,0,0,0,1,0,1,0,0,0,0,0,69,9,12,0,1,47,7,4,0,3,63,5,5,0,0,98,47,22,23,75,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Altavista Police Department,1968,Virginia,3335,VA01601,0,0,0,0,0,2,0,2,0,0,0,0,0,55,7,8,1,1,38,3,2,1,0,63,11,11,0,0,96,58,17,19,77,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Altavista Police Department,1967,Virginia,3335,VA01601,0,0,0,0,0,1,1,0,1,1,0,0,0,33,2,7,1,1,22,9,8,0,1,65,4,4,0,0,91,62,11,13,78,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Altavista Police Department,1966,Virginia,3283,VA01601,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,2,1,9,19,16,15,0,1,29,8,8,0,0,70,29,17,17,53,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Altavista Police Department,1965,Virginia,3286,VA01601,0,0,0,0,0,2,1,1,0,0,0,0,0,25,2,3,1,1,18,3,2,0,1,11,5,5,0,0,28,10,7,9,19,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Altavista Police Department,1964,Virginia,3398,VA01601,0,0,0,1,0,0,0,0,0,0,0,0,0,24,1,5,2,9,7,5,4,0,1,15,9,9,0,0,47,12,17,18,29,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Altavista Police Department,1963,Virginia,3423,VA01601,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,12,0,0,0,30,4,4,0,0,53,28,6,7,46,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Altavista Police Department,1962,Virginia,,VA01601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altavista Police Department,1961,Virginia,3299,VA01601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,23,3,3,0,0,29,17,0,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Altavista Police Department,1960,Virginia,3299,VA01601,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,27,3,3,0,0,39,25,5,5,34,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
