year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI
1960,1786272,1924,152,159,443,1170,16548,5399,10250,899,Arkansas,Arkansas State-Level Estimate,
1961,1797000,1809,163,130,446,1070,16836,5536,10211,1089,Arkansas,Arkansas State-Level Estimate,
1962,1823000,1667,144,124,400,999,18199,5683,11169,1347,Arkansas,Arkansas State-Level Estimate,
1963,1858000,1991,137,113,466,1275,19949,6087,12315,1547,Arkansas,Arkansas State-Level Estimate,
1964,1933000,2641,147,157,565,1772,23633,7135,14622,1876,Arkansas,Arkansas State-Level Estimate,
1965,1960000,2662,115,203,465,1879,22313,6344,14254,1715,Arkansas,Arkansas State-Level Estimate,
1966,1955000,3185,139,192,574,2280,23850,7044,15140,1666,Arkansas,Arkansas State-Level Estimate,
1967,1968000,4320,173,279,693,3175,27728,8735,17301,1692,Arkansas,Arkansas State-Level Estimate,
1968,2012000,4360,163,349,796,3052,35046,11463,21506,2077,Arkansas,Arkansas State-Level Estimate,
1969,1995000,4390,197,347,885,2961,39271,12989,24069,2213,Arkansas,Arkansas State-Level Estimate,
1970,1923295,4276,195,328,877,2876,42290,14606,25388,2296,Arkansas,Arkansas State-Level Estimate,
1971,1944000,4680,204,332,947,3197,40581,14014,24173,2394,Arkansas,Arkansas State-Level Estimate,
1972,1978000,4840,206,342,1084,3208,41690,14541,24891,2258,Arkansas,Arkansas State-Level Estimate,
1973,2037000,5905,180,398,1456,3871,50244,18088,29204,2952,Arkansas,Arkansas State-Level Estimate,
1974,2062000,6521,231,492,1664,4134,61539,22170,35989,3380,Arkansas,Arkansas State-Level Estimate,
1975,2116000,7369,213,547,1854,4755,67540,22791,41199,3550,Arkansas,Arkansas State-Level Estimate,
1976,2109000,6410,213,510,1618,4069,65437,19771,42474,3192,Arkansas,Arkansas State-Level Estimate,
1977,2144000,6924,188,592,1784,4360,64709,20852,39924,3933,Arkansas,Arkansas State-Level Estimate,
1978,2186000,7522,199,505,1748,5070,68151,21140,42647,4364,Arkansas,Arkansas State-Level Estimate,
1979,2180000,7984,198,595,1626,5565,70949,21457,45267,4225,Arkansas,Arkansas State-Level Estimate,
1980,2284037,7656,210,609,1848,4989,79390,25559,49558,4273,Arkansas,Arkansas State-Level Estimate,
1981,2294000,7119,209,577,1776,4557,79972,24732,50959,4281,Arkansas,Arkansas State-Level Estimate,
1982,2291000,7438,187,622,1805,4824,81259,24547,52450,4262,Arkansas,Arkansas State-Level Estimate,
1983,2328000,6930,178,586,1614,4552,74563,22380,48140,4043,Arkansas,Arkansas State-Level Estimate,
1984,2349000,7549,176,697,1587,5089,71554,20810,46807,3937,Arkansas,Arkansas State-Level Estimate,
1985,2359000,8199,187,686,1617,5709,76372,22207,49957,4208,Arkansas,Arkansas State-Level Estimate,
1986,2372000,9365,191,686,1890,6598,83729,24429,54677,4623,Arkansas,Arkansas State-Level Estimate,
1987,2388000,9839,182,779,1890,6988,91537,25743,60862,4932,Arkansas,Arkansas State-Level Estimate,
1988,2422000,10237,211,780,2037,7209,91962,26443,60363,5156,Arkansas,Arkansas State-Level Estimate,
1989,2406000,11397,203,924,2660,7610,98213,28738,63084,6391,Arkansas,Arkansas State-Level Estimate,
1990,2350725,12511,241,1019,2661,8590,101897,28464,66630,6803,Arkansas,Arkansas State-Level Estimate,
1991,2372000,14072,264,1058,3217,9533,108677,29093,71487,8097,Arkansas,Arkansas State-Level Estimate,
1992,2399000,13831,259,990,3011,9571,100402,26214,66288,7900,Arkansas,Arkansas State-Level Estimate,
1993,2424000,14381,247,1028,3027,10079,102231,26646,67767,7818,Arkansas,Arkansas State-Level Estimate,
1994,2453000,14598,294,1028,3158,10118,103115,26911,68478,7726,Arkansas,Arkansas State-Level Estimate,
1995,2484000,13741,259,925,3122,9435,102780,24763,69935,8082,Arkansas,Arkansas State-Level Estimate,
1996,2510000,13161,219,1046,2864,9032,104790,23925,73010,7855,Arkansas,Arkansas State-Level Estimate,
1997,2523000,13293,250,1098,2814,9131,105759,25568,72253,7938,Arkansas,Arkansas State-Level Estimate,
1998,2538000,12442,201,893,2442,8906,96271,23559,65525,7187,Arkansas,Arkansas State-Level Estimate,
1999,2551373,10848,143,710,2024,7971,92283,21692,63927,6664,Arkansas,Arkansas State-Level Estimate,
2000,2673400,11904,168,848,2001,8887,98115,21443,69740,6932,Arkansas,Arkansas State-Level Estimate,
2001,2694698,12190,148,892,2181,8969,99106,22196,69590,7320,Arkansas,Arkansas State-Level Estimate,
2002,2706268,11501,142,754,2524,8081,101171,23229,71129,6813,Arkansas,Arkansas State-Level Estimate,
2003,2727774,12449,180,911,2227,9131,99084,25016,68061,6007,Arkansas,Arkansas State-Level Estimate,
2004,2750000,13814,176,1183,2372,10083,110911,30151,74242,6518,Arkansas,Arkansas State-Level Estimate,
2005,2775708,14670,189,1202,2532,10747,112914,30118,75510,7286,Arkansas,Arkansas State-Level Estimate,
2006,2810872,15538,205,1325,2749,11259,112025,31864,72646,7515,Arkansas,Arkansas State-Level Estimate,
2007,2834797,15226,198,1294,3105,10629,112130,32035,73096,6999,Arkansas,Arkansas State-Level Estimate,
2008,2855390,14649,165,1463,2777,10244,110360,33912,69905,6543,Arkansas,Arkansas State-Level Estimate,
2009,2889450,14905,179,1378,2576,10772,109078,34753,68228,6097,Arkansas,Arkansas State-Level Estimate,
2010,2921588,14711,134,1321,2369,10887,103820,32463,65796,5561,Arkansas,Arkansas State-Level Estimate,
2011,2938582,14173,160,1230,2357,10426,110430,34016,70645,5769,Arkansas,Arkansas State-Level Estimate,
2012,2949828,13851,174,1233,2310,10134,109389,32673,70982,5734,Arkansas,Arkansas State-Level Estimate,
2013,2958765,13705,158,1490,2261,9796,106477,30369,70430,5678,Arkansas,Arkansas State-Level Estimate,
2014,2966369,14243,165,1763,2050,10265,99018,24790,68627,5601,Arkansas,Arkansas State-Level Estimate,
2015,2977853,15769,189,2008,2117,11455,97391,22851,68720,5820,Arkansas,Arkansas State-Level Estimate,
2016,2988231,16563,217,2214,2125,12007,98092,23814,67091,7187,Arkansas,Arkansas State-Level Estimate,
2017,3002997,16996,249,2140,1998,12609,94419,22369,64795,7255,Arkansas,Arkansas State-Level Estimate,
2018,3013825,16384,216,2196,1594,12378,87793,19193,61487,7113,Arkansas,Arkansas State-Level Estimate,
