year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI
1960,667191,255,16,48,92,99,11561,2011,8883,667,Idaho,Idaho State-Level Estimate,
1961,684000,222,14,44,64,100,12516,2203,9540,773,Idaho,Idaho State-Level Estimate,
1962,698000,234,21,25,63,125,13227,2458,9939,830,Idaho,Idaho State-Level Estimate,
1963,713000,362,18,39,87,218,13044,2405,9939,700,Idaho,Idaho State-Level Estimate,
1964,692000,537,28,41,71,397,12955,2285,10000,670,Idaho,Idaho State-Level Estimate,
1965,692000,493,14,38,70,371,13226,2483,10035,708,Idaho,Idaho State-Level Estimate,
1966,694000,461,21,66,54,320,13498,2706,10076,716,Idaho,Idaho State-Level Estimate,
1967,699000,478,30,61,76,311,12843,2837,9217,789,Idaho,Idaho State-Level Estimate,
1968,705000,518,16,59,83,360,14438,3318,10287,833,Idaho,Idaho State-Level Estimate,
1969,718000,806,14,72,120,600,18783,4236,13603,944,Idaho,Idaho State-Level Estimate,
1970,713008,879,33,88,146,612,21615,4803,15784,1028,Idaho,Idaho State-Level Estimate,
1971,732000,917,24,77,163,653,24758,5430,18109,1219,Idaho,Idaho State-Level Estimate,
1972,756000,1085,29,118,156,782,24773,5705,17678,1390,Idaho,Idaho State-Level Estimate,
1973,770000,1264,20,109,207,928,25361,6536,17231,1594,Idaho,Idaho State-Level Estimate,
1974,799000,1465,45,128,303,989,31155,8004,21441,1710,Idaho,Idaho State-Level Estimate,
1975,820000,1670,43,132,344,1151,32287,8717,21741,1829,Idaho,Idaho State-Level Estimate,
1976,831000,1884,44,155,332,1353,33604,8615,23076,1913,Idaho,Idaho State-Level Estimate,
1977,857000,2030,47,166,339,1478,33320,9005,22279,2036,Idaho,Idaho State-Level Estimate,
1978,878000,2076,47,169,351,1509,33174,9117,21917,2140,Idaho,Idaho State-Level Estimate,
1979,905000,2613,49,186,392,1986,35766,9729,23577,2460,Idaho,Idaho State-Level Estimate,
1980,943629,2957,29,211,442,2275,42169,11691,28243,2235,Idaho,Idaho State-Level Estimate,
