year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI,actual_index_total
1960,632772,138,15,21,69,33,14405,3328,9369,1708,Hawaii,Hawaii State-Level Estimate,,14543
1961,657000,161,15,25,70,51,16410,3909,10498,2003,Hawaii,Hawaii State-Level Estimate,,16571
1962,693000,256,20,17,120,99,17391,4485,10693,2213,Hawaii,Hawaii State-Level Estimate,,17647
1963,694000,215,12,18,80,105,17430,4944,10812,1674,Hawaii,Hawaii State-Level Estimate,,17645
1964,701000,575,15,18,95,447,18984,5880,11301,1803,Hawaii,Hawaii State-Level Estimate,,19559
1965,711000,491,23,6,133,329,22633,6974,13078,2581,Hawaii,Hawaii State-Level Estimate,,23124
1966,718000,598,21,35,155,387,24555,8111,14152,2292,Hawaii,Hawaii State-Level Estimate,,25153
1967,739000,591,18,37,146,390,26895,8516,15392,2987,Hawaii,Hawaii State-Level Estimate,,27486
1968,778000,662,22,56,176,408,33868,10610,19323,3935,Hawaii,Hawaii State-Level Estimate,,34530
1969,794000,684,27,97,282,278,35307,10360,20692,4255,Hawaii,Hawaii State-Level Estimate,,35991
1970,769913,938,28,91,487,332,39599,11211,23914,4474,Hawaii,Hawaii State-Level Estimate,,40537
1971,789000,1830,42,138,734,916,41240,11339,25425,4476,Hawaii,Hawaii State-Level Estimate,,43070
1972,809000,1258,55,172,448,583,36057,10805,22029,3223,Hawaii,Hawaii State-Level Estimate,,37315
1973,832000,1295,44,168,696,387,39962,12775,23552,3635,Hawaii,Hawaii State-Level Estimate,,41257
1974,847000,1762,70,221,1030,441,49665,15117,29584,4964,Hawaii,Hawaii State-Level Estimate,,51427
1975,865000,1889,67,214,1104,504,50241,15802,29909,4530,Hawaii,Hawaii State-Level Estimate,,52130
1976,887000,2034,55,209,1180,590,54042,16690,32544,4808,Hawaii,Hawaii State-Level Estimate,,56076
1977,895000,2012,64,228,1146,574,56576,17108,35088,4380,Hawaii,Hawaii State-Level Estimate,,58588
1978,897000,2423,60,232,1557,574,61588,17381,39087,5120,Hawaii,Hawaii State-Level Estimate,,64011
1979,915000,2651,66,296,1688,601,63664,16538,40580,6546,Hawaii,Hawaii State-Level Estimate,,66315
1980,964680,2889,84,335,1835,635,69291,17822,45564,5905,Hawaii,Hawaii State-Level Estimate,,72180
1981,979000,2424,47,340,1453,584,61636,16726,40699,4211,Hawaii,Hawaii State-Level Estimate,,64060
1982,994000,2542,31,342,1560,609,62906,16477,42248,4181,Hawaii,Hawaii State-Level Estimate,,65448
1983,1023000,2579,57,301,1330,891,56853,13636,38920,4297,Hawaii,Hawaii State-Level Estimate,,59432
1984,1039000,2409,34,314,1204,857,54573,12609,38329,3635,Hawaii,Hawaii State-Level Estimate,,56982
1985,1054000,2313,43,310,1048,912,52501,12164,37357,2980,Hawaii,Hawaii State-Level Estimate,,54814
1986,1062000,2604,51,329,1129,1095,57626,14218,39922,3486,Hawaii,Hawaii State-Level Estimate,,60230
1987,1083000,2851,52,393,1061,1345,60157,12515,43678,3964,Hawaii,Hawaii State-Level Estimate,,63008
1988,1093000,2810,44,355,919,1492,62650,13726,44946,3978,Hawaii,Hawaii State-Level Estimate,,65460
1989,1112000,3004,53,496,925,1530,66723,14939,47374,4410,Hawaii,Hawaii State-Level Estimate,,69727
1990,1108229,3113,44,360,1013,1696,64563,13611,46735,4217,Hawaii,Hawaii State-Level Estimate,,67676
1991,1135000,2744,45,375,986,1338,65020,14011,47195,3814,Hawaii,Hawaii State-Level Estimate,,67764
1992,1160000,2998,42,440,1151,1365,67901,13006,50544,4351,Hawaii,Hawaii State-Level Estimate,,70899
1993,1172000,3061,45,394,1214,1408,70505,13310,51912,5283,Hawaii,Hawaii State-Level Estimate,,73566
1994,1179000,3091,50,359,1221,1461,75672,14029,55260,6383,Hawaii,Hawaii State-Level Estimate,,78763
1995,1187000,3509,56,336,1553,1564,81938,13832,59907,8199,Hawaii,Hawaii State-Level Estimate,,85447
1996,1184000,3322,40,326,1606,1350,74639,12781,54701,7157,Hawaii,Hawaii State-Level Estimate,,77961
1997,1187000,3299,47,371,1403,1478,68193,12741,48984,6468,Hawaii,Hawaii State-Level Estimate,,71492
1998,1193000,2946,24,352,1225,1345,60677,11169,43914,5594,Hawaii,Hawaii State-Level Estimate,,63623
1999,1185497,2785,44,354,1044,1343,54539,9421,40458,4660,Hawaii,Hawaii State-Level Estimate,,57324
2000,1211537,2954,35,346,1123,1450,60033,10665,43254,6114,Hawaii,Hawaii State-Level Estimate,,62987
2001,1227024,3117,32,409,1142,1534,62830,11162,44925,6743,Hawaii,Hawaii State-Level Estimate,,65947
2002,1240663,3262,24,372,1210,1656,71976,12722,49344,9910,Hawaii,Hawaii State-Level Estimate,,75238
2003,1248755,3400,22,367,1168,1843,65867,11409,44807,9651,Hawaii,Hawaii State-Level Estimate,,69267
2004,1262124,3213,33,333,944,1903,60525,10827,41078,8620,Hawaii,Hawaii State-Level Estimate,,63738
2005,1273278,3253,24,343,1001,1885,61115,9792,42188,9135,Hawaii,Hawaii State-Level Estimate,,64368
2006,1285498,3608,21,353,1144,2090,54247,8724,37784,7739,Hawaii,Hawaii State-Level Estimate,,57855
2007,1283388,3544,24,377,1122,2021,52866,9089,37494,6283,Hawaii,Hawaii State-Level Estimate,,56410
2008,1288198,3510,26,363,1085,2036,45944,9404,31424,5116,Hawaii,Hawaii State-Level Estimate,,49454
2009,1295178,3550,23,385,1030,2112,47516,9244,33415,4857,Hawaii,Hawaii State-Level Estimate,,51066
2010,1363359,3603,25,377,1065,2136,45667,8706,31681,5280,Hawaii,Hawaii State-Level Estimate,,49270
2011,1378129,3465,20,353,994,2098,43874,8165,31240,4469,Hawaii,Hawaii State-Level Estimate,,47339
2012,1390090,3378,21,279,1125,1953,43419,7653,31901,3865,Hawaii,Hawaii State-Level Estimate,,46797
2013,1408987,3585,32,508,934,2111,45266,7777,32928,4561,Hawaii,Hawaii State-Level Estimate,,48851
2014,1419561,3680,26,445,1107,2102,43297,7778,31640,3879,Hawaii,Hawaii State-Level Estimate,,46977
2015,1431603,4201,19,561,1203,2418,54346,6557,42010,5779,Hawaii,Hawaii State-Level Estimate,,58547
2016,1428683,3452,35,619,985,1831,42353,5983,30871,5499,Hawaii,Hawaii State-Level Estimate,,45805
2017,1424203,3577,39,567,1077,1894,40392,5549,29574,5269,Hawaii,Hawaii State-Level Estimate,,43969
2018,1420491,3532,36,625,946,1925,40772,5631,29492,5649,Hawaii,Hawaii State-Level Estimate,,44304
