year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI
1960,1768687,1232,43,166,563,460,33738,7175,24252,2311,Oregon,Oregon State-Level Estimate,
1961,1799000,1242,48,138,626,430,34758,7276,24983,2499,Oregon,Oregon State-Level Estimate,
1962,1864000,1461,54,174,714,519,36903,8268,25871,2764,Oregon,Oregon State-Level Estimate,
1963,1826000,1393,55,161,554,623,38969,8823,27023,3123,Oregon,Oregon State-Level Estimate,
1964,1871000,2009,34,225,703,1047,45429,10727,30812,3890,Oregon,Oregon State-Level Estimate,
1965,1899000,2290,65,226,873,1126,50086,12079,34161,3846,Oregon,Oregon State-Level Estimate,
1966,1955000,2470,53,247,895,1275,55930,13394,37840,4696,Oregon,Oregon State-Level Estimate,
1967,1999000,3147,61,248,1317,1521,66121,17140,43515,5466,Oregon,Oregon State-Level Estimate,
1968,2008000,3955,64,346,1536,2009,71023,18978,46612,5433,Oregon,Oregon State-Level Estimate,
1969,2032000,4527,81,371,1760,2315,81016,22853,51692,6471,Oregon,Oregon State-Level Estimate,
1970,2091385,5373,97,377,2144,2755,92675,26632,59082,6961,Oregon,Oregon State-Level Estimate,
1971,2158000,6335,70,478,2383,3404,100266,28933,63543,7790,Oregon,Oregon State-Level Estimate,
1972,2182000,6494,119,574,2390,3411,103662,32049,63178,8435,Oregon,Oregon State-Level Estimate,
1973,2225000,6512,110,653,2211,3538,111348,35772,66494,9082,Oregon,Oregon State-Level Estimate,
1974,2266000,8326,127,732,2964,4503,135446,41766,83060,10620,Oregon,Oregon State-Level Estimate,
1975,2288000,10034,142,745,2982,6165,144457,43738,90053,10666,Oregon,Oregon State-Level Estimate,
1976,2329000,10654,97,829,3091,6637,137443,39587,88661,9195,Oregon,Oregon State-Level Estimate,
1977,2376000,10830,117,948,2948,6817,131426,38880,83306,9240,Oregon,Oregon State-Level Estimate,
1978,2444000,12278,123,1008,3204,7943,136205,39523,87033,9649,Oregon,Oregon State-Level Estimate,
1979,2527000,13781,107,1121,3299,9254,147264,40682,96823,9759,Oregon,Oregon State-Level Estimate,
1980,2610477,12802,132,1084,3978,7608,161759,45641,106712,9406,Oregon,Oregon State-Level Estimate,
1981,2647000,12671,117,1105,4780,6669,173596,52067,112518,9011,Oregon,Oregon State-Level Estimate,
1982,2649000,12529,136,1057,4433,6903,161444,47410,106061,7973,Oregon,Oregon State-Level Estimate,
1983,2662000,12986,109,1078,4533,7266,153412,46472,98880,8060,Oregon,Oregon State-Level Estimate,
1984,2674000,13533,128,1201,4508,7696,153423,48755,96742,7926,Oregon,Oregon State-Level Estimate,
1985,2687000,14807,125,1363,4986,8333,166023,50690,105725,9608,Oregon,Oregon State-Level Estimate,
1986,2698000,14830,178,1379,5555,7718,176207,53062,112312,10833,Oregon,Oregon State-Level Estimate,
