year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI,actual_index_total
1960,10081158,36802,489,1773,21048,13492,199283,58241,105423,35619,Illinois,Illinois State-Level Estimate,,236085
1961,10258000,37156,492,1767,20977,13920,213602,60204,117006,36392,Illinois,Illinois State-Level Estimate,,250758
1962,10146000,38926,537,1884,20442,16063,219393,56377,125306,37710,Illinois,Illinois State-Level Estimate,,258319
1963,10182000,33627,523,1416,19193,12495,229605,55117,135634,38854,Illinois,Illinois State-Level Estimate,,263232
1964,10489000,36916,572,1569,19123,15652,244754,57416,144783,42555,Illinois,Illinois State-Level Estimate,,281670
1965,10644000,34345,551,1706,17535,14553,236638,58566,137634,40438,Illinois,Illinois State-Level Estimate,,270983
1966,10722000,39116,745,1777,19824,16770,256731,60099,152102,44530,Illinois,Illinois State-Level Estimate,,295847
1967,10893000,42956,793,1953,21879,18331,274089,66282,161876,45931,Illinois,Illinois State-Level Estimate,,317045
1968,10974000,44776,893,1798,23209,18876,310546,75013,187133,48400,Illinois,Illinois State-Level Estimate,,355322
1969,11047000,49543,950,2113,26153,20327,333618,81602,199600,52416,Illinois,Illinois State-Level Estimate,,383161
1970,11113976,52006,1066,2270,27908,20762,368055,85067,225437,57551,Illinois,Illinois State-Level Estimate,,420061
1971,11196000,53436,1079,2418,28900,21039,381567,93682,234618,53267,Illinois,Illinois State-Level Estimate,,435003
1972,11251000,57162,985,2623,29267,24287,369377,95190,224344,49843,Illinois,Illinois State-Level Estimate,,426539
1973,11236000,62457,1163,2694,30651,27949,423492,115183,251263,57046,Illinois,Illinois State-Level Estimate,,485949
1974,11131000,69806,1319,3082,34882,30523,507254,140717,307382,59155,Illinois,Illinois State-Level Estimate,,577060
1975,11145000,74699,1179,2869,36308,34343,560955,157110,337698,66147,Illinois,Illinois State-Level Estimate,,635654
1976,11229000,70266,1161,2763,32243,34099,542301,141305,335946,65050,Illinois,Illinois State-Level Estimate,,612567
1977,11245000,70910,1109,2932,31524,35345,528191,141346,318062,68783,Illinois,Illinois State-Level Estimate,,599101
1978,11243000,76084,1108,3151,32932,38893,555753,151854,333910,69989,Illinois,Illinois State-Level Estimate,,631837
1979,11230000,83540,1203,3702,36056,42579,593750,161776,356062,75912,Illinois,Illinois State-Level Estimate,,677290
1980,11355062,91753,1205,3950,41675,44923,620107,177099,369319,73689,Illinois,Illinois State-Level Estimate,,711860
1981,11455000,90781,1205,3716,42752,43108,609767,173142,366696,69929,Illinois,Illinois State-Level Estimate,,700548
1982,11448000,88644,1005,3424,39700,44515,579954,157273,354106,68575,Illinois,Illinois State-Level Estimate,,668598
1983,11486000,83629,1112,3619,36625,42273,552857,148445,339061,65351,Illinois,Illinois State-Level Estimate,,636486
1984,11511000,83441,1033,3594,34965,43849,527124,135068,324649,67407,Illinois,Illinois State-Level Estimate,,610565
1985,11535000,82448,927,4529,33120,43872,530205,131015,331030,68160,Illinois,Illinois State-Level Estimate,,612653
1986,11533000,93454,1023,4765,37583,50083,548311,136306,339418,72587,Illinois,Illinois State-Level Estimate,,641765
1987,11582000,92216,967,4443,36406,50400,535126,130147,342492,62487,Illinois,Illinois State-Level Estimate,,627342
1988,11544000,93557,991,4449,36097,52020,555316,130292,355148,69876,Illinois,Illinois State-Level Estimate,,648873
1989,11658000,98611,1051,4161,39138,54261,558803,125441,362556,70806,Illinois,Illinois State-Level Estimate,,657414
1990,11430602,110575,1182,4505,45038,59850,567841,121506,372862,73473,Illinois,Illinois State-Level Estimate,,678416
1991,11543000,119955,1300,4615,52653,61387,587868,129284,382942,75642,Illinois,Illinois State-Level Estimate,,707823
1992,11631000,113664,1322,4312,47973,60057,556900,125306,359618,71976,Illinois,Illinois State-Level Estimate,,670564
1993,11697000,112260,1332,4046,44584,62298,544869,118788,360730,65351,Illinois,Illinois State-Level Estimate,,657129
1994,11752000,112928,1378,3913,43788,63849,548222,118116,363888,66218,Illinois,Illinois State-Level Estimate,,661150
1995,11830000,117836,1221,4313,39139,73163,527572,108555,357143,61874,Illinois,Illinois State-Level Estimate,,645408
1996,11847000,105482,1179,4548,33106,66649,524777,108185,358515,58077,Illinois,Illinois State-Level Estimate,,630259
1997,11896000,102476,1096,4415,33123,63842,509113,103550,350140,55423,Illinois,Illinois State-Level Estimate,,611589
1998,12045000,97291,1008,4095,29927,62261,487915,97792,337191,52932,Illinois,Illinois State-Level Estimate,,585206
1999,12128370,83621,939,4297,26365,52020,463939,86317,320954,56668,Illinois,Illinois State-Level Estimate,,547560
2000,12419293,81196,898,3926,25641,50731,445278,81850,313161,50267,Illinois,Illinois State-Level Estimate,,526474
2001,12520227,79270,982,4010,24931,49347,434648,79158,306757,48733,Illinois,Illinois State-Level Estimate,,513918
2002,12586447,75759,961,4370,25314,45114,430479,81440,304227,44812,Illinois,Illinois State-Level Estimate,,506238
2003,12649087,70376,895,4189,23786,41506,415885,78345,295907,41633,Illinois,Illinois State-Level Estimate,,486261
