agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burglary_total,actual_burglary_force_entry,actual_burglary_nonforce_entry,actual_burglary_attempted,actual_theft_total,actual_motor_vehicle_theft_total,actual_motor_vehicle_theft_car,actual_motor_vehicle_theft_truck,actual_motor_vehicle_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,unfounded_murder,unfounded_manslaughter,unfounded_rape_total,unfounded_rape_by_force,unfounded_rape_attempted,unfounded_robbery_total,unfounded_robbery_with_a_gun,unfounded_robbery_with_a_knife,unfounded_robbery_other_weapon,unfounded_robbery_unarmed,unfounded_assault_total,unfounded_assault_with_a_gun,unfounded_assault_with_a_knife,unfounded_assault_other_weapon,unfounded_assault_unarmed,unfounded_assault_simple,unfounded_burglary_total,unfounded_burglary_force_entry,unfounded_burglary_nonforce_entry,unfounded_burglary_attempted,unfounded_theft_total,unfounded_motor_vehicle_theft_total,unfounded_motor_vehicle_theft_car,unfounded_motor_vehicle_theft_truck,unfounded_motor_vehicle_theft_other,unfounded_all_crimes,unfounded_theft_under50_dollar,unfounded_assault_aggravated,unfounded_index_violent,unfounded_index_property,unfounded_index_total
Anderson Police Department,2023,California,11296,CA04501,0,0,0,0,0,20,20,0,7,1,0,1,5,171,7,6,12,15,131,50,20,25,5,234,26,12,2,12,508,0,40,67,310,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anderson Police Department,2022,California,11447,CA04501,0,0,0,0,0,13,12,1,12,1,0,4,7,197,17,8,14,8,150,72,41,25,6,268,58,34,15,9,620,0,47,72,398,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anderson Police Department,2021,California,,CA04501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anderson Police Department,2020,California,10705,CA04501,0,0,8,0,0,10,10,0,9,0,0,9,0,129,2,1,40,8,78,34,17,15,2,104,59,42,14,3,345,0,51,70,197,267,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,4,0,0,0,0,1,1,1,0,0,7,0,1,1,2,3
Anderson Police Department,2019,California,10545,CA04501,0,0,16,1,0,5,5,0,12,1,0,10,1,135,6,0,28,9,92,63,39,7,17,208,92,81,9,2,516,0,43,61,363,424,0,0,2,2,0,0,0,0,0,0,3,0,0,1,0,2,3,2,0,1,1,0,0,0,0,9,0,1,3,4,7
Anderson Police Department,2018,California,10433,CA04501,0,0,5,1,0,6,6,0,12,3,0,6,3,113,2,1,22,20,68,89,43,36,10,201,98,76,12,10,520,0,45,64,388,452,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
Anderson Police Department,2017,California,10281,CA04501,0,0,10,0,0,6,6,0,3,0,0,1,2,108,6,4,5,19,74,124,52,67,5,267,101,60,30,11,609,0,34,43,492,535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anderson Police Department,2016,California,10273,CA04501,0,0,6,2,0,8,8,0,6,1,1,1,3,155,1,7,11,57,79,51,20,28,3,315,86,54,11,21,623,0,76,92,452,544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anderson Police Department,2015,California,10277,CA04501,0,0,3,0,0,4,4,0,9,3,2,1,3,163,0,8,17,50,88,60,30,29,1,358,56,41,9,6,650,0,75,88,474,562,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,3,0,0,0,1,1
Anderson Police Department,2014,California,10176,CA04501,0,0,2,1,0,10,8,2,11,2,1,1,7,176,6,9,11,48,102,100,46,54,0,440,77,43,20,14,815,0,74,96,617,713,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,1,1,0,1,0,1,0,0,0,0,5,0,2,2,2,4
Anderson Police Department,2013,California,10098,CA04501,0,0,3,0,0,8,6,2,9,2,1,2,4,218,4,6,2,34,172,147,57,88,2,454,120,59,39,22,956,0,46,63,721,784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anderson Police Department,2012,California,10056,CA04501,0,0,10,0,0,6,6,0,11,4,2,1,4,261,0,4,12,54,191,144,57,84,3,368,94,62,18,14,884,0,70,87,606,693,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Anderson Police Department,2011,California,10049,CA04501,0,0,7,1,0,3,3,0,10,3,0,0,7,251,6,10,6,39,190,81,42,37,2,298,38,29,7,2,682,0,61,75,417,492,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,1,0,0,0,0,9,0,0,0,1,1
Anderson Police Department,2010,California,9932,CA04501,0,0,3,0,0,5,5,0,10,0,0,1,9,279,1,5,8,48,217,90,35,54,1,394,26,16,6,4,804,0,62,77,510,587,0,0,2,0,2,1,0,0,1,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,8,0,0,3,0,3
Anderson Police Department,2009,California,10718,CA04501,0,0,12,0,0,11,10,1,12,3,0,1,8,311,1,5,3,47,255,137,50,87,0,343,27,9,11,7,841,0,56,79,507,586,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,2,0,2,0,0,0,0,0,0,5,0,0,0,2,2
Anderson Police Department,2008,California,10739,CA04501,0,0,18,0,0,14,13,1,10,1,1,1,7,343,0,1,6,59,277,162,70,90,2,377,24,11,10,3,930,0,66,90,563,653,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,7,0,0,0,0,2,1,0,1,0,11,0,1,1,3,4
Anderson Police Department,2007,California,10629,CA04501,0,0,10,1,0,4,3,1,3,0,0,0,3,224,0,3,11,23,187,107,25,81,1,310,21,12,6,3,670,0,37,45,438,483,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,7,0,0,2,5,7
Anderson Police Department,2006,California,10623,CA04501,0,0,1,0,0,3,1,2,6,1,1,1,3,248,1,4,3,18,222,110,33,76,1,298,33,21,9,3,698,0,26,35,441,476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anderson Police Department,2005,California,10444,CA04501,0,0,1,0,0,9,8,1,5,1,1,0,3,263,5,5,19,18,216,167,68,98,1,231,31,16,9,6,706,0,47,61,429,490,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,1,1,0,0,4,0,0,0,1,1
Anderson Police Department,2004,California,10008,CA04501,0,0,2,1,0,4,4,0,5,0,1,0,4,341,1,4,28,26,282,166,51,113,2,304,44,21,19,4,865,0,59,69,514,583,0,0,1,1,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,5,3,3,0,0,18,0,0,1,8,9
