agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_motor_vehicle_theft_total,actual_motor_vehicle_theft_car,actual_motor_vehicle_theft_truck,actual_motor_vehicle_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,unfounded_murder,unfounded_manslaughter,unfounded_rape_total,unfounded_rape_by_force,unfounded_rape_attempted,unfounded_robbery_total,unfounded_robbery_with_a_gun,unfounded_robbery_with_a_knife,unfounded_robbery_other_weapon,unfounded_robbery_unarmed,unfounded_assault_total,unfounded_assault_with_a_gun,unfounded_assault_with_a_knife,unfounded_assault_other_weapon,unfounded_assault_unarmed,unfounded_assault_simple,unfounded_burg_total,unfounded_burg_force_entry,unfounded_burg_nonforce_entry,unfounded_burg_attempted,unfounded_theft_total,unfounded_motor_vehicle_theft_total,unfounded_motor_vehicle_theft_car,unfounded_motor_vehicle_theft_truck,unfounded_motor_vehicle_theft_other,unfounded_all_crimes,unfounded_theft_under50_dollar,unfounded_assault_aggravated,unfounded_index_violent,unfounded_index_property,unfounded_index_total
Brazos County Sheriff's Office,2023,Texas,30591,TX02100,0,0,0,0,0,6,6,0,1,1,0,0,0,250,29,3,11,4,203,73,54,19,0,136,28,23,1,4,494,0,47,54,237,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazos County Sheriff's Office,2022,Texas,31497,TX02100,0,0,0,2,0,22,22,0,0,0,0,0,0,326,26,5,11,7,277,82,54,27,1,244,41,29,5,7,717,0,49,73,367,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazos County Sheriff's Office,2021,Texas,22776,TX02100,0,0,0,0,0,20,19,1,6,3,1,1,1,220,6,5,6,8,195,55,23,31,1,190,35,25,4,6,526,0,25,51,280,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazos County Sheriff's Office,2020,Texas,24221,TX02100,0,0,7,0,0,9,9,0,2,1,0,0,1,150,2,5,4,8,131,53,30,19,4,213,25,15,2,8,452,0,19,30,291,321,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,0,0,0,6,0,0,1,5,6
Brazos County Sheriff's Office,2019,Texas,23654,TX02100,0,0,6,0,0,13,13,0,1,1,0,0,0,178,0,3,5,7,163,93,40,50,3,200,13,9,0,4,498,0,15,29,306,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazos County Sheriff's Office,2018,Texas,24658,TX02100,0,0,5,1,0,9,9,0,0,0,0,0,0,163,9,2,16,10,126,75,34,39,2,199,31,12,11,8,478,0,37,47,305,352,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,2,0,2
Brazos County Sheriff's Office,2017,Texas,24805,TX02100,0,0,2,1,1,8,8,0,1,1,0,0,0,124,9,6,6,6,97,73,38,27,8,220,15,11,3,1,443,0,27,37,308,345,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,4,0,0,1,2,3
Brazos County Sheriff's Office,2016,Texas,24415,TX02100,0,0,2,1,0,10,10,0,2,1,0,0,1,146,14,5,13,35,79,90,37,50,3,206,24,5,14,5,479,0,67,80,320,400,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,2,0,0,0,0,2,1,0,1,0,6,0,1,1,3,4
Brazos County Sheriff's Office,2015,Texas,25223,TX02100,0,0,2,2,0,11,9,2,3,2,0,0,1,146,2,8,4,61,71,107,51,48,8,206,12,8,2,2,487,0,75,91,325,416,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1
Brazos County Sheriff's Office,2014,Texas,25827,TX02100,0,0,0,0,0,4,4,0,1,1,0,0,0,78,1,1,7,39,30,153,58,94,1,141,11,4,3,4,388,0,48,53,305,358,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,7,0,0,0,0,10,0,0,0,7,7
