agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_mtr_veh_theft_total,actual_mtr_veh_theft_car,actual_mtr_veh_theft_truck,actual_mtr_veh_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,tot_clr_murder,tot_clr_manslaughter,tot_clr_rape_total,tot_clr_rape_by_force,tot_clr_rape_attempted,tot_clr_robbery_total,tot_clr_robbery_with_a_gun,tot_clr_robbery_with_a_knife,tot_clr_robbery_other_weapon,tot_clr_robbery_unarmed,tot_clr_assault_total,tot_clr_assault_with_a_gun,tot_clr_assault_with_a_knife,tot_clr_assault_other_weapon,tot_clr_assault_unarmed,tot_clr_assault_simple,tot_clr_burg_total,tot_clr_burg_force_entry,tot_clr_burg_nonforce_entry,tot_clr_burg_attempted,tot_clr_theft_total,tot_clr_mtr_veh_theft_total,tot_clr_mtr_veh_theft_car,tot_clr_mtr_veh_theft_truck,tot_clr_mtr_veh_theft_other,tot_clr_all_crimes,tot_clr_theft_under50_dollar,tot_clr_assault_aggravated,tot_clr_index_violent,tot_clr_index_property,tot_clr_index_total,clr_18_murder,clr_18_manslaughter,clr_18_rape_total,clr_18_rape_by_force,clr_18_rape_attempted,clr_18_robbery_total,clr_18_robbery_with_a_gun,clr_18_robbery_with_a_knife,clr_18_robbery_other_weapon,clr_18_robbery_unarmed,clr_18_assault_total,clr_18_assault_with_a_gun,clr_18_assault_with_a_knife,clr_18_assault_other_weapon,clr_18_assault_unarmed,clr_18_assault_simple,clr_18_burg_total,clr_18_burg_force_entry,clr_18_burg_nonforce_entry,clr_18_burg_attempted,clr_18_theft_total,clr_18_mtr_veh_theft_total,clr_18_mtr_veh_theft_car,clr_18_mtr_veh_theft_truck,clr_18_mtr_veh_theft_other,clr_18_all_crimes,clr_18_theft_under50_dollar,clr_18_assault_aggravated,clr_18_index_violent,clr_18_index_property,clr_18_index_total,unfound_murder,unfound_manslaughter,unfound_rape_total,unfound_rape_by_force,unfound_rape_attempted,unfound_robbery_total,unfound_robbery_with_a_gun,unfound_robbery_with_a_knife,unfound_robbery_other_weapon,unfound_robbery_unarmed,unfound_assault_total,unfound_assault_with_a_gun,unfound_assault_with_a_knife,unfound_assault_other_weapon,unfound_assault_unarmed,unfound_assault_simple,unfound_burg_total,unfound_burg_force_entry,unfound_burg_nonforce_entry,unfound_burg_attempted,unfound_theft_total,unfound_mtr_veh_theft_total,unfound_mtr_veh_theft_car,unfound_mtr_veh_theft_truck,unfound_mtr_veh_theft_other,unfound_all_crimes,unfound_theft_under50_dollar,unfound_assault_aggravated,unfound_index_violent,unfound_index_property,unfound_index_total
Hughes County Sheriff's Office,2023,Oklahoma,5945,OK03200,0,0,0,0,0,2,2,0,0,0,0,0,0,41,2,0,3,2,34,32,23,9,0,53,17,8,5,4,145,0,7,9,102,111,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,2,2,1,1,0,0,1,1,0,0,6,0,1,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hughes County Sheriff's Office,2022,Oklahoma,6087,OK03200,0,0,0,1,0,0,0,0,0,0,0,0,0,53,3,1,2,6,41,23,17,6,0,76,22,12,7,3,175,0,12,13,121,134,0,0,0,0,0,0,0,0,0,0,8,1,1,0,2,4,0,0,0,0,0,1,1,0,0,9,0,4,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hughes County Sheriff's Office,2021,Oklahoma,6015,OK03200,0,0,0,0,0,0,0,0,1,0,0,0,1,37,1,1,3,0,32,22,19,3,0,74,8,4,4,0,142,0,5,6,104,110,0,0,0,0,0,1,0,0,0,1,8,1,0,2,0,5,3,2,1,0,0,1,1,0,0,13,0,3,4,4,8,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hughes County Sheriff's Office,2020,Oklahoma,6134,OK03200,0,0,0,0,0,1,1,0,1,1,0,0,0,35,2,2,2,4,25,28,21,7,0,63,20,14,3,3,148,0,10,12,111,123,0,0,0,0,0,0,0,0,0,0,6,2,0,0,2,2,2,2,0,0,3,4,4,0,0,15,0,4,4,9,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hughes County Sheriff's Office,2019,Oklahoma,6097,OK03200,0,0,0,0,1,1,1,0,0,0,0,0,0,56,1,1,3,2,49,27,18,8,1,81,13,6,4,3,179,0,7,8,121,129,0,0,0,0,0,0,0,0,0,0,18,0,1,0,0,17,4,4,0,0,2,1,1,0,0,25,0,1,1,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hughes County Sheriff's Office,2018,Oklahoma,6320,OK03200,0,0,0,3,0,0,0,0,0,0,0,0,0,75,3,2,4,7,59,41,28,12,1,83,21,14,6,1,223,0,16,19,145,164,0,0,0,0,0,0,0,0,0,0,29,1,0,1,6,21,2,2,0,0,1,2,1,1,0,34,0,8,8,5,13,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,1,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hughes County Sheriff's Office,2017,Oklahoma,6402,OK03200,0,0,0,0,0,1,1,0,1,1,0,0,0,45,3,1,3,0,38,20,14,6,0,42,12,6,4,2,121,0,7,9,74,83,0,0,1,1,0,0,0,0,0,0,13,1,0,1,0,11,2,1,1,0,1,2,2,0,0,19,0,2,3,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hughes County Sheriff's Office,2016,Oklahoma,6496,OK03200,0,0,0,0,0,2,2,0,2,1,0,0,1,59,1,2,3,2,51,35,13,18,4,55,16,9,4,3,169,0,8,12,106,118,0,0,0,0,0,1,0,0,0,1,22,1,1,1,0,19,0,0,0,0,3,2,0,1,1,28,0,3,4,5,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hughes County Sheriff's Office,2015,Oklahoma,6606,OK03200,0,0,0,0,0,0,0,0,1,0,1,0,0,79,5,2,8,4,60,52,34,17,1,68,15,6,8,1,215,0,19,20,135,155,0,0,0,0,0,1,0,1,0,0,21,3,1,6,0,11,5,3,2,0,5,2,1,1,0,34,0,10,11,12,23,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hughes County Sheriff's Office,2014,Oklahoma,6613,OK03200,0,0,0,0,1,1,1,0,0,0,0,0,0,49,2,1,3,2,41,33,23,8,2,61,7,2,3,2,152,0,8,9,101,110,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,3,3,0,0,0,3,1,1,1,16,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hughes County Sheriff's Office,2013,Oklahoma,6692,OK03200,0,0,0,1,0,0,0,0,0,0,0,0,0,14,0,0,1,0,13,10,7,2,1,39,9,4,0,5,73,0,1,2,58,60,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
