year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI
1960,4951560,11061,527,403,4005,6126,122858,39966,73603,9289,Florida,Florida State-Level Estimate,
1961,5222000,11376,477,398,3746,6755,117144,37627,70655,8862,Florida,Florida State-Level Estimate,
1962,5459000,10489,420,318,3457,6294,128028,40575,78266,9187,Florida,Florida State-Level Estimate,
1963,5652000,12150,463,398,4017,7272,145313,46604,89034,9675,Florida,Florida State-Level Estimate,
1964,5705000,16539,489,589,4958,10503,175041,54959,108307,11775,Florida,Florida State-Level Estimate,
1965,5805000,17386,518,771,5146,10951,175351,55556,107733,12062,Florida,Florida State-Level Estimate,
1966,5941000,20069,612,871,5933,12653,200716,62839,123424,14453,Florida,Florida State-Level Estimate,
1967,5995000,23399,630,913,7850,14006,222612,73188,132298,17126,Florida,Florida State-Level Estimate,
1968,6160000,27913,731,1113,9849,16220,249194,81743,147745,19706,Florida,Florida State-Level Estimate,
1969,6354000,29411,720,1347,10345,16999,271930,86308,161291,24331,Florida,Florida State-Level Estimate,
1970,6789443,33824,860,1509,12636,18819,327182,106036,194216,26930,Florida,Florida State-Level Estimate,
1971,7041000,38575,933,1708,13422,22512,360864,118175,215037,27652,Florida,Florida State-Level Estimate,
1972,7259000,40252,924,1920,13745,23663,350054,116516,206962,26576,Florida,Florida State-Level Estimate,
1973,7678000,46419,1180,2447,17069,25723,411212,142597,234073,34542,Florida,Florida State-Level Estimate,
1974,8090000,54821,1191,2910,22263,28457,542815,185042,318708,39065,Florida,Florida State-Level Estimate,
1975,8357000,57540,1130,2986,20031,33393,587723,196358,354374,36991,Florida,Florida State-Level Estimate,
1976,8421000,54597,903,3055,15695,34944,536283,164609,343069,28605,Florida,Florida State-Level Estimate,
1977,8452000,58052,859,3348,15885,37960,511494,157195,324601,29698,Florida,Florida State-Level Estimate,
1978,8594000,65792,949,3960,17701,43182,541760,170061,338299,33400,Florida,Florida State-Level Estimate,
1979,8860000,73881,1084,4576,22097,46124,607281,190884,378099,38298,Florida,Florida State-Level Estimate,
1980,9567112,94095,1387,5439,34015,53254,709730,239825,424223,45682,Florida,Florida State-Level Estimate,
