year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI,actual_index_total
1960,3413864,1435,42,81,950,362,48614,12645,31303,4666,Minnesota,Minnesota State-Level Estimate,,50049
1961,3470000,1505,34,94,951,426,48865,13225,30971,4669,Minnesota,Minnesota State-Level Estimate,,50370
1962,3475000,1674,33,124,1028,489,52088,13312,33781,4995,Minnesota,Minnesota State-Level Estimate,,53762
1963,3500000,1983,41,91,1186,665,57409,14160,38075,5174,Minnesota,Minnesota State-Level Estimate,,59392
1964,3521000,2601,51,157,1285,1108,67797,18833,42580,6384,Minnesota,Minnesota State-Level Estimate,,70398
1965,3554000,3074,50,186,1433,1405,68411,18853,42393,7165,Minnesota,Minnesota State-Level Estimate,,71485
1966,3576000,3691,79,261,1765,1586,76202,20713,46683,8806,Minnesota,Minnesota State-Level Estimate,,79893
1967,3582000,4727,58,309,2402,1958,88160,25233,52454,10473,Minnesota,Minnesota State-Level Estimate,,92887
1968,3646000,5111,81,398,2959,1673,102930,29232,60897,12801,Minnesota,Minnesota State-Level Estimate,,108041
1969,3700000,5253,69,424,3016,1744,108583,28836,65527,14220,Minnesota,Minnesota State-Level Estimate,,113836
1970,3805069,5782,75,369,3389,1949,116014,30507,72354,13153,Minnesota,Minnesota State-Level Estimate,,121796
1971,3881000,5993,95,468,2987,2443,131274,34219,83741,13314,Minnesota,Minnesota State-Level Estimate,,137267
1972,3896000,6798,95,571,3290,2842,123876,36124,74612,13140,Minnesota,Minnesota State-Level Estimate,,130674
1973,3897000,6926,107,579,3455,2785,130855,39610,78122,13123,Minnesota,Minnesota State-Level Estimate,,137781
1974,3917000,8119,118,692,4079,3230,145857,43939,87280,14638,Minnesota,Minnesota State-Level Estimate,,153976
1975,3926000,8125,129,730,4069,3197,160641,46842,98784,15015,Minnesota,Minnesota State-Level Estimate,,168766
1976,3965000,7492,92,726,3189,3485,164235,44493,105978,13764,Minnesota,Minnesota State-Level Estimate,,171727
1977,3975000,7705,106,774,3413,3412,160471,45103,101731,13637,Minnesota,Minnesota State-Level Estimate,,168176
1978,4008000,7601,81,797,3411,3312,158495,43837,101646,13012,Minnesota,Minnesota State-Level Estimate,,166096
1979,4060000,8973,93,871,3754,4255,169376,45183,110827,13366,Minnesota,Minnesota State-Level Estimate,,178349
1980,4061235,9250,106,942,4025,4177,185668,50602,123050,12016,Minnesota,Minnesota State-Level Estimate,,194918
1981,4090000,9344,85,1056,4266,3937,184387,52253,121834,10300,Minnesota,Minnesota State-Level Estimate,,193731
1982,4133000,9062,95,938,4188,3841,175048,48855,116375,9818,Minnesota,Minnesota State-Level Estimate,,184110
1983,4144000,7909,69,927,3298,3615,159268,44571,106034,8663,Minnesota,Minnesota State-Level Estimate,,167177
1984,4162000,8802,74,1051,2960,4717,151082,41242,101240,8600,Minnesota,Minnesota State-Level Estimate,,159884
1985,4193000,10751,88,1242,3598,5823,162597,42663,108954,10980,Minnesota,Minnesota State-Level Estimate,,173348
1986,4214000,11991,105,1338,4299,6249,171832,42319,117371,12142,Minnesota,Minnesota State-Level Estimate,,183823
1987,4246000,12118,112,1439,4354,6213,183868,45384,125686,12798,Minnesota,Minnesota State-Level Estimate,,195986
1988,4306000,12490,124,1337,4079,6950,173302,39167,119526,14609,Minnesota,Minnesota State-Level Estimate,,185792
1989,4353000,12549,111,1363,4128,6947,178252,39042,122673,16537,Minnesota,Minnesota State-Level Estimate,,190801
1990,4375099,13392,117,1487,4057,7731,185185,39691,129500,15994,Minnesota,Minnesota State-Level Estimate,,198577
1991,4432000,14006,131,1762,4345,7768,185268,37832,131330,16106,Minnesota,Minnesota State-Level Estimate,,199274
1992,4480000,15144,150,1840,4906,8248,190520,39859,134750,15911,Minnesota,Minnesota State-Level Estimate,,205664
1993,4517000,15986,155,2796,5092,7943,183347,38147,129727,15473,Minnesota,Minnesota State-Level Estimate,,199333
1994,4567000,16397,147,2725,5370,8155,181856,36157,131344,14355,Minnesota,Minnesota State-Level Estimate,,198253
1995,4610000,16416,182,2593,5702,7939,190911,36756,138414,15741,Minnesota,Minnesota State-Level Estimate,,207327
1996,4658000,15782,167,2327,5385,7903,192109,35515,138671,17923,Minnesota,Minnesota State-Level Estimate,,207891
1997,4686000,15827,129,2446,5373,7879,191006,35265,137872,17869,Minnesota,Minnesota State-Level Estimate,,206833
1998,4725000,14656,121,2358,4371,7806,176541,32486,128689,15366,Minnesota,Minnesota State-Level Estimate,,191197
1999,4775508,13085,134,2038,3917,6996,158717,27706,117736,13275,Minnesota,Minnesota State-Level Estimate,,171802
2000,4919479,13813,151,2240,3713,7709,157798,26116,118250,13432,Minnesota,Minnesota State-Level Estimate,,171611
2001,4984535,13145,119,2236,3758,7032,165046,25496,124519,15031,Minnesota,Minnesota State-Level Estimate,,178191
2002,5024791,13428,112,2273,3937,7106,164026,28034,122150,13842,Minnesota,Minnesota State-Level Estimate,,177454
2003,5064172,13316,127,2092,3906,7191,157663,27698,116216,13749,Minnesota,Minnesota State-Level Estimate,,170979
2004,5096546,13751,113,2123,4070,7445,155019,28048,113453,13518,Minnesota,Minnesota State-Level Estimate,,168770
2005,5126739,15243,115,2258,4724,8146,158301,29716,114304,14281,Minnesota,Minnesota State-Level Estimate,,173544
2006,5167101,16042,126,1645,5441,8830,159276,30306,115693,13277,Minnesota,Minnesota State-Level Estimate,,175318
2007,5197621,15054,116,1873,4770,8295,158257,29717,115892,12648,Minnesota,Minnesota State-Level Estimate,,173311
2008,5220393,13853,110,1805,4179,7759,149517,26558,112764,10195,Minnesota,Minnesota State-Level Estimate,,163370
2009,5266214,12874,74,1789,3619,7392,139286,25580,105160,8546,Minnesota,Minnesota State-Level Estimate,,152160
2010,5310658,12515,96,1798,3388,7233,136431,24415,103429,8587,Minnesota,Minnesota State-Level Estimate,,148946
2011,5347299,12323,75,2113,3385,6750,136183,25681,102354,8148,Minnesota,Minnesota State-Level Estimate,,148506
2012,5379646,12419,99,1638,3475,7207,138152,25378,104316,8458,Minnesota,Minnesota State-Level Estimate,,150571
2013,5422060,12710,114,2014,3674,6908,131193,22713,100514,7966,Minnesota,Minnesota State-Level Estimate,,143903
2014,5457173,12505,88,2001,3687,6729,125377,20773,96237,8367,Minnesota,Minnesota State-Level Estimate,,137882
2015,5482435,13319,133,2321,3771,7094,121984,19299,94704,7981,Minnesota,Minnesota State-Level Estimate,,135303
2016,5525050,13365,101,2349,3730,7185,117723,18582,90421,8720,Minnesota,Minnesota State-Level Estimate,,131088
2017,5568155,13345,114,2405,3627,7199,122430,18828,93602,10000,Minnesota,Minnesota State-Level Estimate,,135775
2018,5611179,12369,106,2462,2944,6857,111874,16185,85561,10128,Minnesota,Minnesota State-Level Estimate,,124243
