year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI
1960,674767,453,26,48,186,193,13397,2675,9079,1643,Montana,Montana State-Level Estimate,
1961,682000,457,17,48,173,219,13327,2857,8947,1523,Montana,Montana State-Level Estimate,
1962,709000,390,15,52,141,182,13675,2941,9143,1591,Montana,Montana State-Level Estimate,
1963,707000,414,14,59,146,195,14835,3380,9722,1733,Montana,Montana State-Level Estimate,
1964,705000,564,19,53,110,382,14263,3328,9519,1416,Montana,Montana State-Level Estimate,
1965,706000,514,12,55,112,335,14667,3197,10072,1398,Montana,Montana State-Level Estimate,
1966,702000,507,20,63,125,299,16032,3482,10917,1633,Montana,Montana State-Level Estimate,
1967,701000,588,17,72,150,349,16636,3661,11463,1512,Montana,Montana State-Level Estimate,
1968,693000,610,23,50,126,411,17006,3935,11696,1375,Montana,Montana State-Level Estimate,
1969,694000,682,25,77,154,426,17984,3899,12587,1498,Montana,Montana State-Level Estimate,
1970,694409,774,22,73,155,524,19245,4123,13582,1540,Montana,Montana State-Level Estimate,
1971,708000,971,31,100,203,637,21571,4637,15362,1572,Montana,Montana State-Level Estimate,
1972,719000,1079,18,78,239,744,21967,5092,15099,1776,Montana,Montana State-Level Estimate,
1973,721000,1207,43,118,262,784,23273,5448,16163,1662,Montana,Montana State-Level Estimate,
1974,735000,1194,31,90,262,811,28822,6526,20216,2080,Montana,Montana State-Level Estimate,
1975,748000,1418,39,107,310,962,29915,6546,21055,2314,Montana,Montana State-Level Estimate,
1976,753000,1358,38,102,268,950,30734,6333,22083,2318,Montana,Montana State-Level Estimate,
1977,761000,1659,41,127,298,1193,29582,6125,21104,2353,Montana,Montana State-Level Estimate,
1978,785000,1865,38,124,289,1414,28874,6170,20293,2411,Montana,Montana State-Level Estimate,
1979,786000,1762,33,162,260,1307,33298,6314,24537,2447,Montana,Montana State-Level Estimate,
1980,781592,1740,31,164,266,1279,37531,7430,27587,2514,Montana,Montana State-Level Estimate,
1981,792000,2004,27,175,302,1500,37746,7651,27874,2221,Montana,Montana State-Level Estimate,
1982,801000,1801,31,119,265,1386,32908,6759,24079,2070,Montana,Montana State-Level Estimate,
1983,817000,1737,30,162,192,1353,36208,7420,26918,1870,Montana,Montana State-Level Estimate,
1984,824000,1958,36,170,226,1526,36380,7070,27080,2230,Montana,Montana State-Level Estimate,
1985,826000,1722,48,159,173,1342,35855,6835,26746,2274,Montana,Montana State-Level Estimate,
1986,819000,1289,24,142,160,963,35393,6491,27142,1760,Montana,Montana State-Level Estimate,
1987,809000,1223,33,160,196,834,35986,6521,27541,1924,Montana,Montana State-Level Estimate,
1988,804000,989,21,135,182,651,33318,5657,25921,1740,Montana,Montana State-Level Estimate,
1989,806000,935,23,145,137,630,31285,5575,23892,1818,Montana,Montana State-Level Estimate,
1990,799065,1273,39,195,173,866,34702,5666,27098,1938,Montana,Montana State-Level Estimate,
1991,808000,1130,21,160,150,799,28347,4231,22449,1667,Montana,Montana State-Level Estimate,
1992,824000,1400,24,210,222,944,36472,5306,29243,1923,Montana,Montana State-Level Estimate,
1993,839000,1489,25,234,272,958,38699,5992,30641,2066,Montana,Montana State-Level Estimate,
1994,856000,1516,28,233,280,975,41445,6178,32817,2450,Montana,Montana State-Level Estimate,
1995,870000,1491,35,231,253,972,40246,5060,32797,2389,Montana,Montana State-Level Estimate,
1996,879000,1415,34,238,261,882,38084,4908,30928,2248,Montana,Montana State-Level Estimate,
1997,879000,1161,42,171,179,769,37592,5002,30411,2179,Montana,Montana State-Level Estimate,
1998,880000,1797,18,235,232,1312,36564,4575,29940,2049,Montana,Montana State-Level Estimate,
1999,882779,2090,22,293,239,1536,29103,3876,23353,1874,Montana,Montana State-Level Estimate,
2000,902195,2807,20,308,203,2276,32198,3624,26678,1896,Montana,Montana State-Level Estimate,
2001,905382,3187,34,188,230,2735,30175,3670,24684,1821,Montana,Montana State-Level Estimate,
2002,910372,3197,16,237,283,2661,28751,3289,23679,1783,Montana,Montana State-Level Estimate,
2003,918157,3351,30,246,298,2777,28428,3722,22800,1906,Montana,Montana State-Level Estimate,
2004,926920,2723,30,273,233,2187,27215,3515,22082,1618,Montana,Montana State-Level Estimate,
