year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI
1960,446292,375,33,41,157,144,9267,2661,5867,739,Delaware,Delaware State-Level Estimate,
1961,458000,318,20,27,124,147,9343,2711,5885,747,Delaware,Delaware State-Level Estimate,
1962,469000,338,20,44,140,134,10157,2814,6479,864,Delaware,Delaware State-Level Estimate,
1963,476000,424,24,43,181,176,10892,3366,6559,967,Delaware,Delaware State-Level Estimate,
1964,491000,541,23,40,203,275,11801,3313,7211,1277,Delaware,Delaware State-Level Estimate,
1965,505000,561,29,33,286,213,11603,3272,7062,1269,Delaware,Delaware State-Level Estimate,
1966,512000,655,46,49,300,260,12758,3903,7469,1386,Delaware,Delaware State-Level Estimate,
1967,524000,948,45,60,343,500,14204,4360,7861,1983,Delaware,Delaware State-Level Estimate,
1968,534000,1288,45,75,561,607,15616,4726,8647,2243,Delaware,Delaware State-Level Estimate,
1969,540000,1588,43,74,635,836,17321,4737,10043,2541,Delaware,Delaware State-Level Estimate,
1970,548104,1795,42,102,578,1073,21571,5789,12718,3064,Delaware,Delaware State-Level Estimate,
1971,558000,2060,34,102,804,1120,25924,7759,14902,3263,Delaware,Delaware State-Level Estimate,
1972,565000,2181,39,80,735,1327,23378,7059,13544,2775,Delaware,Delaware State-Level Estimate,
1973,576000,2016,34,91,520,1371,24380,7024,14552,2804,Delaware,Delaware State-Level Estimate,
1974,573000,2539,59,99,733,1648,31552,8697,19825,3030,Delaware,Delaware State-Level Estimate,
1975,579000,2270,42,105,910,1213,36339,10574,22737,3028,Delaware,Delaware State-Level Estimate,
1976,582000,1872,36,103,749,984,34587,8978,22790,2819,Delaware,Delaware State-Level Estimate,
1977,582000,2224,35,145,914,1130,33919,9793,21408,2718,Delaware,Delaware State-Level Estimate,
1978,583000,2569,39,119,848,1563,34474,9466,22111,2897,Delaware,Delaware State-Level Estimate,
1979,582000,3127,33,162,753,2179,34853,8890,23081,2882,Delaware,Delaware State-Level Estimate,
1980,594779,2824,41,144,815,1824,37482,9698,25077,2707,Delaware,Delaware State-Level Estimate,
1981,598000,3044,40,170,844,1990,36958,9627,24759,2572,Delaware,Delaware State-Level Estimate,
1982,602000,3370,32,186,737,2415,35067,8698,23891,2478,Delaware,Delaware State-Level Estimate,
1983,606000,2746,25,229,699,1793,30378,7414,20908,2056,Delaware,Delaware State-Level Estimate,
1984,613000,2671,25,300,711,1635,28021,6678,19747,1596,Delaware,Delaware State-Level Estimate,
1985,622000,2695,30,296,773,1596,28164,6826,19638,1700,Delaware,Delaware State-Level Estimate,
1986,633000,2703,31,360,786,1526,27881,6598,19562,1721,Delaware,Delaware State-Level Estimate,
