agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_motor_vehicle_theft_total,actual_motor_vehicle_theft_car,actual_motor_vehicle_theft_truck,actual_motor_vehicle_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,unfounded_murder,unfounded_manslaughter,unfounded_rape_total,unfounded_rape_by_force,unfounded_rape_attempted,unfounded_robbery_total,unfounded_robbery_with_a_gun,unfounded_robbery_with_a_knife,unfounded_robbery_other_weapon,unfounded_robbery_unarmed,unfounded_assault_total,unfounded_assault_with_a_gun,unfounded_assault_with_a_knife,unfounded_assault_other_weapon,unfounded_assault_unarmed,unfounded_assault_simple,unfounded_burg_total,unfounded_burg_force_entry,unfounded_burg_nonforce_entry,unfounded_burg_attempted,unfounded_theft_total,unfounded_motor_vehicle_theft_total,unfounded_motor_vehicle_theft_car,unfounded_motor_vehicle_theft_truck,unfounded_motor_vehicle_theft_other,unfounded_all_crimes,unfounded_theft_under50_dollar,unfounded_assault_aggravated,unfounded_index_violent,unfounded_index_property,unfounded_index_total
Doylestown Township Police Department,2023,Pennsylvania,17934,PA00927,0,0,0,0,0,0,0,0,2,0,0,1,1,61,1,0,0,6,54,8,5,2,1,84,5,3,0,2,160,0,7,9,97,106,0,0,1,1,0,0,0,0,0,0,3,0,0,0,1,2,0,0,0,0,4,2,2,0,0,10,0,1,2,6,8
Doylestown Township Police Department,2022,Pennsylvania,,PA00927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doylestown Township Police Department,2021,Pennsylvania,,PA00927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doylestown Township Police Department,2020,Pennsylvania,17368,PA00927,0,0,0,0,0,1,1,0,3,0,1,1,1,57,1,0,2,1,53,5,3,2,0,88,8,6,0,2,162,0,4,8,101,109,0,0,2,2,0,0,0,0,0,0,4,0,0,0,1,3,0,0,0,0,5,1,1,0,0,12,0,1,3,6,9
Doylestown Township Police Department,2019,Pennsylvania,17397,PA00927,0,0,4,0,0,3,3,0,0,0,0,0,0,45,1,0,3,5,36,10,6,2,2,77,1,1,0,0,136,0,9,12,88,100,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,1,1,0,0,6,0,0,0,1,1
Doylestown Township Police Department,2018,Pennsylvania,17430,PA00927,0,0,1,0,0,2,2,0,1,1,0,0,0,36,1,2,0,9,24,5,4,1,0,131,5,5,0,0,180,0,12,15,141,156,0,0,1,1,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,4,1,1,0,0,12,0,0,1,5,6
Doylestown Township Police Department,2017,Pennsylvania,17538,PA00927,0,0,2,0,1,1,1,0,1,0,0,0,1,30,1,0,1,6,22,12,8,4,0,127,2,1,0,1,174,0,8,10,141,151,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,3,0,0,0,0,5,0,0,0,3,3
Doylestown Township Police Department,2016,Pennsylvania,17539,PA00927,0,0,0,0,0,2,2,0,1,0,0,0,1,27,1,0,1,4,21,11,7,3,1,168,8,5,3,0,217,0,6,9,187,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
Doylestown Township Police Department,2015,Pennsylvania,17463,PA00927,0,0,1,0,0,1,1,0,3,0,1,0,2,43,0,1,2,6,34,31,12,15,4,149,9,7,1,1,236,0,9,13,189,202,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0,4,0,0,0,3,3
Doylestown Township Police Department,2014,Pennsylvania,17623,PA00927,0,0,0,0,0,1,1,0,1,0,1,0,0,30,1,0,1,3,25,24,15,8,1,143,5,3,1,1,204,0,5,7,172,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
