year,population,actual_index_violent,actual_murder,actual_rape_total,actual_robbery_total,actual_assault_aggravated,actual_index_property,actual_burg_total,actual_theft_total,actual_mtr_veh_theft_total,state,agency,ORI
1960,9579677,15428,824,892,3031,10681,196979,57589,123415,15975,Texas,Texas State-Level Estimate,
1961,9788000,15441,788,932,3042,10679,192869,56814,120707,15348,Texas,Texas State-Level Estimate,
1962,10116000,15516,730,937,3192,10657,201754,58017,126751,16986,Texas,Texas State-Level Estimate,
1963,10323000,17511,760,1008,3700,12043,214065,62867,133454,17744,Texas,Texas State-Level Estimate,
1964,10397000,19769,785,1176,4479,13329,240932,68170,151736,21026,Texas,Texas State-Level Estimate,
1965,10551000,21029,793,1132,4509,14595,251598,71636,159767,20195,Texas,Texas State-Level Estimate,
1966,10752000,24382,983,1237,5987,16175,284472,82651,176987,24834,Texas,Texas State-Level Estimate,
1967,10869000,26749,1073,1428,7558,16690,313415,89387,195275,28753,Texas,Texas State-Level Estimate,
1968,10972000,29646,1163,1589,9091,17803,351994,103095,214729,34170,Texas,Texas State-Level Estimate,
1969,11187000,36707,1269,2153,13045,20240,407135,122152,241732,43251,Texas,Texas State-Level Estimate,
1970,11196000,40897,1299,2329,15280,21989,426351,129866,251091,45394,Texas,Texas State-Level Estimate,
1971,11460000,43089,1383,2701,14220,24785,426779,135648,247653,43478,Texas,Texas State-Level Estimate,
1972,11649000,41285,1440,2739,14013,23093,414700,141613,233646,39441,Texas,Texas State-Level Estimate,
1973,11794000,45458,1506,2976,17056,23920,441106,150463,248538,42105,Texas,Texas State-Level Estimate,
1974,12050000,47008,1652,3486,19757,22113,529824,185928,297850,46046,Texas,Texas State-Level Estimate,
1975,12237000,47803,1639,3430,20076,22658,613872,203821,362665,47386,Texas,Texas State-Level Estimate,
1976,12487000,44422,1519,3666,17352,21885,637918,193280,400767,43871,Texas,Texas State-Level Estimate,
1977,12830000,52309,1705,4338,19552,26714,640141,205672,383451,51018,Texas,Texas State-Level Estimate,
1978,13014000,56650,1853,4927,21395,28475,666514,209770,398923,57821,Texas,Texas State-Level Estimate,
1979,13385000,67988,2235,6043,25667,34043,725109,239758,412515,72836,Texas,Texas State-Level Estimate,
1980,14169829,77978,2392,6700,29547,39339,792480,262600,450792,79088,Texas,Texas State-Level Estimate,
1981,14755000,78560,2446,6821,28528,40765,814163,275978,454879,83306,Texas,Texas State-Level Estimate,
1982,15280000,88178,2466,6816,33618,45278,874799,285967,501727,87105,Texas,Texas State-Level Estimate,
1983,15724000,80546,2239,6333,29769,42205,848312,262198,503582,82532,Texas,Texas State-Level Estimate,
1984,15989000,80737,2093,7343,28540,42761,883391,266074,529518,87799,Texas,Texas State-Level Estimate,
1985,16370000,90030,2132,8364,31680,47854,985265,289825,595912,99528,Texas,Texas State-Level Estimate,
1986,16682000,109925,2258,8607,40021,59039,1125897,341747,665029,119121,Texas,Texas State-Level Estimate,
1987,16789000,105961,1959,8068,38053,57881,1190558,355597,711594,123367,Texas,Texas State-Level Estimate,
1988,16780000,109499,2022,8119,39301,60057,1235870,361972,739642,134256,Texas,Texas State-Level Estimate,
1989,16991000,111889,2029,7951,37913,63996,1234977,342346,741660,150971,Texas,Texas State-Level Estimate,
1990,16986510,129343,2389,8750,44297,73907,1200151,314512,731224,154415,Texas,Texas State-Level Estimate,
1991,17349000,145743,2652,9266,49700,84125,1210784,312693,734261,163830,Texas,Texas State-Level Estimate,
1992,17656000,142369,2239,9437,44588,86105,1103779,268928,689780,145071,Texas,Texas State-Level Estimate,
1993,18031000,137419,2147,9922,40469,84881,1023612,233913,664862,124837,Texas,Texas State-Level Estimate,
1994,18378000,129838,2022,9102,37643,81071,949387,214687,623947,110753,Texas,Texas State-Level Estimate,
1995,18724000,124303,1693,8563,33667,80380,940033,202642,632468,104923,Texas,Texas State-Level Estimate,
1996,19128000,123270,1477,8376,32804,80613,968732,204390,659414,104928,Texas,Texas State-Level Estimate,
1997,19439000,117126,1327,8011,30522,77266,948231,201059,645451,101721,Texas,Texas State-Level Estimate,
1998,19760000,111566,1346,7913,28677,73630,898496,194883,606967,96646,Texas,Texas State-Level Estimate,
1999,20044141,112306,1217,7614,29405,74070,896261,190362,613862,92037,Texas,Texas State-Level Estimate,
2000,20851820,113653,1238,7856,30257,74302,919658,188975,637522,93161,Texas,Texas State-Level Estimate,
2001,21370983,122155,1332,8169,35348,77306,976654,204362,669625,102667,Texas,Texas State-Level Estimate,
2002,21736925,126018,1302,8508,37580,78628,1004274,212602,688992,102680,Texas,Texas State-Level Estimate,
2003,22103374,122246,1422,8025,37017,75782,1016735,219877,698644,98214,Texas,Texas State-Level Estimate,
2004,22471549,121554,1364,8388,35817,75985,1010702,220118,696507,94077,Texas,Texas State-Level Estimate,
2005,22928508,121091,1407,8511,35790,75383,990293,219828,677042,93423,Texas,Texas State-Level Estimate,
2006,23507783,121602,1386,8429,37256,74531,959846,215710,648711,95425,Texas,Texas State-Level Estimate,
2007,23904380,122014,1419,8460,38778,73357,985421,228320,663101,94000,Texas,Texas State-Level Estimate,
2008,24326974,123585,1370,8055,37739,76421,969865,230046,654435,85384,Texas,Texas State-Level Estimate,
2009,24782302,121684,1330,8311,38022,74021,995082,240058,678455,76569,Texas,Texas State-Level Estimate,
2010,25253466,113231,1249,7622,32843,71517,951246,228597,654626,68023,Texas,Texas State-Level Estimate,
2011,25631778,104734,1130,7486,28620,67498,892810,215755,613131,63924,Texas,Texas State-Level Estimate,
2012,26060796,106475,1148,7715,30385,67227,876459,205002,606425,65032,Texas,Texas State-Level Estimate,
2013,26505637,108757,1140,10456,31810,65351,862289,191062,605440,65787,Texas,Texas State-Level Estimate,
2014,26956958,109414,1184,11393,31181,65656,813934,169234,576154,68546,Texas,Texas State-Level Estimate,
2015,27429639,113193,1317,12323,31924,67629,779234,153067,558653,67514,Texas,Texas State-Level Estimate,
2016,27904862,121064,1478,13446,33298,72842,769892,148796,552106,68990,Texas,Texas State-Level Estimate,
2017,28322717,123984,1405,14536,32120,75923,723143,133458,521767,67918,Texas,Texas State-Level Estimate,
2018,28701845,117927,1322,14693,28256,73656,679430,117911,491702,69817,Texas,Texas State-Level Estimate,
