agency,year,state,population,ORI,total_officers,female_employees_officers,male_employees_officers,total_civilians,female_employees_civilians,male_employees_civilians,officers_killed_accident,officers_killed_felony,assault_injury_total,assault_injury_gun,assault_injury_knife,assault_injury_hand_feet,assault_injury_other,assault_no_injury_total,assault_no_injury_gun,assault_no_injury_knife,assault_no_injury_hand_feet,assault_no_injury_other,total_assault_total,total_assault_gun,total_assault_knife,total_assault_hand_feet,total_assault_other,all_oth_total_assault,ambush_total_assault,att_oth_arrest_total_assault,burglary_total_assault,civil_disorder_total_assault,cust_prisoners_total_assault,deranged_total_assault,disturbance_total_assault,robbery_total_assault,susp_pers_total_assault,traffic_total_assault
Chp San Diego,1975,California,0,CA03799,0,0,0,0,0,0,0,0,1,0,0,1,0,13,0,0,12,1,14,0,0,13,1,1,0,0,0,1,8,0,0,0,0,4
Chp San Diego,1976,California,0,CA03799,0,0,0,0,0,0,0,0,4,0,0,4,0,8,0,0,6,2,12,0,0,10,2,1,0,0,0,0,6,0,0,0,0,5
Chp San Diego,1977,California,0,CA03799,0,0,0,0,0,0,0,0,8,0,0,8,0,9,0,1,7,1,17,0,1,15,1,1,0,1,0,0,12,0,0,0,1,2
Chp San Diego,1978,California,0,CA03799,0,0,0,0,0,0,0,0,3,0,0,2,1,5,1,0,3,1,8,1,0,5,2,0,0,7,0,0,0,0,0,0,0,1
Chp San Diego,1980,California,0,CA03799,0,0,0,0,0,0,0,0,6,0,0,4,2,1,0,0,1,0,7,0,0,5,2,0,0,0,0,0,2,0,1,0,0,4
Chp San Diego,1981,California,0,CA03799,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,3,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4
Chp San Diego,1982,California,0,CA03799,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0
Chp San Diego,1983,California,0,CA03799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chp San Diego,1984,California,0,CA03799,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1
Chp San Diego,1985,California,0,CA03799,0,0,0,0,0,0,0,0,1,0,0,1,0,6,0,0,4,2,7,0,0,5,2,0,0,1,0,0,3,0,0,0,0,3
