agency,ORI,ORI9,year,state,population,FIPS_state_code,FIPS_county_code,FIPS_state_county_code,total_officers,male_employees_officers,female_employees_officers,total_civilians,male_employees_civilians,female_employees_civilians,officers_killed_felony,officers_killed_accident,total_assault_total,total_assault_gun,total_assault_knife,total_assault_other,total_assault_hand_feet,total_assault_2man_veh,total_assault_1man_alone,total_assault_1man_assist,total_assault_det_alone,total_assault_det_assist,total_assault_oth_alone,total_assault_oth_assist,total_assault_clear,disturbance_total_assault,burglary_total_assault,robbery_total_assault,att_oth_arrest_total_assault,civil_disorder_total_assault,cust_prisoners_total_assault,susp_pers_total_assault,ambush_total_assault,deranged_total_assault,traffic_total_assault,all_oth_total_assault
Lake Mead Nra,NVDI001,NA,1975,Nevada,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lehman Caves Nm,NVDI002,NA,1975,Nevada,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Churchill County,NV00100,NV0010000,1975,Nevada,10400,32,001,32001,11,11,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fallon,NV00101,NV0010100,1975,Nevada,4100,32,001,32001,10,10,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clark County,NV00200,NV0020000,1975,Nevada,0,32,003,32003,298,281,17,119,19,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Las Vegas,NV00201,NV0020100,1975,Nevada,249186,32,003,32003,698,678,20,236,32,204,0,0,78,5,5,12,56,24,29,5,0,6,4,10,77,22,0,0,22,0,14,6,0,0,8,6
North Las Vegas,NV00202,NV0020200,1975,Nevada,41e3,32,003,32003,120,115,5,41,7,34,0,0,29,8,0,1,20,2,5,14,0,5,0,3,29,4,2,0,5,0,5,3,7,0,2,1
Henderson,NV00203,NV0020300,1975,Nevada,19400,32,003,32003,40,38,2,11,1,10,0,0,19,1,0,0,18,0,1,6,0,4,2,6,19,1,1,0,3,2,11,0,0,0,0,1
Boulder City,NV00204,NV0020400,1975,Nevada,7784,32,003,32003,15,11,4,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Douglas,NV00300,NV0030000,1975,Nevada,10988,32,005,32005,54,40,14,1,1,0,0,0,23,3,0,0,20,1,6,10,0,0,2,4,22,0,0,3,4,2,8,2,0,0,2,2
