agency,ORI,ORI9,year,state,population,FIPS_state_code,FIPS_county_code,FIPS_state_county_code,total_officers,male_employees_officers,female_employees_officers,total_civilians,male_employees_civilians,female_employees_civilians,officers_killed_felony,officers_killed_accident,total_assault_total,total_assault_gun,total_assault_knife,total_assault_other,total_assault_hand_feet,total_assault_2man_veh,total_assault_1man_alone,total_assault_1man_assist,total_assault_det_alone,total_assault_det_assist,total_assault_oth_alone,total_assault_oth_assist,total_assault_clear,disturbance_total_assault,burglary_total_assault,robbery_total_assault,att_oth_arrest_total_assault,civil_disorder_total_assault,cust_prisoners_total_assault,susp_pers_total_assault,ambush_total_assault,deranged_total_assault,traffic_total_assault,all_oth_total_assault
Morristown Nhp,NJDI001,NA,1975,New Jersey,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palisades I S Park,NJDI002,NJDI00200,1975,New Jersey,0,34,003,34003,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0
Delaware Water Gap Nra,NJDI003,NA,1975,New Jersey,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edison Nhs,NJDI004,NA,1975,New Jersey,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newark,NJNPD00,NJNPD0000,1975,New Jersey,372663,34,013,34013,1565,1558,7,289,89,200,1,0,225,20,9,35,161,147,1,1,3,0,31,42,205,41,9,15,40,3,25,28,8,7,16,33
State Police,NJNSP00,NJNSP0000,1975,New Jersey,0,34,021,34021,0,0,0,0,0,0,0,0,72,3,1,4,64,31,15,16,1,2,2,5,72,9,0,0,12,0,10,7,0,0,23,11
Spt Atlantic Co,NJ001PT,NJ001PT00,1975,New Jersey,0,34,001,34001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atlantic Sp,NJ001SP,NJ001SP00,1975,New Jersey,0,34,001,34001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atlantic County,NJ00100,NJ0010000,1975,New Jersey,9133,34,001,34001,82,72,10,43,24,19,0,0,3,0,0,0,3,0,0,0,0,0,1,2,3,0,0,0,0,0,3,0,0,0,0,0
Absecon,NJ00101,NJ0010100,1975,New Jersey,6495,34,001,34001,17,17,0,1,0,1,0,0,2,0,0,1,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2
Atlantic City,NJ00102,NJ0010200,1975,New Jersey,42347,34,001,34001,293,290,3,80,69,11,0,0,44,0,1,7,36,25,10,2,0,0,6,1,44,7,1,1,7,2,3,2,0,0,4,17
Brigantine,NJ00103,NJ0010300,1975,New Jersey,7302,34,001,34001,22,22,0,4,4,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0
Buena,NJ00104,NJ0010400,1975,New Jersey,3400,34,001,34001,5,5,0,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egg Harbor City,NJ00107,NJ0010700,1975,New Jersey,4384,34,001,34001,10,10,0,1,0,1,0,0,10,0,0,0,10,2,8,0,0,0,0,0,10,5,0,0,2,0,0,1,0,0,2,0
Egg Harbor Township,NJ00108,NJ0010800,1975,New Jersey,12272,34,001,34001,21,21,0,1,0,1,0,0,13,0,0,2,11,2,2,3,1,0,1,4,13,4,0,0,1,0,5,3,0,0,0,0
Galloway Township,NJ00111,NJ0011100,1975,New Jersey,8582,34,001,34001,17,17,0,2,0,2,0,0,10,0,0,1,9,5,3,2,0,0,0,0,9,2,0,0,2,0,0,0,0,0,0,6
Hamilton Twp,NJ00112,NJ0011200,1975,New Jersey,7617,34,001,34001,13,13,0,1,0,1,0,0,5,0,0,0,5,3,0,1,0,1,0,0,5,4,0,0,0,0,0,1,0,0,0,0
Hammonton,NJ00113,NJ0011300,1975,New Jersey,12115,34,001,34001,23,23,0,5,4,1,0,0,2,0,0,0,2,1,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0
Linwood,NJ00114,NJ0011400,1975,New Jersey,6328,34,001,34001,16,16,0,0,0,0,0,0,7,0,0,0,7,1,4,2,0,0,0,0,7,1,0,0,3,0,0,0,0,0,3,0
Longport,NJ00115,NJ0011500,1975,New Jersey,1191,34,001,34001,10,10,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Margate City,NJ00116,NJ0011600,1975,New Jersey,10319,34,001,34001,23,23,0,7,6,1,0,0,2,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0
