agency,ORI,ORI9,year,state,population,FIPS_state_code,FIPS_county_code,FIPS_state_county_code,total_officers,male_employees_officers,female_employees_officers,total_civilians,male_employees_civilians,female_employees_civilians,officers_killed_felony,officers_killed_accident,total_assault_total,total_assault_gun,total_assault_knife,total_assault_other,total_assault_hand_feet,total_assault_2man_veh,total_assault_1man_alone,total_assault_1man_assist,total_assault_det_alone,total_assault_det_assist,total_assault_oth_alone,total_assault_oth_assist,total_assault_clear,disturbance_total_assault,burglary_total_assault,robbery_total_assault,att_oth_arrest_total_assault,civil_disorder_total_assault,cust_prisoners_total_assault,susp_pers_total_assault,ambush_total_assault,deranged_total_assault,traffic_total_assault,all_oth_total_assault
Apostle Islands Nl,WIDI001,NA,1975,Wisconsin,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Croix Nsr,WIDI002,NA,1975,Wisconsin,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wisconsin Le Bureau,WILEB01,WILEB0100,1975,Wisconsin,0,55,025,55025,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Milwaukee,WIMPD00,WIMPD0000,1975,Wisconsin,674369,55,079,55079,2128,2101,27,208,108,100,1,0,184,2,1,18,163,114,6,12,1,12,17,22,177,19,11,1,76,9,32,8,1,7,16,4
Wisconsin State Patrol,WIWSP00,WIWSP0000,1975,Wisconsin,0,55,025,55025,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0
Adams,WI00100,WI0010000,1975,Wisconsin,11221,55,001,55001,21,16,5,1,0,1,0,0,7,0,0,0,7,0,2,0,0,0,1,4,7,2,0,0,0,0,4,0,0,0,0,1
Ashland,WI00200,WI0020000,1975,Wisconsin,6968,55,003,55003,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashland,WI00201,WI0020100,1975,Wisconsin,9166,55,003,55003,17,17,0,0,0,0,0,0,3,1,0,1,1,2,1,0,0,0,0,0,3,0,1,0,0,0,0,2,0,0,0,0
Barron,WI00300,WI0030000,1975,Wisconsin,28547,55,005,55005,12,12,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rice Lake,WI00301,WI0030100,1975,Wisconsin,7730,55,005,55005,16,16,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
