agency,ORI,ORI9,year,state,population,FIPS_state_code,FIPS_county_code,FIPS_state_county_code,total_officers,male_employees_officers,female_employees_officers,total_civilians,male_employees_civilians,female_employees_civilians,officers_killed_felony,officers_killed_accident,total_assault_total,total_assault_gun,total_assault_knife,total_assault_other,total_assault_hand_feet,total_assault_2man_veh,total_assault_1man_alone,total_assault_1man_assist,total_assault_det_alone,total_assault_det_assist,total_assault_oth_alone,total_assault_oth_assist,total_assault_clear,disturbance_total_assault,burglary_total_assault,robbery_total_assault,att_oth_arrest_total_assault,civil_disorder_total_assault,cust_prisoners_total_assault,susp_pers_total_assault,ambush_total_assault,deranged_total_assault,traffic_total_assault,all_oth_total_assault
Fort Sumter Nm,SCDI001,NA,1975,South Carolina,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kings Mountain Nmp,SCDI002,NA,1975,South Carolina,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cowpens Nb,SCDI003,NA,1975,South Carolina,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sc Highway Patrol,SCSHP00,SCSHP0000,1975,South Carolina,0,45,079,45079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abbeville County Sp,SC001SP,SC001SP00,1975,South Carolina,0,45,001,45001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abbeville,SC00100,SC0010000,1975,South Carolina,11926,45,001,45001,15,15,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Abbeville,SC00101,SC0010100,1975,South Carolina,5680,45,001,45001,13,13,0,0,0,0,0,0,5,0,3,0,2,5,0,0,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0
Calhoun Falls,SC00102,SC0010200,1975,South Carolina,2301,45,001,45001,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Donalds,SC00103,SC0010300,1975,South Carolina,404,45,001,45001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Due West,SC00104,SC0010400,1975,South Carolina,1421,45,001,45001,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aiken County Sp,SC002SP,SC002SP00,1975,South Carolina,0,45,003,45003,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0
Aiken County,SC00200,SC0020000,1975,South Carolina,61812,45,003,45003,55,48,7,14,6,8,0,0,7,0,0,0,7,2,3,1,0,0,1,0,7,5,0,0,1,0,0,0,0,1,0,0
Aiken,SC00201,SC0020100,1975,South Carolina,14500,45,003,45003,36,34,2,7,4,3,0,0,4,0,0,0,4,2,2,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,2,0
Graniteville,SC00202,SC0020200,1975,South Carolina,1193,45,003,45003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Augusta,SC00203,SC0020300,1975,South Carolina,13999,45,003,45003,24,24,0,7,5,2,0,0,3,0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0
Burnettown,SC00204,SC0020400,1975,South Carolina,459,45,003,45003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jackson,SC00205,SC0020500,1975,South Carolina,2041,45,003,45003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Ellenton,SC00206,SC0020600,1975,South Carolina,2695,45,003,45003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salley,SC00207,SC0020700,1975,South Carolina,476,45,003,45003,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wagener,SC00208,SC0020800,1975,South Carolina,765,45,003,45003,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Warrenville,SC00209,SC0020900,1975,South Carolina,1121,45,003,45003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allendale County Sp,SC003SP,SC003SP00,1975,South Carolina,0,45,005,45005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allendale,SC00300,SC0030000,1975,South Carolina,4276,45,005,45005,7,7,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allendale,SC00301,SC0030100,1975,South Carolina,3859,45,005,45005,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fairfax,SC00302,SC0030200,1975,South Carolina,2032,45,005,45005,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anderson County Sp,SC004SP,SC004SP00,1975,South Carolina,0,45,007,45007,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Anderson,SC00400,SC0040000,1975,South Carolina,63747,45,007,45007,58,56,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
