agency,ORI,ORI9,year,state,population,FIPS_state_code,FIPS_county_code,FIPS_state_county_code,total_officers,male_employees_officers,female_employees_officers,total_civilians,male_employees_civilians,female_employees_civilians,officers_killed_felony,officers_killed_accident,total_assault_total,total_assault_gun,total_assault_knife,total_assault_other,total_assault_hand_feet,total_assault_2man_veh,total_assault_1man_alone,total_assault_1man_assist,total_assault_det_alone,total_assault_det_assist,total_assault_oth_alone,total_assault_oth_assist,total_assault_clear,disturbance_total_assault,burglary_total_assault,robbery_total_assault,att_oth_arrest_total_assault,civil_disorder_total_assault,cust_prisoners_total_assault,susp_pers_total_assault,ambush_total_assault,deranged_total_assault,traffic_total_assault,all_oth_total_assault
Washington,DCMPD00,DCMPD0000,1975,District of Columbia,716e3,11,001,11001,4583,4243,340,808,478,330,0,0,224,21,13,41,149,20,60,35,23,22,33,31,211,26,5,1,30,0,25,28,0,0,15,94
Us Park Police,DCPPD00,DCPPD0000,1975,District of Columbia,0,11,001,11001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zoological Park Police,DCZPP00,DCZPP0000,1975,District of Columbia,0,11,001,11001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,DCMPD00,DCMPD0000,1976,District of Columbia,702e3,11,001,11001,4340,4021,319,606,264,342,1,0,179,19,15,39,106,11,44,21,8,16,46,33,168,19,0,8,21,0,12,10,0,0,25,84
Us Park Police,DCPPD00,DCPPD0000,1976,District of Columbia,0,11,001,11001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zoological Park Police,DCZPP00,DCZPP0000,1976,District of Columbia,0,11,001,11001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,DCMPD00,DCMPD0000,1977,District of Columbia,69e4,11,001,11001,4166,3890,276,585,251,334,1,0,164,17,11,40,96,7,49,11,18,7,42,30,155,25,0,0,24,0,10,15,0,0,27,63
Us Park Police,DCPPD00,DCPPD0000,1977,District of Columbia,0,11,001,11001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zoological Park Police,DCZPP00,DCZPP0000,1977,District of Columbia,0,11,001,11001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,DCMPD00,DCMPD0000,1978,District of Columbia,674e3,11,001,11001,4078,3753,325,573,222,351,0,0,152,32,6,31,83,49,40,15,4,2,23,19,103,40,0,0,39,2,5,17,2,3,13,31
Us Park Police,DCPPD00,DCPPD0000,1978,District of Columbia,0,11,001,11001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zoological Park Police,DCZPP00,DCZPP0000,1978,District of Columbia,0,11,001,11001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,DCMPD00,DCMPD0000,1979,District of Columbia,656e3,11,001,11001,4034,3707,327,549,247,302,0,0,187,22,4,55,106,78,63,16,3,10,6,11,174,17,2,5,49,4,6,18,1,0,43,42
Us Park Police,DCPPD00,DCPPD0000,1979,District of Columbia,0,11,001,11001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zoological Park Police,DCZPP00,DCZPP0000,1979,District of Columbia,0,11,001,11001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,DCMPD00,DCMPD0000,1980,District of Columbia,635233,11,001,11001,3652,3336,316,486,215,271,1,0,215,12,7,56,140,70,63,13,6,8,43,12,206,17,0,4,51,0,13,43,1,0,25,61
Us Park Police,DCPPD00,DCPPD0000,1980,District of Columbia,0,11,001,11001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
