agency,ORI,ORI9,year,state,population,FIPS_state_code,FIPS_county_code,FIPS_state_county_code,total_officers,male_employees_officers,female_employees_officers,total_civilians,male_employees_civilians,female_employees_civilians,officers_killed_felony,officers_killed_accident,total_assault_total,total_assault_gun,total_assault_knife,total_assault_other,total_assault_hand_feet,total_assault_2man_veh,total_assault_1man_alone,total_assault_1man_assist,total_assault_det_alone,total_assault_det_assist,total_assault_oth_alone,total_assault_oth_assist,total_assault_clear,disturbance_total_assault,burglary_total_assault,robbery_total_assault,att_oth_arrest_total_assault,civil_disorder_total_assault,cust_prisoners_total_assault,susp_pers_total_assault,ambush_total_assault,deranged_total_assault,traffic_total_assault,all_oth_total_assault
Alabama Highway Patrol,ALAST00,ALAST0000,1975,Alabama,0,01,101,01101,0,0,0,0,0,0,0,0,55,1,0,5,49,1,30,24,0,0,0,0,0,1,0,0,1,0,0,0,0,1,46,6
Horseshoe Bend Nmp,ALDI001,NA,1975,Alabama,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Natchez Trace Parkway,ALDI002,NA,1975,Alabama,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russell Cave Nm,ALDI003,ALDI00300,1975,Alabama,0,01,053,01053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson,AL00100,AL0010000,1975,Alabama,191507,01,073,01073,260,252,8,53,16,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bessemer,AL00101,AL0010100,1975,Alabama,32954,01,073,01073,63,63,0,6,5,1,0,0,5,2,0,2,1,4,0,0,1,0,0,0,5,1,2,0,0,0,0,1,0,0,1,0
Birmingham,AL00102,AL0010200,1975,Alabama,288732,01,073,01073,644,624,20,137,29,108,0,0,265,15,8,12,230,183,35,14,13,3,14,3,261,51,11,6,84,0,44,17,1,5,31,15
Mountain Brook,AL00103,AL0010300,1975,Alabama,20072,01,073,01073,43,43,0,5,2,3,0,0,5,0,0,0,5,5,0,0,0,0,0,0,1,0,0,0,1,0,2,2,0,0,0,0
Fairfield,AL00104,AL0010400,1975,Alabama,14423,01,073,01073,21,21,0,6,4,2,0,0,6,0,1,0,5,3,2,0,0,1,0,0,6,1,0,0,4,0,0,1,0,0,0,0
Gardendale,AL00105,AL0010500,1975,Alabama,6526,01,073,01073,14,14,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1
Leeds,AL00106,AL0010600,1975,Alabama,7070,01,073,01073,19,18,1,3,1,2,0,0,3,0,0,0,3,1,0,0,0,0,0,2,3,0,0,0,1,0,1,0,0,0,0,1
