agency,ORI,ORI9,year,state,population,FIPS_state_code,FIPS_county_code,FIPS_state_county_code,total_officers,male_employees_officers,female_employees_officers,total_civilians,male_employees_civilians,female_employees_civilians,officers_killed_felony,officers_killed_accident,total_assault_total,total_assault_gun,total_assault_knife,total_assault_other,total_assault_hand_feet,total_assault_2man_veh,total_assault_1man_alone,total_assault_1man_assist,total_assault_det_alone,total_assault_det_assist,total_assault_oth_alone,total_assault_oth_assist,total_assault_clear,disturbance_total_assault,burglary_total_assault,robbery_total_assault,att_oth_arrest_total_assault,civil_disorder_total_assault,cust_prisoners_total_assault,susp_pers_total_assault,ambush_total_assault,deranged_total_assault,traffic_total_assault,all_oth_total_assault
Crater Lake Np,ORDI001,NA,1975,Oregon,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fort Clatsop Nmem,ORDI002,NA,1975,Oregon,0,NA,NA,NA,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oregon Caves Nm,ORDI003,NA,1975,Oregon,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Police,OROSP10,OROSP1000,1975,Oregon,0,41,047,41047,0,0,0,0,0,0,0,0,4,2,0,0,2,0,2,2,0,0,0,0,4,2,0,0,1,0,0,0,0,0,1,0
Baker,OR001SP,OR001SP00,1975,Oregon,0,41,001,41001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baker,OR00100,OR0010000,1975,Oregon,6181,41,001,41001,7,6,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baker,OR00101,OR0010100,1975,Oregon,9418,41,001,41001,13,12,1,5,1,4,0,0,2,0,0,0,2,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0
Benton,OR002SP,OR002SP00,1975,Oregon,0,41,003,41003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benton,OR00200,OR0020000,1975,Oregon,21957,41,003,41003,23,23,0,11,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Corvallis,OR00201,OR0020100,1975,Oregon,38947,41,003,41003,37,36,1,9,1,8,0,0,3,0,0,0,3,0,1,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Philomath,OR00202,OR0020200,1975,Oregon,2002,41,003,41003,4,4,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Monroe,OR00203,OR0020300,1975,Oregon,482,41,003,41003,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clackamas,OR003SP,OR003SP00,1975,Oregon,0,41,005,41005,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Clackamas,OR00300,OR0030000,1975,Oregon,124834,41,005,41005,102,97,5,29,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canby,OR00301,OR0030100,1975,Oregon,5638,41,005,41005,10,9,1,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estacada,OR00302,OR0030200,1975,Oregon,1800,41,005,41005,5,5,0,13,11,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Gladstone,OR00303,OR0030300,1975,Oregon,8068,41,005,41005,16,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lake Oswego,OR00304,OR0030400,1975,Oregon,19275,41,005,41005,26,26,0,11,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milwaukie,OR00305,OR0030500,1975,Oregon,17914,41,005,41005,22,22,0,7,2,5,0,0,3,0,0,2,1,2,0,1,0,0,0,0,3,2,0,0,0,0,0,1,0,0,0,0
Molalla,OR00306,OR0030600,1975,Oregon,2742,41,005,41005,8,7,1,0,0,0,0,0,7,0,0,0,7,2,0,0,0,0,0,5,7,0,0,0,2,5,0,0,0,0,0,0
Oregon City,OR00307,OR0030700,1975,Oregon,12380,41,005,41005,21,19,2,4,2,2,0,0,6,0,0,0,6,1,0,5,0,0,0,0,4,4,0,0,0,0,0,0,0,0,2,0
Sandy,OR00308,OR0030800,1975,Oregon,2060,41,005,41005,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Linn,OR00309,OR0030900,1975,Oregon,8743,41,005,41005,12,11,1,6,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clatsop,OR004SP,OR004SP00,1975,Oregon,0,41,007,41007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clatsop,OR00400,OR0040000,1975,Oregon,9597,41,007,41007,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Astoria,OR00401,OR0040100,1975,Oregon,10611,41,007,41007,14,13,1,7,2,5,0,0,9,0,0,0,9,0,3,3,0,1,0,2,9,0,0,0,6,0,2,0,0,0,0,1
Gearhart,OR00402,OR0040200,1975,Oregon,1e3,41,007,41007,2,2,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Seaside,OR00403,OR0040300,1975,Oregon,4610,41,007,41007,11,10,1,5,2,3,0,0,8,1,0,0,7,4,1,3,0,0,0,0,8,0,0,0,0,5,2,0,0,1,0,0
