agency,ORI,ORI9,year,state,population,FIPS_state_code,FIPS_county_code,FIPS_state_county_code,total_officers,male_employees_officers,female_employees_officers,total_civilians,male_employees_civilians,female_employees_civilians,officers_killed_felony,officers_killed_accident,total_assault_total,total_assault_gun,total_assault_knife,total_assault_other,total_assault_hand_feet,total_assault_2man_veh,total_assault_1man_alone,total_assault_1man_assist,total_assault_det_alone,total_assault_det_assist,total_assault_oth_alone,total_assault_oth_assist,total_assault_clear,disturbance_total_assault,burglary_total_assault,robbery_total_assault,att_oth_arrest_total_assault,civil_disorder_total_assault,cust_prisoners_total_assault,susp_pers_total_assault,ambush_total_assault,deranged_total_assault,traffic_total_assault,all_oth_total_assault
State Police,RIRSP00,RIRSP0000,1975,Rhode Island,0,44,007,44007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bristol County,RI00100,RI0010000,1975,Rhode Island,0,44,001,44001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barrington,RI00101,RI0010100,1975,Rhode Island,16940,44,001,44001,24,24,0,5,3,2,0,0,4,0,0,0,4,0,3,1,0,0,0,0,4,0,0,0,0,0,0,3,0,0,1,0
Bristol,RI00102,RI0010200,1975,Rhode Island,18205,44,001,44001,32,32,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Warren,RI00103,RI0010300,1975,Rhode Island,10319,44,001,44001,20,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kent County,RI00200,RI0020000,1975,Rhode Island,0,44,003,44003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coventry,RI00201,RI0020100,1975,Rhode Island,25422,44,003,44003,33,33,0,6,6,0,0,0,8,0,0,1,7,2,0,4,0,0,0,2,7,0,0,0,0,0,1,1,0,0,2,4
East Greenwich,RI00202,RI0020200,1975,Rhode Island,10135,44,003,44003,20,20,0,7,5,2,0,0,3,0,0,0,3,2,1,0,0,0,0,0,3,1,0,0,0,0,1,1,0,0,0,0
Warwick,RI00203,RI0020300,1975,Rhode Island,86728,44,003,44003,180,177,3,35,21,14,0,0,19,6,0,1,12,7,7,2,0,1,0,2,18,9,0,0,2,4,0,0,0,2,0,2
West Warwick,RI00204,RI0020400,1975,Rhode Island,25e3,44,003,44003,46,46,0,4,2,2,0,0,4,0,0,0,4,4,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,2,0
