agency,ORI,ORI9,year,state,population,FIPS_state_code,FIPS_county_code,FIPS_state_county_code,total_officers,male_employees_officers,female_employees_officers,total_civilians,male_employees_civilians,female_employees_civilians,officers_killed_felony,officers_killed_accident,total_assault_total,total_assault_gun,total_assault_knife,total_assault_other,total_assault_hand_feet,total_assault_2man_veh,total_assault_1man_alone,total_assault_1man_assist,total_assault_det_alone,total_assault_det_assist,total_assault_oth_alone,total_assault_oth_assist,total_assault_clear,disturbance_total_assault,burglary_total_assault,robbery_total_assault,att_oth_arrest_total_assault,civil_disorder_total_assault,cust_prisoners_total_assault,susp_pers_total_assault,ambush_total_assault,deranged_total_assault,traffic_total_assault,all_oth_total_assault
State Police,DEDSP00,DEDSP0000,1975,Delaware,0,10,001,10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kent,DE001SP,DE001SP00,1975,Delaware,0,10,001,10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dover,DE00101,DE0010100,1975,Delaware,24579,10,001,10001,50,48,2,12,4,8,0,0,5,0,0,0,5,0,0,5,0,0,0,0,5,3,0,0,0,0,0,2,0,0,0,0
Harrington,DE00102,DE0010200,1975,Delaware,2482,10,001,10001,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Smyrna,DE00103,DE0010300,1975,Delaware,4950,10,001,10001,10,10,0,2,1,1,0,0,2,0,0,0,2,0,1,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0
Camden-wyoming,DE00104,DE0010400,1975,Delaware,8402,10,001,10001,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Little Creek,DE00105,DE0010500,1975,Delaware,222,10,001,10001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clayton,DE00106,DE0010600,1975,Delaware,1263,10,001,10001,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Felton,DE00107,DE0010700,1975,Delaware,510,10,001,10001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frederica Pd,DE00108,DE0010800,1975,Delaware,905,10,001,10001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Magnolia,DE00110,DE0011000,1975,Delaware,329,10,001,10001,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fire Marshall-kent Co,DE00120,DE0012000,1975,Delaware,0,10,001,10001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Del River-bay Authority,DE00201,DE0020100,1975,Delaware,0,10,003,10003,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middletown,DE00202,DE0020200,1975,Delaware,2744,10,003,10003,3,3,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
New Castle County Police,DE00203,DE0020300,1975,Delaware,269942,10,003,10003,171,166,5,47,30,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Castle,DE00204,DE0020400,1975,Delaware,4822,10,003,10003,6,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newark,DE00205,DE0020500,1975,Delaware,25316,10,003,10003,47,44,3,6,5,1,0,0,10,0,0,2,8,0,1,5,1,0,2,1,10,2,1,0,4,0,0,0,0,0,2,1
Wilmington,DE00206,DE0020600,1975,Delaware,75663,10,003,10003,254,251,3,75,20,55,0,0,73,3,1,9,60,47,6,5,1,4,4,6,73,22,4,0,10,4,3,7,0,0,19,4
Elsmere,DE00207,DE0020700,1975,Delaware,8430,10,003,10003,10,10,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
