agency,ORI,ORI9,year,state,population,FIPS_state_code,FIPS_county_code,FIPS_state_county_code,total_officers,male_employees_officers,female_employees_officers,total_civilians,male_employees_civilians,female_employees_civilians,officers_killed_felony,officers_killed_accident,total_assault_total,total_assault_gun,total_assault_knife,total_assault_other,total_assault_hand_feet,total_assault_2man_veh,total_assault_1man_alone,total_assault_1man_assist,total_assault_det_alone,total_assault_det_assist,total_assault_oth_alone,total_assault_oth_assist,total_assault_clear,disturbance_total_assault,burglary_total_assault,robbery_total_assault,att_oth_arrest_total_assault,civil_disorder_total_assault,cust_prisoners_total_assault,susp_pers_total_assault,ambush_total_assault,deranged_total_assault,traffic_total_assault,all_oth_total_assault
Cape Cod Ns,MADI001,NA,1975,Massachusetts,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adams Nhs,MADI002,NA,1975,Massachusetts,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Longfellow Nhs,MADI004,NA,1975,Massachusetts,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minute Man Nhp,MADI005,NA,1975,Massachusetts,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salem Maritime Nhs,MADI006,NA,1975,Massachusetts,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saugus Iron Works Nhs,MADI007,NA,1975,Massachusetts,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Police,MAMSP00,MAMSP0000,1975,Massachusetts,0,25,017,25017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barnstable County,MA00100,MA0010000,1975,Massachusetts,4058,25,001,25001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barnstable,MA00101,MA0010100,1975,Massachusetts,23701,25,001,25001,69,69,0,7,4,3,0,0,11,0,0,0,11,4,1,3,0,0,1,2,11,4,0,0,1,1,1,2,0,0,1,1
Bourne,MA00102,MA0010200,1975,Massachusetts,15094,25,001,25001,28,28,0,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chatham,MA00104,MA0010400,1975,Massachusetts,6027,25,001,25001,21,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dennis,MA00105,MA0010500,1975,Massachusetts,7709,25,001,25001,31,30,1,3,1,2,0,0,2,0,0,0,2,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0
Falmouth,MA00107,MA0010700,1975,Massachusetts,20648,25,001,25001,35,35,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harwich,MA00108,MA0010800,1975,Massachusetts,7756,25,001,25001,21,21,0,6,3,3,0,0,3,0,0,0,3,0,0,0,2,0,1,0,3,0,0,0,3,0,0,0,0,0,0,0
Mashpee,MA00109,MA0010900,1975,Massachusetts,1538,25,001,25001,15,15,0,1,0,1,0,0,6,0,0,1,5,0,1,3,0,0,2,0,6,3,0,0,1,0,2,0,0,0,0,0
Orleans,MA00110,MA0011000,1975,Massachusetts,4329,25,001,25001,18,18,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Provincetown,MA00111,MA0011100,1975,Massachusetts,3947,25,001,25001,16,16,0,2,0,2,0,0,3,0,0,1,2,1,0,0,0,1,1,0,2,1,0,0,2,0,0,0,0,0,0,0
Sandwich,MA00112,MA0011200,1975,Massachusetts,6281,25,001,25001,21,21,0,1,0,1,0,0,6,0,0,2,4,0,5,0,0,0,1,0,4,0,0,0,1,0,4,0,0,0,1,0
Yarmouth,MA00115,MA0011500,1975,Massachusetts,14373,25,001,25001,35,35,0,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berkshire County,MA00200,MA0020000,1975,Massachusetts,34206,25,003,25003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adams,MA00201,MA0020100,1975,Massachusetts,11270,25,003,25003,22,21,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
Dalton,MA00206,MA0020600,1975,Massachusetts,7504,25,003,25003,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Great Barrington,MA00209,MA0020900,1975,Massachusetts,7630,25,003,25003,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
