agency,ORI,ORI9,year,state,population,FIPS_state_code,FIPS_county_code,FIPS_state_county_code,total_officers,male_employees_officers,female_employees_officers,total_civilians,male_employees_civilians,female_employees_civilians,officers_killed_felony,officers_killed_accident,total_assault_total,total_assault_gun,total_assault_knife,total_assault_other,total_assault_hand_feet,total_assault_2man_veh,total_assault_1man_alone,total_assault_1man_assist,total_assault_det_alone,total_assault_det_assist,total_assault_oth_alone,total_assault_oth_assist,total_assault_clear,disturbance_total_assault,burglary_total_assault,robbery_total_assault,att_oth_arrest_total_assault,civil_disorder_total_assault,cust_prisoners_total_assault,susp_pers_total_assault,ambush_total_assault,deranged_total_assault,traffic_total_assault,all_oth_total_assault
Bandelier Nm,NMDI002,NA,1975,New Mexico,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chaco Canyon Nm,NMDI003,NA,1975,New Mexico,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gran Quivira Nm,NMDI004,NA,1975,New Mexico,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
White Sands Nm,NMDI005,NA,1975,New Mexico,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carlsbad Caverns Np,NMDI006,NA,1975,New Mexico,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Capulin Mtn Natl Mon,NMDI007,NA,1975,New Mexico,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fort Union Nm,NMDI008,NA,1975,New Mexico,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gila Cliff Dwellings Nm,NMDI009,NA,1975,New Mexico,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aztec Ruins Nm,NMDI011,NA,1975,New Mexico,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Morro Nm,NMDI012,NA,1975,New Mexico,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pecos Nm,NMDI013,NA,1975,New Mexico,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Police,NMNSP00,NMNSP0000,1975,New Mexico,0,35,049,35049,0,0,0,0,0,0,0,0,32,6,1,2,23,1,17,14,0,0,0,0,31,7,0,0,3,1,8,8,0,0,4,1
Bernalillo,NM00100,NM0010000,1975,New Mexico,77549,35,001,35001,138,136,2,35,8,27,0,0,2,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
Albuquerque,NM00101,NM0010100,1975,New Mexico,286238,35,001,35001,509,472,37,159,43,116,0,0,238,21,8,28,181,2,48,179,1,4,4,0,238,32,5,1,29,7,97,27,1,2,25,12
Univ Of New Mexico,NM00102,NM0010200,1975,New Mexico,0,35,001,35001,27,25,2,16,14,2,0,0,3,0,0,1,2,1,2,0,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0
Catron,NM00200,NM0020000,1975,New Mexico,2549,35,003,35003,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chaves,NM00300,NM0030000,1975,New Mexico,10365,35,005,35005,15,14,1,7,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roswell,NM00301,NM0030100,1975,New Mexico,39635,35,005,35005,61,60,1,24,8,16,0,0,4,1,1,1,1,1,1,1,0,0,0,1,4,1,0,0,1,0,0,1,0,0,0,1
Colfax,NM00400,NM0040000,1975,New Mexico,3481,35,007,35007,7,6,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raton,NM00401,NM0040100,1975,New Mexico,6679,35,007,35007,15,14,1,5,3,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
Cimarron,NM00402,NM0040200,1975,New Mexico,975,35,007,35007,2,2,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0
Springer,NM00403,NM0040300,1975,New Mexico,1665,35,007,35007,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curry,NM00500,NM0050000,1975,New Mexico,11401,35,009,35009,9,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clovis,NM00501,NM0050100,1975,New Mexico,32399,35,009,35009,53,45,8,0,0,0,0,0,14,5,0,2,7,0,3,10,0,0,0,1,14,3,2,0,0,0,1,0,0,0,8,0
Texico,NM00503,NM0050300,1975,New Mexico,856,35,009,35009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
De Baca,NM00600,NM0060000,1975,New Mexico,2700,35,011,35011,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
