agency,ORI,ORI9,year,state,population,FIPS_state_code,FIPS_county_code,FIPS_state_county_code,total_officers,male_employees_officers,female_employees_officers,total_civilians,male_employees_civilians,female_employees_civilians,officers_killed_felony,officers_killed_accident,total_assault_total,total_assault_gun,total_assault_knife,total_assault_other,total_assault_hand_feet,total_assault_2man_veh,total_assault_1man_alone,total_assault_1man_assist,total_assault_det_alone,total_assault_det_assist,total_assault_oth_alone,total_assault_oth_assist,total_assault_clear,disturbance_total_assault,burglary_total_assault,robbery_total_assault,att_oth_arrest_total_assault,civil_disorder_total_assault,cust_prisoners_total_assault,susp_pers_total_assault,ambush_total_assault,deranged_total_assault,traffic_total_assault,all_oth_total_assault
State Police,AKASP00,AKASP0000,1975,Alaska,174628,02,020,02020,0,0,0,0,0,0,0,0,59,8,1,5,45,6,36,10,0,0,3,4,58,17,0,0,14,1,15,1,0,0,3,8
Katmai Nm,AKDI001,NA,1975,Alaska,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mount Mckinley Np,AKDI002,NA,1975,Alaska,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sitka Nhp,AKDI003,NA,1975,Alaska,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glacier Bay Nm,AKDI004,NA,1975,Alaska,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anchorage,AK00101,AK0010100,1975,Alaska,62358,02,020,02020,119,113,6,53,4,49,1,0,80,1,0,1,78,3,42,33,0,2,0,0,80,39,1,1,22,0,8,4,0,0,2,3
Fairbanks,AK00102,AK0010200,1975,Alaska,32975,02,090,02090,51,51,0,20,16,4,0,0,55,0,1,1,53,0,20,35,0,0,0,0,55,15,0,0,40,0,0,0,0,0,0,0
Juneau,AK00103,AK0010300,1975,Alaska,17e3,02,110,02110,21,20,1,9,0,9,0,0,23,0,0,0,23,0,1,21,0,1,0,0,1,21,0,0,1,0,1,0,0,0,0,0
Ketchikan,AK00104,AK0010400,1975,Alaska,7600,02,130,02130,27,19,8,0,0,0,0,0,9,1,2,0,6,4,2,0,1,0,2,0,9,5,0,0,1,2,1,0,0,0,0,0
Kodiak,AK00105,AK0010500,1975,Alaska,4673,02,150,02150,10,10,0,8,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nome,AK00106,AK0010600,1975,Alaska,2898,02,180,02180,10,10,0,1,0,1,0,0,2,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0
Petersburg,AK00107,AK0010700,1975,Alaska,2137,02,198,02198,5,5,0,6,1,5,0,0,7,0,0,0,7,3,1,2,0,0,0,1,4,2,0,0,0,0,2,0,0,0,3,0
