agency,ORI,ORI9,year,state,population,FIPS_state_code,FIPS_county_code,FIPS_state_county_code,total_officers,male_employees_officers,female_employees_officers,total_civilians,male_employees_civilians,female_employees_civilians,officers_killed_felony,officers_killed_accident,total_assault_total,total_assault_gun,total_assault_knife,total_assault_other,total_assault_hand_feet,total_assault_2man_veh,total_assault_1man_alone,total_assault_1man_assist,total_assault_det_alone,total_assault_det_assist,total_assault_oth_alone,total_assault_oth_assist,total_assault_clear,disturbance_total_assault,burglary_total_assault,robbery_total_assault,att_oth_arrest_total_assault,civil_disorder_total_assault,cust_prisoners_total_assault,susp_pers_total_assault,ambush_total_assault,deranged_total_assault,traffic_total_assault,all_oth_total_assault
Grand Teton Np,WYDI001,NA,1975,Wyoming,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yellowstone Np,WYDI002,NA,1975,Wyoming,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Devils Tower Nm,WYDI003,NA,1975,Wyoming,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fort Laramie Nhs,WYDI004,NA,1975,Wyoming,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bighorn Canyon Nra,WYDI006,NA,1975,Wyoming,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wyoming Highway Patrol,WYWHP00,WYWHP0000,1975,Wyoming,0,56,021,56021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albany,WY00100,WY0010000,1975,Wyoming,1893,56,001,56001,14,14,0,3,0,3,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Laramie,WY00101,WY0010100,1975,Wyoming,25e3,56,001,56001,24,24,0,6,0,6,0,0,4,3,0,0,1,0,0,4,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,3
Big Horn,WY00200,WY0020000,1975,Wyoming,8542,56,003,56003,5,5,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lovell,WY00202,WY0020200,1975,Wyoming,2586,56,003,56003,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Campbell,WY00300,WY0030000,1975,Wyoming,6937,56,005,56005,11,11,0,8,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gillette,WY00301,WY0030100,1975,Wyoming,8659,56,005,56005,19,17,2,12,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carbon,WY00400,WY0040000,1975,Wyoming,5500,56,007,56007,13,11,2,0,0,0,0,0,2,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2
Rawlins,WY00401,WY0040100,1975,Wyoming,11e3,56,007,56007,16,16,0,5,0,5,0,0,5,3,0,1,1,2,0,3,0,0,0,0,5,2,0,0,0,0,0,3,0,0,0,0
Converse,WY00500,WY0050000,1975,Wyoming,1905,56,009,56009,9,8,1,0,0,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0
Douglas,WY00501,WY0050100,1975,Wyoming,3545,56,009,56009,9,9,0,4,1,3,0,0,8,0,0,1,7,0,3,0,0,3,2,0,8,0,0,0,7,0,0,1,0,0,0,0
Glenrock,WY00502,WY0050200,1975,Wyoming,1866,56,009,56009,5,5,0,0,0,0,0,0,2,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Crook,WY00600,WY0060000,1975,Wyoming,5e3,56,011,56011,6,6,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
