agency,ORI,ORI9,year,state,population,FIPS_state_code,FIPS_county_code,FIPS_state_county_code,total_officers,male_employees_officers,female_employees_officers,total_civilians,male_employees_civilians,female_employees_civilians,officers_killed_felony,officers_killed_accident,total_assault_total,total_assault_gun,total_assault_knife,total_assault_other,total_assault_hand_feet,total_assault_2man_veh,total_assault_1man_alone,total_assault_1man_assist,total_assault_det_alone,total_assault_det_assist,total_assault_oth_alone,total_assault_oth_assist,total_assault_clear,disturbance_total_assault,burglary_total_assault,robbery_total_assault,att_oth_arrest_total_assault,civil_disorder_total_assault,cust_prisoners_total_assault,susp_pers_total_assault,ambush_total_assault,deranged_total_assault,traffic_total_assault,all_oth_total_assault
Baltimore,MDBPD00,MDBPD0000,1975,Maryland,864100,24,510,24510,3377,3317,60,570,212,358,1,2,1633,83,50,96,1404,393,560,517,24,40,63,36,1618,701,11,21,475,0,43,15,0,5,128,234
Catoctin Mtn Park,MDDI001,NA,1975,Maryland,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C&o Canal-antietam-ns-nc,MDDI002,NA,1975,Maryland,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assateague Island Ns,MDDI003,NA,1975,Maryland,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fort Mchenry Nm&hs,MDDI004,NA,1975,Maryland,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harpers Ferry Nhp,MDDI005,NA,1975,Maryland,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hampton Nhs,MDDI006,NA,1975,Maryland,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maryland State Police,MDMSP00,MDMSP0000,1975,Maryland,0,24,510,24510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U S Park Police,MDPPD00,MDPPD0000,1975,Maryland,0,11,001,11001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allegany County,MD00100,MD0010000,1975,Maryland,41680,24,001,24001,22,22,0,1,0,1,0,0,5,0,0,1,4,0,0,0,0,0,1,4,5,0,0,0,0,0,3,0,1,0,0,1
Cumberland,MD00102,MD0010200,1975,Maryland,26518,24,001,24001,70,70,0,9,6,3,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Frostburg,MD00103,MD0010300,1975,Maryland,7023,24,001,24001,14,14,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
