agency,year,state,population,ORI,total_officers,female_employees_officers,male_employees_officers,total_civilians,female_employees_civilians,male_employees_civilians,officers_killed_accident,officers_killed_felony,assault_injury_total,assault_injury_gun,assault_injury_knife,assault_injury_hand_feet,assault_injury_other,assault_no_injury_total,assault_no_injury_gun,assault_no_injury_knife,assault_no_injury_hand_feet,assault_no_injury_other,total_assault_total,total_assault_gun,total_assault_knife,total_assault_hand_feet,total_assault_other,all_oth_total_assault,ambush_total_assault,att_oth_arrest_total_assault,burglary_total_assault,civil_disorder_total_assault,cust_prisoners_total_assault,deranged_total_assault,disturbance_total_assault,robbery_total_assault,susp_pers_total_assault,traffic_total_assault
Uvalda Police Department,1988,Georgia,645,GA10302,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uvalda Police Department,1989,Georgia,690,GA10302,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uvalda Police Department,1990,Georgia,561,GA10302,2,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uvalda Police Department,1991,Georgia,573,GA10302,2,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uvalda Police Department,1992,Georgia,584,GA10302,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uvalda Police Department,1993,Georgia,561,GA10302,1,0,1,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uvalda Police Department,1994,Georgia,572,GA10302,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uvalda Police Department,1995,Georgia,561,GA10302,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uvalda Police Department,1996,Georgia,572,GA10302,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uvalda Police Department,1997,Georgia,582,GA10302,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uvalda Police Department,1998,Georgia,593,GA10302,1,0,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uvalda Police Department,1999,Georgia,581,GA10302,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uvalda Police Department,2000,Georgia,530,GA10302,1,0,1,3,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uvalda Police Department,2001,Georgia,543,GA10302,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uvalda Police Department,2009,Georgia,552,GA10302,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uvalda Police Department,2010,Georgia,598,GA10302,1,0,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uvalda Police Department,2012,Georgia,600,GA10302,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
