agency,ORI,ORI9,year,state,population,FIPS_state_code,FIPS_county_code,FIPS_state_county_code,total_officers,male_employees_officers,female_employees_officers,total_civilians,male_employees_civilians,female_employees_civilians,officers_killed_felony,officers_killed_accident,total_assault_total,total_assault_gun,total_assault_knife,total_assault_other,total_assault_hand_feet,total_assault_2man_veh,total_assault_1man_alone,total_assault_1man_assist,total_assault_det_alone,total_assault_det_assist,total_assault_oth_alone,total_assault_oth_assist,total_assault_clear,disturbance_total_assault,burglary_total_assault,robbery_total_assault,att_oth_arrest_total_assault,civil_disorder_total_assault,cust_prisoners_total_assault,susp_pers_total_assault,ambush_total_assault,deranged_total_assault,traffic_total_assault,all_oth_total_assault
Isle Royale Np,MIDI001,NA,1975,Michigan,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pictured Rocks Nl,MIDI002,NA,1975,Michigan,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sleeping Bear Dunes Nl,MIDI003,NA,1975,Michigan,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Voyageurs Np,MIDI004,NA,1975,Michigan,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alcona,MI01101,MI0110100,1975,Michigan,7948,26,001,26001,8,8,0,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harrisville,MI01461,MI0146100,1975,Michigan,575,26,001,26001,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lincoln,MI01533,MI0153300,1975,Michigan,469,26,001,26001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alger,MI02102,MI0210200,1975,Michigan,4992,26,003,26003,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Munising,MI02602,MI0260200,1975,Michigan,4e3,26,003,26003,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allegan,MI03103,MI0310300,1975,Michigan,48733,26,005,26005,38,33,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allegan,MI03210,MI0321000,1975,Michigan,5008,26,005,26005,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Douglas,MI03353,MI0335300,1975,Michigan,857,26,005,26005,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fennville,MI03392,MI0339200,1975,Michigan,855,26,005,26005,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hopkins,MI03478,MI0347800,1975,Michigan,597,26,005,26005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin,MI03561,MI0356100,1975,Michigan,529,26,005,26005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otsego,MI03641,MI0364100,1975,Michigan,4214,26,005,26005,6,6,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plainwell,MI03670,MI0367000,1975,Michigan,3450,26,005,26005,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saugatuck,MI03733,MI0373300,1975,Michigan,1047,26,005,26005,4,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wayland,MI03811,MI0381100,1975,Michigan,2166,26,005,26005,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alpena,MI04104,MI0410400,1975,Michigan,19040,26,007,26007,10,10,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alpena,MI04215,MI0421500,1975,Michigan,14199,26,007,26007,22,22,0,0,0,0,0,0,4,0,0,0,4,4,0,0,0,0,0,0,4,2,0,0,2,0,0,0,0,0,0,0
Antrim,MI05105,MI0510500,1975,Michigan,13437,26,009,26009,12,11,1,6,5,1,0,0,2,0,0,0,2,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
Bellaire,MI05245,MI0524500,1975,Michigan,1263,26,009,26009,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elk Rapids,MI05375,MI0537500,1975,Michigan,1300,26,009,26009,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mancelona,MI05548,MI0554800,1975,Michigan,1592,26,009,26009,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arenac,MI06106,MI0610600,1975,Michigan,12932,26,011,26011,14,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Standish,MI06760,MI0676000,1975,Michigan,1373,26,011,26011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baraga,MI07107,MI0710700,1975,Michigan,3628,26,013,26013,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baraga,MI07232,MI0723200,1975,Michigan,1146,26,013,26013,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L Anse,MI07518,MI0751800,1975,Michigan,3226,26,013,26013,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barry,MI08108,MI0810800,1975,Michigan,30666,26,015,26015,17,17,0,11,7,4,0,0,2,0,0,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0
Hastings,MI08464,MI0846400,1975,Michigan,7056,26,015,26015,18,18,0,1,1,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0
Middleville,MI08582,MI0858200,1975,Michigan,2126,26,015,26015,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nashville,MI08607,MI0860700,1975,Michigan,1575,26,015,26015,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bay,MI09109,MI0910900,1975,Michigan,64328,26,017,26017,35,35,0,16,8,8,0,0,8,0,0,2,6,4,0,1,0,0,0,3,3,1,0,0,0,0,1,1,0,0,1,4
Auburn,MI09223,MI0922300,1975,Michigan,2128,26,017,26017,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bay City,MI09239,MI0923900,1975,Michigan,47383,26,017,26017,88,87,1,7,2,5,0,0,7,0,0,2,5,7,0,0,0,0,0,0,7,1,0,0,2,3,0,0,0,0,1,0
Essexville,MI09383,MI0938300,1975,Michigan,5200,26,017,26017,9,9,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pinconning,MI09668,MI0966800,1975,Michigan,1550,26,017,26017,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delta College,MI09882,MI0988200,1975,Michigan,0,26,017,26017,7,6,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benzie,MI10110,MI1011000,1975,Michigan,7400,26,019,26019,7,7,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beulah,MI10254,MI1025400,1975,Michigan,483,26,019,26019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elberta,MI10374,MI1037400,1975,Michigan,496,26,019,26019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frankfort,MI10407,MI1040700,1975,Michigan,1600,26,019,26019,4,3,1,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
Berrien,MI11111,MI1111100,1975,Michigan,54547,26,021,26021,79,74,5,21,8,13,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Benton Harbor,MI11248,MI1124800,1975,Michigan,14698,26,021,26021,40,38,2,6,1,5,0,0,54,0,2,13,39,12,6,24,1,2,1,8,1,23,0,0,8,8,3,5,1,3,2,1
