agency,ORI,ORI9,year,state,population,FIPS_state_code,FIPS_county_code,FIPS_state_county_code,total_officers,male_employees_officers,female_employees_officers,total_civilians,male_employees_civilians,female_employees_civilians,officers_killed_felony,officers_killed_accident,total_assault_total,total_assault_gun,total_assault_knife,total_assault_other,total_assault_hand_feet,total_assault_2man_veh,total_assault_1man_alone,total_assault_1man_assist,total_assault_det_alone,total_assault_det_assist,total_assault_oth_alone,total_assault_oth_assist,total_assault_clear,disturbance_total_assault,burglary_total_assault,robbery_total_assault,att_oth_arrest_total_assault,civil_disorder_total_assault,cust_prisoners_total_assault,susp_pers_total_assault,ambush_total_assault,deranged_total_assault,traffic_total_assault,all_oth_total_assault
Jefferson Nem Nhs,MODI001,NA,1975,Missouri,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ozark Nsr,MODI002,NA,1975,Missouri,0,NA,NA,NA,14,14,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
George Wash Carver Nm,MODI003,NA,1975,Missouri,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilsons Creek Nb,MODI004,NA,1975,Missouri,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas City,MOKPD00,MOKPD0000,1975,Missouri,489094,29,095,29095,1246,1231,15,461,239,222,1,1,227,23,7,30,167,114,23,72,0,0,14,4,192,67,1,6,86,0,12,27,0,3,17,8
Missouri Highway Patrol,MOMHP00,MOMHP0000,1975,Missouri,0,29,051,29051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St Louis,MOSPD00,MOSPD0000,1975,Missouri,569e3,29,510,29510,2173,2139,34,590,280,310,1,0,528,53,12,68,395,193,29,144,3,35,19,105,497,143,20,6,81,14,24,108,4,0,82,46
Adair,MO00100,MO0010000,1975,Missouri,7093,29,001,29001,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kirksville,MO00101,MO0010100,1975,Missouri,16348,29,001,29001,19,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrew,MO00200,MO0020000,1975,Missouri,9342,29,003,29003,6,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Savannah,MO00201,MO0020100,1975,Missouri,3615,29,003,29003,4,3,1,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atchison,MO00300,MO0030000,1975,Missouri,9001,29,005,29005,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Audrain,MO00400,MO0040000,1975,Missouri,10656,29,007,29007,5,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,MO00404,MO0040400,1975,Missouri,11212,29,007,29007,24,24,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vandalia,MO00405,MO0040500,1975,Missouri,3156,29,007,29007,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barry,MO00500,MO0050000,1975,Missouri,16643,29,009,29009,6,6,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monett,MO00502,MO0050200,1975,Missouri,6168,29,009,29009,10,10,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barton,MO00600,MO0060000,1975,Missouri,6587,29,011,29011,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lamar,MO00601,MO0060100,1975,Missouri,4194,29,011,29011,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bates,MO00700,MO0070000,1975,Missouri,10266,29,013,29013,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Butler,MO00702,MO0070200,1975,Missouri,4203,29,013,29013,7,7,0,4,4,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Rich Hill,MO00704,MO0070400,1975,Missouri,1554,29,013,29013,2,2,0,0,0,0,0,0,3,0,0,1,2,3,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,1,0
Benton,MO00800,MO0080000,1975,Missouri,11275,29,015,29015,5,5,0,2,2,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Bollinger,MO00900,MO0090000,1975,Missouri,9594,29,017,29017,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boone,MO01000,MO0100000,1975,Missouri,16965,29,019,29019,16,14,2,10,9,1,0,0,2,0,0,0,2,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
Centralia,MO01001,MO0100100,1975,Missouri,3491,29,019,29019,5,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Columbia,MO01002,MO0100200,1975,Missouri,65e3,29,019,29019,76,74,2,15,2,13,0,0,2,1,0,0,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,1,0,0,1,0
University Of Missouri,MO01004,MO0100400,1975,Missouri,0,29,019,29019,49,42,7,9,0,9,0,0,5,0,0,1,4,0,2,0,1,2,0,0,4,0,0,0,0,0,0,2,0,0,1,2
Buchanan,MO01100,MO0110000,1975,Missouri,10169,29,021,29021,27,26,1,3,0,3,0,0,3,0,2,0,1,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0
St Joseph,MO01101,MO0110100,1975,Missouri,75188,29,021,29021,126,125,1,18,8,10,0,0,6,1,1,1,3,2,1,0,0,0,2,1,4,1,0,1,0,0,1,0,0,0,1,2
Butler,MO01200,MO0120000,1975,Missouri,17115,29,023,29023,7,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poplar Bluff,MO01202,MO0120200,1975,Missouri,18096,29,023,29023,41,37,4,5,3,2,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Caldwell,MO01300,MO0130000,1975,Missouri,8704,29,025,29025,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Callaway,MO01400,MO0140000,1975,Missouri,14188,29,027,29027,10,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fulton,MO01403,MO0140300,1975,Missouri,12418,29,027,29027,18,17,1,7,3,4,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
Camden,MO01500,MO0150000,1975,Missouri,16221,29,029,29029,11,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape Girardeau,MO01600,MO0160000,1975,Missouri,10807,29,031,29031,18,16,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape Girardeau,MO01601,MO0160100,1975,Missouri,34171,29,031,29031,48,48,0,11,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jackson,MO01602,MO0160200,1975,Missouri,6454,29,031,29031,12,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carroll,MO01700,MO0170000,1975,Missouri,6868,29,033,29033,5,4,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
