agency,year,state,population,ORI,total_officers,female_employees_officers,male_employees_officers,total_civilians,female_employees_civilians,male_employees_civilians,officers_killed_accident,officers_killed_felony,assault_injury_total,assault_injury_gun,assault_injury_knife,assault_injury_hand_feet,assault_injury_other,assault_no_injury_total,assault_no_injury_gun,assault_no_injury_knife,assault_no_injury_hand_feet,assault_no_injury_other,total_assault_total,total_assault_gun,total_assault_knife,total_assault_hand_feet,total_assault_other,all_oth_total_assault,ambush_total_assault,att_oth_arrest_total_assault,burglary_total_assault,civil_disorder_total_assault,cust_prisoners_total_assault,deranged_total_assault,disturbance_total_assault,robbery_total_assault,susp_pers_total_assault,traffic_total_assault
Bonita Police Dept.,1998,Louisiana,265,LA03403,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonita Police Dept.,1995,Louisiana,223,LA03403,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonita Police Dept.,1994,Louisiana,264,LA03403,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonita Police Dept.,1993,Louisiana,263,LA03403,2,0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonita Police Dept.,1990,Louisiana,265,LA03403,3,0,3,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonita Police Dept.,1989,Louisiana,457,LA03403,3,0,3,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonita Police Dept.,1988,Louisiana,486,LA03403,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonita Police Dept.,1987,Louisiana,486,LA03403,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonita Police Dept.,1977,Louisiana,561,LA03403,3,0,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonita Police Dept.,1976,Louisiana,597,LA03403,3,0,3,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
