agency,ORI,ORI9,year,state,population,FIPS_state_code,FIPS_county_code,FIPS_state_county_code,total_officers,male_employees_officers,female_employees_officers,total_civilians,male_employees_civilians,female_employees_civilians,officers_killed_felony,officers_killed_accident,total_assault_total,total_assault_gun,total_assault_knife,total_assault_other,total_assault_hand_feet,total_assault_2man_veh,total_assault_1man_alone,total_assault_1man_assist,total_assault_det_alone,total_assault_det_assist,total_assault_oth_alone,total_assault_oth_assist,total_assault_clear,disturbance_total_assault,burglary_total_assault,robbery_total_assault,att_oth_arrest_total_assault,civil_disorder_total_assault,cust_prisoners_total_assault,susp_pers_total_assault,ambush_total_assault,deranged_total_assault,traffic_total_assault,all_oth_total_assault
Acadia Np,MEDI001,NA,1975,Maine,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
State Police,MEMSP00,MEMSP0000,1975,Maine,0,23,011,23011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Androscoggin Sp,ME001SP,ME001SP00,1975,Maine,0,23,001,23001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Androscoggin,ME00100,ME0010000,1975,Maine,22042,23,001,23001,24,20,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
Auburn,ME00101,ME0010100,1975,Maine,24147,23,001,23001,39,39,0,6,4,2,0,0,5,0,1,0,4,2,0,2,0,0,0,1,4,2,0,0,0,0,1,0,0,0,1,1
Lewiston,ME00102,ME0010200,1975,Maine,42631,23,001,23001,78,78,0,14,6,8,0,0,15,0,0,5,10,0,6,8,0,0,1,0,15,12,0,0,2,1,0,0,0,0,0,0
Livermore Falls,ME00103,ME0010300,1975,Maine,3623,23,001,23001,4,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lisbon,ME00105,ME0010500,1975,Maine,3421,23,001,23001,6,6,0,4,3,1,0,0,3,0,0,0,3,0,0,2,0,0,1,0,3,0,0,0,1,0,0,0,0,0,2,0
Aroostook Sp,ME002SP,ME002SP00,1975,Maine,0,23,003,23003,0,0,0,0,0,0,0,0,3,1,0,0,2,0,1,1,0,0,0,1,3,0,0,0,2,0,0,0,0,0,1,0
Aroostook,ME00200,ME0020000,1975,Maine,35601,23,003,23003,23,22,1,2,2,0,0,0,2,0,0,0,2,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,1
