agency,ORI,ORI9,year,state,population,FIPS_state_code,FIPS_county_code,FIPS_state_county_code,total_officers,male_employees_officers,female_employees_officers,total_civilians,male_employees_civilians,female_employees_civilians,officers_killed_felony,officers_killed_accident,total_assault_total,total_assault_gun,total_assault_knife,total_assault_other,total_assault_hand_feet,total_assault_2man_veh,total_assault_1man_alone,total_assault_1man_assist,total_assault_det_alone,total_assault_det_assist,total_assault_oth_alone,total_assault_oth_assist,total_assault_clear,disturbance_total_assault,burglary_total_assault,robbery_total_assault,att_oth_arrest_total_assault,civil_disorder_total_assault,cust_prisoners_total_assault,susp_pers_total_assault,ambush_total_assault,deranged_total_assault,traffic_total_assault,all_oth_total_assault
State Police,CTCSP00,CTCSP0000,1975,Connecticut,0,09,009,09009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Town Of Groton,CT00A59,CT00A5900,1975,Connecticut,36410,09,011,09011,47,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ansonia,CT00002,CT0000200,1975,Connecticut,19932,09,009,09009,34,33,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Avon,CT00004,CT0000400,1975,Connecticut,9472,09,003,09003,30,29,1,2,0,2,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Beacon Falls,CT00005,CT0000500,1975,Connecticut,3848,09,009,09009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berlin,CT00007,CT0000700,1975,Connecticut,15200,09,003,09003,31,31,0,3,0,3,0,0,16,2,0,0,14,3,6,6,0,0,1,0,16,2,0,0,0,0,3,2,0,0,6,3
Bethel,CT00009,CT0000900,1975,Connecticut,12531,09,001,09001,27,27,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bloomfield,CT00011,CT0001100,1975,Connecticut,19931,09,003,09003,47,45,2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Branford,CT00014,CT0001400,1975,Connecticut,21017,09,009,09009,32,32,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bridgeport,CT00015,CT0001500,1975,Connecticut,152e3,09,001,09001,480,475,5,9,8,1,0,0,140,1,2,21,116,48,38,50,0,2,1,1,0,2,11,6,57,1,15,6,0,1,0,41
