agency,year,state,population,ORI,card_unfounded_pt,card_unfounded_type,card_actual_type,card_officers_type,card_actual_pt,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burglary_total,actual_burglary_force_entry,actual_burglary_nonforce_entry,actual_burglary_attempted,actual_theft_total,actual_motor_vehicle_theft_total,actual_motor_vehicle_theft_car,actual_motor_vehicle_theft_truck,actual_motor_vehicle_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,unfounded_murder,unfounded_manslaughter,unfounded_rape_total,unfounded_rape_by_force,unfounded_rape_attempted,unfounded_robbery_total,unfounded_robbery_with_a_gun,unfounded_robbery_with_a_knife,unfounded_robbery_other_weapon,unfounded_robbery_unarmed,unfounded_assault_total,unfounded_assault_with_a_gun,unfounded_assault_with_a_knife,unfounded_assault_other_weapon,unfounded_assault_unarmed,unfounded_assault_simple,unfounded_burglary_total,unfounded_burglary_force_entry,unfounded_burglary_nonforce_entry,unfounded_burglary_attempted,unfounded_theft_total,unfounded_motor_vehicle_theft_total,unfounded_motor_vehicle_theft_car,unfounded_motor_vehicle_theft_truck,unfounded_motor_vehicle_theft_other,unfounded_all_crimes,unfounded_theft_under50_dollar,unfounded_assault_aggravated,unfounded_index_violent,unfounded_index_property,unfounded_index_total
Espanola Police Department,2017-12-01,New Mexico,10121,NM02101,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,1,0,0,0,0,0,4,2,1,0,1,16,1,2,0,13,0,12,2,10,0,29,1,1,0,0,62,0,16,20,42,62,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,3,2,1,0,1,0,0,0,0,6,0,2,2,4,6
Espanola Police Department,2017-11-01,New Mexico,10121,NM02101,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,2,0,0,0,0,0,2,0,0,0,2,19,1,1,0,16,1,16,5,11,0,11,2,2,0,0,50,0,18,20,29,49,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5,1,4,0,1,0,0,0,0,7,0,1,1,6,7
Espanola Police Department,2017-10-01,New Mexico,10121,NM02101,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,1,1,0,0,0,0,3,2,0,0,1,12,1,1,0,10,0,25,8,17,0,16,3,3,0,0,60,0,12,16,44,60,0,0,0,0,0,1,0,0,0,1,2,0,0,0,2,0,4,1,3,0,0,0,0,0,0,7,0,2,3,4,7
Espanola Police Department,2017-09-01,New Mexico,10121,NM02101,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,5,1,0,0,0,0,3,3,0,0,0,21,2,2,0,17,0,23,6,17,0,22,1,1,0,0,71,0,21,25,46,71,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5,4,1,0,1,0,0,0,0,7,0,1,1,6,7
Espanola Police Department,2017-08-01,New Mexico,10121,NM02101,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,3,0,0,0,0,0,1,0,0,0,1,39,6,4,1,28,0,25,11,14,0,33,3,3,0,0,101,0,39,40,61,101,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5,4,1,0,1,0,0,0,0,7,0,1,1,6,7
Espanola Police Department,2017-07-01,New Mexico,10121,NM02101,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,2,0,0,0,0,0,2,1,0,0,1,27,2,1,1,21,2,23,2,21,0,11,2,2,0,0,65,0,25,27,36,63,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,1,1,1,2
Espanola Police Department,2017-06-01,New Mexico,10121,NM02101,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,2,0,0,1,1,0,3,1,1,0,1,27,4,3,3,16,1,19,6,13,0,14,2,2,0,0,66,0,26,30,35,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0,2,2
Espanola Police Department,2017-05-01,New Mexico,10121,NM02101,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,2,0,0,0,0,0,1,0,0,0,1,30,2,2,4,22,0,13,3,10,0,13,4,4,0,0,61,0,30,31,30,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,4,0,0,0,4,4
Espanola Police Department,2017-04-01,New Mexico,10121,NM02101,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,3,0,0,1,1,0,1,0,0,0,1,19,1,3,2,13,0,11,2,9,0,17,5,5,0,0,54,0,19,21,33,54,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,2,0,0,0,0,0,0,3,0,1,1,2,3
Espanola Police Department,2017-03-01,New Mexico,10121,NM02101,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,3,0,0,1,1,0,5,2,0,0,3,26,3,2,3,18,0,16,3,13,0,14,7,7,0,0,69,0,26,32,37,69,0,0,0,0,0,0,0,0,0,0,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4
