agency,year,state,population,ORI,card_unfound_pt,card_unfound_type,card_actual_type,card_tot_clr_type,card_clr_18_type,card_officers_type,card_actual_pt,card_tot_clr_pt,card_clr_18_pt,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_mtr_veh_theft_total,actual_mtr_veh_theft_car,actual_mtr_veh_theft_truck,actual_mtr_veh_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,tot_clr_murder,tot_clr_manslaughter,tot_clr_rape_total,tot_clr_rape_by_force,tot_clr_rape_attempted,tot_clr_robbery_total,tot_clr_robbery_with_a_gun,tot_clr_robbery_with_a_knife,tot_clr_robbery_other_weapon,tot_clr_robbery_unarmed,tot_clr_assault_total,tot_clr_assault_with_a_gun,tot_clr_assault_with_a_knife,tot_clr_assault_other_weapon,tot_clr_assault_unarmed,tot_clr_assault_simple,tot_clr_burg_total,tot_clr_burg_force_entry,tot_clr_burg_nonforce_entry,tot_clr_burg_attempted,tot_clr_theft_total,tot_clr_mtr_veh_theft_total,tot_clr_mtr_veh_theft_car,tot_clr_mtr_veh_theft_truck,tot_clr_mtr_veh_theft_other,tot_clr_all_crimes,tot_clr_theft_under50_dollar,tot_clr_assault_aggravated,tot_clr_index_violent,tot_clr_index_property,tot_clr_index_total,clr_18_murder,clr_18_manslaughter,clr_18_rape_total,clr_18_rape_by_force,clr_18_rape_attempted,clr_18_robbery_total,clr_18_robbery_with_a_gun,clr_18_robbery_with_a_knife,clr_18_robbery_other_weapon,clr_18_robbery_unarmed,clr_18_assault_total,clr_18_assault_with_a_gun,clr_18_assault_with_a_knife,clr_18_assault_other_weapon,clr_18_assault_unarmed,clr_18_assault_simple,clr_18_burg_total,clr_18_burg_force_entry,clr_18_burg_nonforce_entry,clr_18_burg_attempted,clr_18_theft_total,clr_18_mtr_veh_theft_total,clr_18_mtr_veh_theft_car,clr_18_mtr_veh_theft_truck,clr_18_mtr_veh_theft_other,clr_18_all_crimes,clr_18_theft_under50_dollar,clr_18_assault_aggravated,clr_18_index_violent,clr_18_index_property,clr_18_index_total,unfound_murder,unfound_manslaughter,unfound_rape_total,unfound_rape_by_force,unfound_rape_attempted,unfound_robbery_total,unfound_robbery_with_a_gun,unfound_robbery_with_a_knife,unfound_robbery_other_weapon,unfound_robbery_unarmed,unfound_assault_total,unfound_assault_with_a_gun,unfound_assault_with_a_knife,unfound_assault_other_weapon,unfound_assault_unarmed,unfound_assault_simple,unfound_burg_total,unfound_burg_force_entry,unfound_burg_nonforce_entry,unfound_burg_attempted,unfound_theft_total,unfound_mtr_veh_theft_total,unfound_mtr_veh_theft_car,unfound_mtr_veh_theft_truck,unfound_mtr_veh_theft_other,unfound_all_crimes,unfound_theft_under50_dollar,unfound_assault_aggravated,unfound_index_violent,unfound_index_property,unfound_index_total
Lewisville Police Department,2023-12-01,Texas,133694,TX06106,breakdown offenses,normal return,normal return,normal return,normal return,normal return,breakdown offenses,breakdown offenses,breakdown offenses,0,0,0,0,0,5,5,0,4,3,0,0,1,103,8,3,3,2,87,17,1,16,0,123,30,20,9,1,282,0,16,25,170,195,0,0,0,0,0,2,1,1,0,0,59,5,2,1,0,51,2,0,2,0,25,1,0,1,0,89,0,8,10,28,38,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,3,1,0,1,0,4,0,0,0,0,9,0,1,1,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lewisville Police Department,2023-11-01,Texas,133694,TX06106,breakdown offenses,normal return,normal return,normal return,normal return,normal return,breakdown offenses,breakdown offenses,breakdown offenses,0,0,0,1,0,4,4,0,4,2,0,0,2,100,10,2,1,0,87,5,1,4,0,128,32,20,12,0,274,0,13,22,165,187,1,0,1,1,0,1,0,0,0,1,54,8,2,0,2,42,0,0,0,0,20,3,2,1,0,80,0,12,15,23,38,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,1,1,0,0,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lewisville Police Department,2023-10-01,Texas,133694,TX06106,breakdown offenses,normal return,normal return,normal return,normal return,normal return,breakdown offenses,breakdown offenses,breakdown offenses,0,0,0,1,1,2,2,0,2,0,0,0,2,110,5,8,1,2,94,19,2,17,0,153,38,26,8,4,326,0,16,21,210,231,0,1,1,1,0,1,1,0,0,0,48,1,5,0,0,42,4,1,3,0,27,5,5,0,0,87,0,6,8,36,44,0,0,0,0,0,0,0,0,0,0,12,0,1,0,0,11,0,0,0,0,3,2,2,0,0,17,0,1,1,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lewisville Police Department,2023-09-01,Texas,133694,TX06106,breakdown offenses,normal return,normal return,normal return,normal return,normal return,breakdown offenses,breakdown offenses,breakdown offenses,0,0,0,1,0,0,0,0,2,1,0,0,1,124,7,2,1,1,113,16,2,14,0,136,26,14,10,2,305,0,11,14,178,192,1,0,1,1,0,0,0,0,0,0,64,3,3,0,0,58,0,0,0,0,30,3,2,1,0,99,0,6,8,33,41,1,0,0,0,0,0,0,0,0,0,11,1,1,0,0,9,0,0,0,0,4,0,0,0,0,16,0,2,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lewisville Police Department,2023-08-01,Texas,133694,TX06106,breakdown offenses,normal return,normal return,normal return,normal return,normal return,breakdown offenses,breakdown offenses,breakdown offenses,0,0,0,2,0,5,5,0,7,1,0,2,4,109,6,3,1,1,98,40,28,12,0,144,39,22,16,1,346,0,11,25,223,248,2,0,1,1,0,3,0,0,0,3,46,1,2,1,1,41,1,0,1,0,24,2,1,1,0,79,0,5,11,27,38,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,3,0,0,0,0,11,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lewisville Police Department,2023-07-01,Texas,133694,TX06106,breakdown offenses,normal return,normal return,normal return,normal return,normal return,breakdown offenses,breakdown offenses,breakdown offenses,0,0,0,0,0,4,4,0,5,1,1,1,2,110,4,6,6,1,93,23,5,17,1,185,41,20,13,8,368,0,17,26,249,275,0,0,3,3,0,4,2,1,0,1,64,2,6,4,1,51,0,0,0,0,33,5,4,0,1,109,0,13,20,38,58,0,0,1,1,0,2,1,0,0,1,2,0,1,0,0,1,0,0,0,0,4,2,2,0,0,11,0,1,4,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lewisville Police Department,2023-06-01,Texas,133694,TX06106,breakdown offenses,normal return,normal return,normal return,normal return,normal return,breakdown offenses,breakdown offenses,breakdown offenses,0,0,0,0,0,4,4,0,5,2,1,1,1,115,9,6,1,1,98,19,7,10,2,146,43,26,15,2,332,0,17,26,208,234,0,0,1,1,0,1,1,0,0,0,63,4,2,0,2,55,3,0,2,1,24,10,6,3,1,102,0,8,10,37,47,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,1,0,0,1,3,4,4,0,0,16,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lewisville Police Department,2023-05-01,Texas,133694,TX06106,breakdown offenses,normal return,normal return,normal return,normal return,normal return,breakdown offenses,breakdown offenses,breakdown offenses,0,0,0,2,0,9,9,0,6,4,1,0,1,136,9,3,1,1,122,15,1,13,1,166,40,24,15,1,374,0,14,31,221,252,2,0,0,0,0,1,0,0,0,1,63,4,2,1,0,56,1,0,1,0,34,4,3,1,0,105,0,7,10,39,49,1,0,0,0,0,1,0,0,0,1,6,0,0,0,0,6,0,0,0,0,4,0,0,0,0,12,0,0,2,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lewisville Police Department,2023-04-01,Texas,133694,TX06106,breakdown offenses,normal return,normal return,normal return,normal return,normal return,breakdown offenses,breakdown offenses,breakdown offenses,0,0,0,0,0,7,7,0,5,3,0,0,2,125,9,7,3,2,104,13,5,8,0,152,31,18,13,0,333,0,21,33,196,229,0,0,0,0,0,1,0,0,0,1,65,3,5,2,1,54,4,1,3,0,24,3,3,0,0,97,0,11,12,31,43,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,1,0,1,0,3,0,0,0,0,14,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lewisville Police Department,2023-03-01,Texas,133694,TX06106,breakdown offenses,normal return,normal return,normal return,normal return,normal return,breakdown offenses,breakdown offenses,breakdown offenses,0,0,0,0,0,5,5,0,2,1,1,0,0,94,6,3,4,1,80,17,4,12,1,154,35,23,11,1,307,0,14,21,206,227,0,0,5,5,0,2,2,0,0,0,52,9,1,0,0,42,2,0,2,0,15,2,2,0,0,78,0,10,17,19,36,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,4,0,0,0,0,16,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
