agency,year,state,population,ORI,card_unfounded_pt,card_unfounded_type,card_actual_type,card_officers_type,card_actual_pt,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burglary_total,actual_burglary_force_entry,actual_burglary_nonforce_entry,actual_burglary_attempted,actual_theft_total,actual_motor_vehicle_theft_total,actual_motor_vehicle_theft_car,actual_motor_vehicle_theft_truck,actual_motor_vehicle_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,unfounded_murder,unfounded_manslaughter,unfounded_rape_total,unfounded_rape_by_force,unfounded_rape_attempted,unfounded_robbery_total,unfounded_robbery_with_a_gun,unfounded_robbery_with_a_knife,unfounded_robbery_other_weapon,unfounded_robbery_unarmed,unfounded_assault_total,unfounded_assault_with_a_gun,unfounded_assault_with_a_knife,unfounded_assault_other_weapon,unfounded_assault_unarmed,unfounded_assault_simple,unfounded_burglary_total,unfounded_burglary_force_entry,unfounded_burglary_nonforce_entry,unfounded_burglary_attempted,unfounded_theft_total,unfounded_motor_vehicle_theft_total,unfounded_motor_vehicle_theft_car,unfounded_motor_vehicle_theft_truck,unfounded_motor_vehicle_theft_other,unfounded_all_crimes,unfounded_theft_under50_dollar,unfounded_assault_aggravated,unfounded_index_violent,unfounded_index_property,unfounded_index_total
Oklahoma City Police Department,2017-01-01,Oklahoma,648195,OK05506,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,13,10,0,51,44,7,109,70,7,8,24,604,53,55,82,78,336,535,449,57,29,1460,271,177,86,8,3040,0,268,438,2266,2704,0,0,4,4,0,1,1,0,0,0,9,0,0,3,0,6,1,1,0,0,2,3,3,0,0,20,0,3,8,6,14
Oklahoma City Police Department,2017-02-01,Oklahoma,648195,OK05506,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,13,1,0,37,33,4,71,36,8,3,24,556,54,46,70,63,323,422,358,38,26,1125,199,135,53,11,2411,0,233,342,1746,2088,0,0,1,1,0,0,0,0,0,0,6,0,0,1,0,5,1,0,1,0,9,8,3,5,0,25,0,1,2,18,20
Oklahoma City Police Department,2017-03-01,Oklahoma,648195,OK05506,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,15,3,0,27,23,4,90,36,8,8,38,642,65,38,106,68,365,481,392,60,29,1311,198,120,67,11,2752,0,277,397,1990,2387,1,0,6,5,1,1,1,0,0,0,20,2,1,3,0,14,0,0,0,0,4,1,1,0,0,33,0,6,14,5,19
Oklahoma City Police Department,2017-04-01,Oklahoma,648195,OK05506,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,16,5,0,42,40,2,72,25,8,7,32,691,90,48,87,57,409,470,369,69,32,1166,204,136,59,9,2650,0,282,401,1840,2241,0,0,3,3,0,1,0,0,0,1,14,2,2,2,1,7,1,1,0,0,9,1,0,1,0,29,0,7,11,11,22
Oklahoma City Police Department,2017-05-01,Oklahoma,648195,OK05506,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,15,5,0,35,33,2,90,34,7,3,46,676,56,48,121,62,389,559,466,66,27,1273,232,140,80,12,2870,0,287,417,2064,2481,0,0,3,3,0,1,1,0,0,0,5,0,1,0,0,4,1,0,1,0,4,4,3,1,0,18,0,1,5,9,14
Oklahoma City Police Department,2017-06-01,Oklahoma,648195,OK05506,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,19,9,0,50,47,3,80,37,4,8,31,639,70,60,113,61,335,526,445,66,15,1296,225,133,80,12,2825,0,304,443,2047,2490,1,0,7,7,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,3,0,0,0,0,14,0,1,10,4,14
Oklahoma City Police Department,2017-07-01,Oklahoma,648195,OK05506,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,27,10,0,44,38,6,93,47,11,5,30,693,84,54,114,70,371,524,420,80,24,1239,221,142,64,15,2824,0,322,469,1984,2453,2,0,3,3,0,0,0,0,0,0,4,1,2,0,1,0,2,2,0,0,2,30,29,1,0,43,0,4,9,34,43
Oklahoma City Police Department,2017-08-01,Oklahoma,648195,OK05506,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,26,7,0,44,44,0,110,53,7,7,43,679,68,61,111,52,387,544,452,67,25,1295,246,165,66,15,2925,0,292,453,2085,2538,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,4,3,3,0,0,10,0,0,1,7,8
Oklahoma City Police Department,2017-09-01,Oklahoma,648195,OK05506,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,22,8,0,49,44,5,95,47,10,10,28,673,83,55,98,68,369,479,391,65,23,1322,227,145,67,15,2853,0,304,456,2028,2484,2,0,2,2,0,1,0,0,0,1,5,2,0,0,0,3,2,1,1,0,4,5,4,1,0,21,0,2,7,11,18
Oklahoma City Police Department,2017-10-01,Oklahoma,648195,OK05506,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,6,4,1,25,25,0,91,44,12,4,31,605,71,48,82,74,330,496,408,64,24,1296,241,160,68,13,2759,0,275,395,2033,2428,1,0,5,4,1,1,0,0,0,1,8,0,0,1,0,7,0,0,0,0,3,7,4,3,0,25,0,1,8,10,18
