agency,year,state,population,ORI,card_unfounded_pt,card_unfounded_type,card_actual_type,card_officers_type,card_actual_pt,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_motor_vehicle_theft_total,actual_motor_vehicle_theft_car,actual_motor_vehicle_theft_truck,actual_motor_vehicle_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,unfounded_murder,unfounded_manslaughter,unfounded_rape_total,unfounded_rape_by_force,unfounded_rape_attempted,unfounded_robbery_total,unfounded_robbery_with_a_gun,unfounded_robbery_with_a_knife,unfounded_robbery_other_weapon,unfounded_robbery_unarmed,unfounded_assault_total,unfounded_assault_with_a_gun,unfounded_assault_with_a_knife,unfounded_assault_other_weapon,unfounded_assault_unarmed,unfounded_assault_simple,unfounded_burg_total,unfounded_burg_force_entry,unfounded_burg_nonforce_entry,unfounded_burg_attempted,unfounded_theft_total,unfounded_motor_vehicle_theft_total,unfounded_motor_vehicle_theft_car,unfounded_motor_vehicle_theft_truck,unfounded_motor_vehicle_theft_other,unfounded_all_crimes,unfounded_theft_under50_dollar,unfounded_assault_aggravated,unfounded_index_violent,unfounded_index_property,unfounded_index_total
Milwaukee Police Department,2023-12-01,Wisconsin,558698,WIMPD00,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,0,15,1,26,25,1,112,67,3,6,36,1076,246,39,108,25,658,184,27,151,6,630,500,499,1,0,2544,0,418,571,1314,1885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milwaukee Police Department,2023-11-01,Wisconsin,558698,WIMPD00,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,0,10,4,29,27,2,126,77,5,8,36,1015,181,40,106,47,641,170,65,100,5,566,535,529,4,2,2455,0,374,539,1271,1810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milwaukee Police Department,2023-10-01,Wisconsin,558698,WIMPD00,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,0,16,5,24,23,1,157,99,7,8,43,1058,258,51,93,39,617,273,41,228,4,677,517,515,2,0,2727,0,441,638,1467,2105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milwaukee Police Department,2023-09-01,Wisconsin,558698,WIMPD00,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,0,18,0,39,39,0,142,76,7,12,47,1186,339,36,128,47,636,204,21,173,10,477,450,449,1,0,2516,0,550,749,1131,1880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milwaukee Police Department,2023-08-01,Wisconsin,558698,WIMPD00,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,0,18,1,37,37,0,172,110,5,13,44,1121,286,41,124,47,623,180,22,152,6,617,466,461,1,4,2612,0,498,725,1263,1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milwaukee Police Department,2023-07-01,Wisconsin,558698,WIMPD00,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,0,19,0,44,43,1,137,84,5,9,39,1255,336,41,126,42,710,209,19,179,11,664,465,459,2,4,2793,0,545,745,1338,2083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milwaukee Police Department,2023-06-01,Wisconsin,558698,WIMPD00,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,0,19,3,38,38,0,134,77,2,9,46,1188,311,42,129,67,639,213,29,170,14,609,481,480,0,1,2685,0,549,740,1303,2043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milwaukee Police Department,2023-05-01,Wisconsin,558698,WIMPD00,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,0,11,0,41,37,4,136,84,6,10,36,1329,360,41,122,51,755,234,68,152,14,626,439,437,0,2,2816,0,574,762,1299,2061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milwaukee Police Department,2023-04-01,Wisconsin,558698,WIMPD00,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,0,5,2,40,38,2,108,60,5,8,35,1203,310,42,132,61,658,199,63,125,11,553,423,422,1,0,2533,0,545,698,1175,1873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Milwaukee Police Department,2023-03-01,Wisconsin,558698,WIMPD00,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,0,18,0,36,35,1,107,65,6,6,30,1116,339,46,89,41,601,167,73,85,9,612,372,372,0,0,2428,0,515,676,1151,1827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
