agency,year,state,population,ORI,card_unfounded_pt,card_unfounded_type,card_actual_type,card_officers_type,card_actual_pt,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burglary_total,actual_burglary_force_entry,actual_burglary_nonforce_entry,actual_burglary_attempted,actual_theft_total,actual_motor_vehicle_theft_total,actual_motor_vehicle_theft_car,actual_motor_vehicle_theft_truck,actual_motor_vehicle_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,unfounded_murder,unfounded_manslaughter,unfounded_rape_total,unfounded_rape_by_force,unfounded_rape_attempted,unfounded_robbery_total,unfounded_robbery_with_a_gun,unfounded_robbery_with_a_knife,unfounded_robbery_other_weapon,unfounded_robbery_unarmed,unfounded_assault_total,unfounded_assault_with_a_gun,unfounded_assault_with_a_knife,unfounded_assault_other_weapon,unfounded_assault_unarmed,unfounded_assault_simple,unfounded_burglary_total,unfounded_burglary_force_entry,unfounded_burglary_nonforce_entry,unfounded_burglary_attempted,unfounded_theft_total,unfounded_motor_vehicle_theft_total,unfounded_motor_vehicle_theft_car,unfounded_motor_vehicle_theft_truck,unfounded_motor_vehicle_theft_other,unfounded_all_crimes,unfounded_theft_under50_dollar,unfounded_assault_aggravated,unfounded_index_violent,unfounded_index_property,unfounded_index_total
Toledo Police Department,2023-12-01,Ohio,264341,OH04807,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,0,5,0,25,24,1,20,8,0,2,10,1038,100,21,60,19,838,106,57,44,5,380,123,123,0,0,1697,0,200,250,609,859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toledo Police Department,2023-11-01,Ohio,264341,OH04807,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,0,4,0,26,26,0,28,6,3,4,15,1115,78,30,55,12,940,133,80,49,4,449,196,196,0,0,1951,0,175,233,778,1011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toledo Police Department,2023-10-01,Ohio,264341,OH04807,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,0,0,0,27,26,1,26,11,1,2,12,1270,123,28,31,16,1072,111,60,47,4,496,141,141,0,0,2071,0,198,251,748,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toledo Police Department,2023-09-01,Ohio,264341,OH04807,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,0,5,0,20,20,0,26,9,0,2,15,1295,96,30,45,10,1114,99,50,47,2,487,97,96,0,1,2029,0,181,232,683,915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toledo Police Department,2023-08-01,Ohio,264341,OH04807,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,0,7,0,25,25,0,21,12,1,1,7,1191,92,32,65,17,985,122,68,52,2,469,95,95,0,0,1930,0,206,259,686,945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toledo Police Department,2023-07-01,Ohio,264341,OH04807,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,0,3,0,25,25,0,43,21,3,4,15,1165,91,35,49,16,974,111,62,48,1,404,139,138,0,1,1890,0,191,262,654,916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toledo Police Department,2023-06-01,Ohio,264341,OH04807,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,0,2,0,28,28,0,31,9,1,5,16,1208,98,47,50,15,998,101,61,38,2,486,111,111,0,0,1967,0,210,271,698,969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toledo Police Department,2023-05-01,Ohio,264341,OH04807,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,0,2,0,23,23,0,37,12,4,5,16,1460,145,27,59,21,1208,104,66,38,0,451,105,105,0,0,2182,0,252,314,660,974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toledo Police Department,2023-04-01,Ohio,264341,OH04807,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,0,5,0,18,18,0,24,11,2,4,7,1234,152,21,41,17,1003,90,57,31,2,392,98,98,0,0,1861,0,231,278,580,858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toledo Police Department,2023-03-01,Ohio,264341,OH04807,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,0,0,0,26,26,0,30,8,2,6,14,1095,80,39,35,15,926,99,60,39,0,414,100,100,0,0,1764,0,169,225,613,838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toledo Police Department,2023-02-01,Ohio,264341,OH04807,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,0,2,0,22,22,0,19,8,0,2,9,988,74,22,34,13,845,90,55,33,2,408,69,69,0,0,1598,0,143,186,567,753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toledo Police Department,2023-01-01,Ohio,264341,OH04807,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,0,1,0,21,20,1,34,18,0,1,15,1101,150,31,20,8,892,123,72,47,4,405,111,111,0,0,1796,0,209,265,639,904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toledo Police Department,2022-12-01,Ohio,266984,OH04807,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,0,4,0,19,19,0,38,14,1,7,16,990,87,20,20,9,854,128,88,39,1,426,94,93,0,1,1699,0,136,197,648,845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toledo Police Department,2022-11-01,Ohio,266984,OH04807,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,0,5,0,21,21,0,37,16,2,3,16,969,106,26,34,13,790,126,73,47,6,463,125,125,0,0,1746,0,179,242,714,956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toledo Police Department,2022-10-01,Ohio,266984,OH04807,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,0,9,0,30,30,0,46,20,2,4,20,1224,122,42,34,17,1009,116,84,32,0,514,96,96,0,0,2035,0,215,300,726,1026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toledo Police Department,2022-09-01,Ohio,266984,OH04807,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,0,7,0,26,26,0,37,16,3,3,15,1208,121,33,37,15,1002,144,94,47,3,461,82,80,0,2,1965,0,206,276,687,963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toledo Police Department,2022-08-01,Ohio,266984,OH04807,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,0,6,0,23,23,0,34,7,4,0,23,1385,130,31,38,16,1170,126,75,51,0,515,114,113,0,1,2203,0,215,278,755,1033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toledo Police Department,2022-07-01,Ohio,266984,OH04807,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,0,8,0,20,20,0,44,14,3,6,21,1495,149,43,43,16,1244,168,101,66,1,547,120,120,0,0,2402,0,251,323,835,1158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toledo Police Department,2022-06-01,Ohio,266984,OH04807,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,0,2,0,17,16,1,37,14,3,1,19,1385,122,28,38,14,1183,148,95,52,1,516,86,85,0,1,2191,0,202,258,750,1008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toledo Police Department,2022-05-01,Ohio,266984,OH04807,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,0,7,0,20,20,0,50,19,5,4,22,1411,152,37,25,18,1179,141,87,51,3,503,92,91,0,1,2224,0,232,309,736,1045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
