agency,year,state,population,ORI,card_unfounded_pt,card_unfounded_type,card_actual_type,card_officers_type,card_actual_pt,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_motor_vehicle_theft_total,actual_motor_vehicle_theft_car,actual_motor_vehicle_theft_truck,actual_motor_vehicle_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,unfounded_murder,unfounded_manslaughter,unfounded_rape_total,unfounded_rape_by_force,unfounded_rape_attempted,unfounded_robbery_total,unfounded_robbery_with_a_gun,unfounded_robbery_with_a_knife,unfounded_robbery_other_weapon,unfounded_robbery_unarmed,unfounded_assault_total,unfounded_assault_with_a_gun,unfounded_assault_with_a_knife,unfounded_assault_other_weapon,unfounded_assault_unarmed,unfounded_assault_simple,unfounded_burg_total,unfounded_burg_force_entry,unfounded_burg_nonforce_entry,unfounded_burg_attempted,unfounded_theft_total,unfounded_motor_vehicle_theft_total,unfounded_motor_vehicle_theft_car,unfounded_motor_vehicle_theft_truck,unfounded_motor_vehicle_theft_other,unfounded_all_crimes,unfounded_theft_under50_dollar,unfounded_assault_aggravated,unfounded_index_violent,unfounded_index_property,unfounded_index_total
San Jose Police Department,2022-12-01,California,956814,CA04313,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,0,0,0,76,75,1,126,25,6,15,80,798,29,43,129,28,569,315,230,76,9,1359,573,334,216,23,3247,0,229,431,2247,2678,0,0,8,8,0,1,1,0,0,0,7,0,0,1,0,6,0,0,0,0,0,7,5,2,0,23,0,1,10,7,17
San Jose Police Department,2022-11-01,California,956814,CA04313,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,0,3,0,59,58,1,100,16,9,14,61,751,48,34,90,36,543,343,270,63,10,1279,470,268,169,33,3005,0,208,370,2092,2462,0,0,8,7,1,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,8,6,1,1,20,0,0,8,8,16
San Jose Police Department,2022-10-01,California,956814,CA04313,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,0,4,0,83,82,1,97,21,5,9,62,833,38,44,106,47,598,297,211,76,10,1268,566,313,221,32,3148,0,235,419,2131,2550,0,0,14,14,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,1,13,9,2,2,38,0,0,14,14,28
San Jose Police Department,2022-09-01,California,956814,CA04313,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,0,2,0,88,87,1,106,18,8,8,72,851,48,70,96,31,606,286,211,61,14,1372,557,254,287,16,3262,0,245,441,2215,2656,0,0,7,6,1,1,0,0,0,1,6,0,1,0,0,5,0,0,0,0,1,8,6,2,0,23,0,1,9,9,18
San Jose Police Department,2022-08-01,California,956814,CA04313,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,0,1,0,81,79,2,108,23,13,7,65,858,40,59,111,33,615,287,206,74,7,1323,590,288,266,36,3248,0,243,433,2200,2633,0,0,6,6,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,2,9,4,4,1,21,0,0,6,11,17
San Jose Police Department,2022-07-01,California,956814,CA04313,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,0,6,0,73,73,0,107,13,16,5,73,793,48,50,116,32,547,304,219,77,8,1254,583,302,258,23,3120,0,246,432,2141,2573,0,0,3,3,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,7,5,2,0,13,0,1,5,8,13
San Jose Police Department,2022-06-01,California,956814,CA04313,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,0,7,0,76,76,0,108,28,9,8,63,887,50,71,116,35,615,289,222,57,10,1233,461,241,194,26,3061,0,272,463,1983,2446,1,0,4,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,8,8,0,0,15,0,0,5,9,14
San Jose Police Department,2022-05-01,California,956814,CA04313,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,0,4,0,66,66,0,90,20,10,7,53,872,60,72,103,31,606,328,244,72,12,1267,521,283,214,24,3148,0,266,426,2116,2542,0,0,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,7,1,0,12,0,0,4,8,12
San Jose Police Department,2022-04-01,California,956814,CA04313,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,0,4,0,72,72,0,85,12,9,8,56,789,59,72,83,17,558,358,285,67,6,1161,484,236,215,33,2953,0,231,392,2003,2395,0,0,5,5,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,13,12,1,0,22,0,0,5,13,18
San Jose Police Department,2022-03-01,California,956814,CA04313,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,0,3,0,86,86,0,109,16,10,12,71,866,51,39,108,26,642,320,231,75,14,1239,530,269,224,37,3153,0,224,422,2089,2511,0,0,3,3,0,1,1,0,0,0,6,0,0,0,1,5,0,0,0,0,1,10,7,3,0,21,0,1,5,11,16
San Jose Police Department,2022-02-01,California,956814,CA04313,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,0,1,0,76,76,0,101,35,5,8,53,703,46,48,85,21,503,345,278,57,10,1036,499,279,196,24,2761,0,200,378,1880,2258,0,0,4,4,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,10,10,0,0,18,0,0,4,12,16
San Jose Police Department,2022-01-01,California,956814,CA04313,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,0,0,0,58,58,0,127,38,12,8,69,745,67,56,94,37,491,412,320,83,9,1219,635,312,294,29,3196,0,254,439,2266,2705,1,0,6,6,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,9,7,2,0,20,0,0,7,9,16
San Jose Police Department,2021-12-01,California,,CA04313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Jose Police Department,2021-11-01,California,,CA04313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Jose Police Department,2021-10-01,California,,CA04313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Jose Police Department,2021-09-01,California,,CA04313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Jose Police Department,2021-08-01,California,,CA04313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Jose Police Department,2021-07-01,California,,CA04313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Jose Police Department,2021-06-01,California,,CA04313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Jose Police Department,2021-05-01,California,,CA04313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Jose Police Department,2021-04-01,California,,CA04313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Jose Police Department,2021-03-01,California,,CA04313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Jose Police Department,2021-02-01,California,,CA04313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Jose Police Department,2021-01-01,California,,CA04313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Jose Police Department,2020-12-01,California,1029542,CA04313,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,27,2,0,39,39,0,103,42,12,7,42,652,50,61,96,17,428,401,307,79,15,1225,692,455,216,21,3114,0,224,368,2318,2686,0,0,2,2,0,0,0,0,0,0,2,0,1,0,0,1,1,0,1,0,1,15,13,2,0,21,0,1,3,17,20
San Jose Police Department,2020-11-01,California,1029542,CA04313,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,31,5,0,47,47,0,113,33,16,9,55,647,59,39,93,6,450,400,305,85,10,1052,655,422,211,22,2919,0,197,362,2107,2469,0,0,2,2,0,1,0,0,0,1,2,0,0,0,0,2,1,1,0,0,2,8,7,1,0,16,0,0,3,11,14
San Jose Police Department,2020-10-01,California,1029542,CA04313,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,29,4,0,43,43,0,91,23,11,8,49,755,74,52,125,8,496,316,223,80,13,974,651,396,224,31,2834,0,259,397,1941,2338,0,0,5,5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,7,4,3,0,13,0,0,5,7,12
San Jose Police Department,2020-09-01,California,1029542,CA04313,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,33,7,0,47,47,0,89,17,11,8,53,750,56,54,92,30,518,345,267,73,5,917,560,362,179,19,2715,0,232,375,1822,2197,0,0,3,3,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,11,10,1,0,16,0,1,4,12,16
San Jose Police Department,2020-08-01,California,1029542,CA04313,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,25,2,1,65,65,0,113,20,13,10,70,876,81,73,130,14,578,287,211,66,10,978,579,381,172,26,2901,0,298,478,1844,2322,0,0,4,4,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,22,19,3,0,29,0,0,5,24,29
San Jose Police Department,2020-07-01,California,1029542,CA04313,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,33,5,0,66,66,0,88,19,9,11,49,779,58,51,97,21,552,352,211,131,10,1181,821,531,251,39,3292,0,227,386,2354,2740,0,0,4,4,0,0,0,0,0,0,6,0,1,1,0,4,0,0,0,0,0,13,11,2,0,23,0,2,6,13,19
San Jose Police Department,2020-06-01,California,1029542,CA04313,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,37,3,0,50,50,0,106,24,9,12,61,700,55,42,106,19,478,358,264,77,17,1125,733,456,235,42,3075,0,222,381,2216,2597,1,0,6,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,0,1,18,0,0,8,10,18
San Jose Police Department,2020-05-01,California,1029542,CA04313,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,25,4,0,33,33,0,91,17,9,13,52,743,60,41,103,14,525,312,216,75,21,1040,581,402,154,25,2804,0,218,346,1933,2279,1,0,9,9,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,6,1,0,19,0,0,12,7,19
San Jose Police Department,2020-04-01,California,1029542,CA04313,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,25,1,0,29,29,0,100,19,9,15,57,647,46,44,76,9,472,357,253,87,17,890,520,350,146,24,2544,0,175,305,1767,2072,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,0,13,0,0,9,4,13
San Jose Police Department,2020-03-01,California,1029542,CA04313,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,30,2,0,54,54,0,88,19,10,14,45,722,25,33,80,16,568,310,232,69,9,961,437,311,113,13,2574,0,154,298,1708,2006,0,0,7,7,0,1,0,0,0,1,6,0,0,2,0,4,0,0,0,0,0,5,3,2,0,19,0,2,10,5,15
San Jose Police Department,2020-02-01,California,1029542,CA04313,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,22,3,0,47,47,0,89,14,14,12,49,673,28,56,82,16,491,283,207,62,14,1036,433,304,111,18,2564,0,182,321,1752,2073,0,0,3,2,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,16,15,1,0,21,0,2,5,16,21
San Jose Police Department,2020-01-01,California,1029542,CA04313,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,23,2,1,46,46,0,114,25,14,11,64,783,26,50,92,28,587,324,222,84,18,1358,403,328,63,12,3031,0,196,358,2085,2443,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,5,0,0,0,0,1,13,9,3,1,21,0,2,2,14,16
San Jose Police Department,2019-12-01,California,1040008,CA04313,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,18,3,0,69,69,0,113,25,9,13,66,702,36,30,103,16,517,372,268,83,21,1423,485,320,146,19,3167,0,185,370,2280,2650,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,2,20,16,3,1,24,0,0,0,23,23
San Jose Police Department,2019-12-01,California,1040008,CA04313,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,18,3,0,69,69,0,113,25,9,13,66,702,36,30,103,16,517,372,268,83,21,1423,485,320,146,19,3167,0,185,370,2280,2650,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,2,20,16,3,1,24,0,0,0,23,23
San Jose Police Department,2019-11-01,California,1040008,CA04313,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,35,0,0,60,60,0,112,27,13,13,59,727,34,37,95,16,545,303,211,80,12,1247,441,288,133,20,2890,0,182,354,1991,2345,1,0,0,0,0,0,0,0,0,0,7,0,1,1,0,5,0,0,0,0,0,14,9,4,1,22,0,2,3,14,17
