agency,year,state,population,ORI,card_unfounded_pt,card_unfounded_type,card_actual_type,card_total_cleared_type,card_cleared_18_type,card_officers_type,card_actual_pt,card_total_cleared_pt,card_cleared_18_pt,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burglary_total,actual_burglary_force_entry,actual_burglary_nonforce_entry,actual_burglary_attempted,actual_theft_total,actual_motor_vehicle_theft_total,actual_motor_vehicle_theft_car,actual_motor_vehicle_theft_truck,actual_motor_vehicle_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,total_cleared_murder,total_cleared_manslaughter,total_cleared_rape_total,total_cleared_rape_by_force,total_cleared_rape_attempted,total_cleared_robbery_total,total_cleared_robbery_with_a_gun,total_cleared_robbery_with_a_knife,total_cleared_robbery_other_weapon,total_cleared_robbery_unarmed,total_cleared_assault_total,total_cleared_assault_with_a_gun,total_cleared_assault_with_a_knife,total_cleared_assault_other_weapon,total_cleared_assault_unarmed,total_cleared_assault_simple,total_cleared_burglary_total,total_cleared_burglary_force_entry,total_cleared_burglary_nonforce_entry,total_cleared_burglary_attempted,total_cleared_theft_total,total_cleared_motor_vehicle_theft_total,total_cleared_motor_vehicle_theft_car,total_cleared_motor_vehicle_theft_truck,total_cleared_motor_vehicle_theft_other,total_cleared_all_crimes,total_cleared_theft_under50_dollar,total_cleared_assault_aggravated,total_cleared_index_violent,total_cleared_index_property,total_cleared_index_total,cleared_18_murder,cleared_18_manslaughter,cleared_18_rape_total,cleared_18_rape_by_force,cleared_18_rape_attempted,cleared_18_robbery_total,cleared_18_robbery_with_a_gun,cleared_18_robbery_with_a_knife,cleared_18_robbery_other_weapon,cleared_18_robbery_unarmed,cleared_18_assault_total,cleared_18_assault_with_a_gun,cleared_18_assault_with_a_knife,cleared_18_assault_other_weapon,cleared_18_assault_unarmed,cleared_18_assault_simple,cleared_18_burglary_total,cleared_18_burglary_force_entry,cleared_18_burglary_nonforce_entry,cleared_18_burglary_attempted,cleared_18_theft_total,cleared_18_motor_vehicle_theft_total,cleared_18_motor_vehicle_theft_car,cleared_18_motor_vehicle_theft_truck,cleared_18_motor_vehicle_theft_other,cleared_18_all_crimes,cleared_18_theft_under50_dollar,cleared_18_assault_aggravated,cleared_18_index_violent,cleared_18_index_property,cleared_18_index_total,unfounded_murder,unfounded_manslaughter,unfounded_rape_total,unfounded_rape_by_force,unfounded_rape_attempted,unfounded_robbery_total,unfounded_robbery_with_a_gun,unfounded_robbery_with_a_knife,unfounded_robbery_other_weapon,unfounded_robbery_unarmed,unfounded_assault_total,unfounded_assault_with_a_gun,unfounded_assault_with_a_knife,unfounded_assault_other_weapon,unfounded_assault_unarmed,unfounded_assault_simple,unfounded_burglary_total,unfounded_burglary_force_entry,unfounded_burglary_nonforce_entry,unfounded_burglary_attempted,unfounded_theft_total,unfounded_motor_vehicle_theft_total,unfounded_motor_vehicle_theft_car,unfounded_motor_vehicle_theft_truck,unfounded_motor_vehicle_theft_other,unfounded_all_crimes,unfounded_theft_under50_dollar,unfounded_assault_aggravated,unfounded_index_violent,unfounded_index_property,unfounded_index_total
Mckinney Police Department,2017-01-01,Texas,179934,TX04305,breakdown offenses,normal return,normal return,normal return,normal return,normal return,breakdown offenses,breakdown offenses,breakdown offenses,0,0,0,0,0,7,7,0,7,2,1,0,4,77,1,3,1,2,70,23,12,8,3,163,22,14,7,1,299,0,7,21,208,229,0,0,1,1,0,3,2,0,0,1,73,1,2,2,1,67,4,3,1,0,24,4,3,1,0,109,0,6,10,32,42,0,0,0,0,0,1,0,0,0,1,6,0,0,0,0,6,0,0,0,0,4,0,0,0,0,11,0,0,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mckinney Police Department,2017-02-01,Texas,179934,TX04305,breakdown offenses,normal return,normal return,normal return,normal return,normal return,breakdown offenses,breakdown offenses,breakdown offenses,0,0,0,1,0,1,1,0,11,6,1,0,4,92,4,5,1,1,81,25,9,14,2,149,10,6,3,1,289,0,11,24,184,208,1,0,1,1,0,3,0,1,0,2,50,2,2,2,0,44,1,0,1,0,20,4,4,0,0,80,0,6,11,25,36,0,0,1,1,0,1,0,0,0,1,5,0,0,0,0,5,0,0,0,0,1,1,1,0,0,9,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mckinney Police Department,2017-03-01,Texas,179934,TX04305,breakdown offenses,normal return,normal return,normal return,normal return,normal return,breakdown offenses,breakdown offenses,breakdown offenses,0,0,0,0,0,9,9,0,0,0,0,0,0,82,9,5,1,1,66,19,7,10,2,164,10,7,2,1,284,0,16,25,193,218,0,0,2,2,0,0,0,0,0,0,46,3,5,1,0,37,2,2,0,0,16,1,1,0,0,67,0,9,11,19,30,0,0,1,1,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,2,0,0,0,0,12,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mckinney Police Department,2017-04-01,Texas,179934,TX04305,breakdown offenses,normal return,normal return,normal return,normal return,normal return,breakdown offenses,breakdown offenses,breakdown offenses,0,0,0,0,0,4,4,0,5,2,1,1,1,95,2,1,2,1,89,32,15,14,3,128,17,13,4,0,281,0,6,15,177,192,0,0,0,0,0,0,0,0,0,0,61,0,1,2,1,57,2,0,2,0,25,2,1,1,0,90,0,4,4,29,33,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,1,0,1,0,2,0,0,0,0,12,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mckinney Police Department,2017-05-01,Texas,179934,TX04305,breakdown offenses,normal return,normal return,normal return,normal return,normal return,breakdown offenses,breakdown offenses,breakdown offenses,0,0,0,0,0,6,6,0,6,4,0,0,2,96,2,3,1,2,88,23,13,9,1,182,16,13,1,2,329,0,8,20,221,241,0,0,0,0,0,2,1,1,0,0,53,1,2,1,1,48,3,2,1,0,24,6,5,1,0,88,0,5,7,33,40,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,1,0,1,0,7,3,2,1,0,23,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mckinney Police Department,2017-06-01,Texas,179934,TX04305,breakdown offenses,normal return,normal return,normal return,normal return,normal return,breakdown offenses,breakdown offenses,breakdown offenses,0,0,0,0,0,3,3,0,6,5,0,1,0,93,5,6,4,0,78,30,12,17,1,167,11,9,1,1,310,0,15,24,208,232,0,0,3,3,0,0,0,0,0,0,76,2,2,3,1,68,3,1,1,1,35,1,1,0,0,118,0,8,11,39,50,0,0,2,2,0,0,0,0,0,0,13,0,0,0,1,12,0,0,0,0,4,0,0,0,0,19,0,1,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mckinney Police Department,2017-07-01,Texas,179934,TX04305,breakdown offenses,normal return,normal return,normal return,normal return,normal return,breakdown offenses,breakdown offenses,breakdown offenses,0,0,0,0,0,6,6,0,3,3,0,0,0,78,8,5,4,0,61,26,12,13,1,178,14,12,2,0,305,0,17,26,218,244,0,0,2,2,0,2,2,0,0,0,40,1,3,1,0,35,3,0,3,0,21,7,6,1,0,75,0,5,9,31,40,0,0,1,1,0,1,1,0,0,0,4,0,1,0,0,3,1,0,1,0,1,1,1,0,0,9,0,1,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mckinney Police Department,2017-08-01,Texas,179934,TX04305,breakdown offenses,normal return,normal return,normal return,normal return,normal return,breakdown offenses,breakdown offenses,breakdown offenses,0,0,0,0,0,3,2,1,10,6,3,0,1,100,5,9,2,0,84,23,10,13,0,178,8,7,1,0,322,0,16,29,209,238,0,0,4,4,0,2,2,0,0,0,64,5,9,0,0,50,4,1,3,0,33,4,4,0,0,111,0,14,20,41,61,0,0,2,2,0,0,0,0,0,0,6,1,0,0,0,5,0,0,0,0,3,2,2,0,0,13,0,1,3,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mckinney Police Department,2017-09-01,Texas,179934,TX04305,breakdown offenses,normal return,normal return,normal return,normal return,normal return,breakdown offenses,breakdown offenses,breakdown offenses,0,0,0,0,0,4,4,0,6,2,1,0,3,102,7,1,5,0,89,19,10,7,2,138,15,11,3,1,284,0,13,23,172,195,0,0,1,1,0,0,0,0,0,0,44,0,0,2,0,42,2,0,2,0,29,3,1,2,0,79,0,2,3,34,37,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,5,0,0,0,0,14,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mckinney Police Department,2017-10-01,Texas,179934,TX04305,breakdown offenses,normal return,normal return,normal return,normal return,normal return,breakdown offenses,breakdown offenses,breakdown offenses,0,0,0,0,0,6,6,0,5,2,2,0,1,105,6,10,3,1,85,26,21,5,0,173,5,4,1,0,320,0,20,31,204,235,0,0,0,0,0,5,2,2,0,1,105,3,7,2,0,93,3,3,0,0,31,0,0,0,0,144,0,12,17,34,51,0,0,0,0,0,2,0,2,0,0,17,0,1,0,0,16,0,0,0,0,6,0,0,0,0,25,0,1,3,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
