agency,year,state,population,ORI,card_unfounded_pt,card_unfounded_type,card_actual_type,card_officers_type,card_actual_pt,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burglary_total,actual_burglary_force_entry,actual_burglary_nonforce_entry,actual_burglary_attempted,actual_theft_total,actual_motor_vehicle_theft_total,actual_motor_vehicle_theft_car,actual_motor_vehicle_theft_truck,actual_motor_vehicle_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,unfounded_murder,unfounded_manslaughter,unfounded_rape_total,unfounded_rape_by_force,unfounded_rape_attempted,unfounded_robbery_total,unfounded_robbery_with_a_gun,unfounded_robbery_with_a_knife,unfounded_robbery_other_weapon,unfounded_robbery_unarmed,unfounded_assault_total,unfounded_assault_with_a_gun,unfounded_assault_with_a_knife,unfounded_assault_other_weapon,unfounded_assault_unarmed,unfounded_assault_simple,unfounded_burglary_total,unfounded_burglary_force_entry,unfounded_burglary_nonforce_entry,unfounded_burglary_attempted,unfounded_theft_total,unfounded_motor_vehicle_theft_total,unfounded_motor_vehicle_theft_car,unfounded_motor_vehicle_theft_truck,unfounded_motor_vehicle_theft_other,unfounded_all_crimes,unfounded_theft_under50_dollar,unfounded_assault_aggravated,unfounded_index_violent,unfounded_index_property,unfounded_index_total
Tampa Police Department,2023-12-01,Florida,403407,FL02902,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,0,0,0,16,16,0,23,9,1,1,12,591,35,37,22,7,490,54,28,21,5,490,65,56,0,9,1239,0,101,140,609,749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tampa Police Department,2023-11-01,Florida,403407,FL02902,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,0,6,0,5,5,0,14,7,1,0,6,552,53,34,26,7,432,55,38,16,1,431,46,39,1,6,1109,0,120,145,532,677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tampa Police Department,2023-10-01,Florida,403407,FL02902,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,0,6,0,17,16,1,24,8,5,0,11,724,76,34,47,10,557,58,28,22,8,476,68,63,0,5,1373,0,167,214,602,816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tampa Police Department,2023-09-01,Florida,403407,FL02902,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,0,2,1,16,16,0,19,9,0,2,8,583,39,30,31,6,477,61,39,16,6,393,67,62,0,5,1142,0,106,143,521,664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tampa Police Department,2023-08-01,Florida,403407,FL02902,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,0,2,0,12,12,0,33,14,1,2,16,608,48,30,38,7,485,108,76,29,3,457,85,80,0,5,1305,0,123,170,650,820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tampa Police Department,2023-07-01,Florida,403407,FL02902,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,0,5,0,17,17,0,22,11,0,2,9,652,67,32,31,5,517,74,44,22,8,485,87,72,1,14,1342,0,135,179,646,825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tampa Police Department,2023-06-01,Florida,403407,FL02902,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,0,7,0,17,16,1,20,4,3,0,13,595,56,30,38,7,464,57,40,17,0,460,62,53,0,9,1218,0,131,175,579,754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tampa Police Department,2023-05-01,Florida,403407,FL02902,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,0,3,0,21,20,1,26,9,3,2,12,621,56,27,23,8,507,73,36,37,0,457,69,60,3,6,1270,0,114,164,599,763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tampa Police Department,2023-04-01,Florida,403407,FL02902,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,0,3,0,19,18,1,25,9,3,1,12,609,48,24,20,8,509,66,32,34,0,458,76,64,0,12,1256,0,100,147,600,747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tampa Police Department,2023-03-01,Florida,403407,FL02902,breakdown offenses,normal return,normal return,normal return,breakdown offenses,0,0,0,3,2,10,10,0,17,4,3,0,10,609,67,35,23,5,479,58,33,25,0,459,64,57,2,5,1222,0,130,160,581,741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
