agency,year,state,population,ORI,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_mtr_veh_theft_total,actual_mtr_veh_theft_car,actual_mtr_veh_theft_truck,actual_mtr_veh_theft_other,actual_all_crimes,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,tot_clr_murder,tot_clr_manslaughter,tot_clr_rape_total,tot_clr_rape_by_force,tot_clr_rape_attempted,tot_clr_robbery_total,tot_clr_robbery_with_a_gun,tot_clr_robbery_with_a_knife,tot_clr_robbery_other_weapon,tot_clr_robbery_unarmed,tot_clr_assault_total,tot_clr_assault_with_a_gun,tot_clr_assault_with_a_knife,tot_clr_assault_other_weapon,tot_clr_assault_unarmed,tot_clr_assault_simple,tot_clr_burg_total,tot_clr_burg_force_entry,tot_clr_burg_nonforce_entry,tot_clr_burg_attempted,tot_clr_theft_total,tot_clr_mtr_veh_theft_total,tot_clr_mtr_veh_theft_car,tot_clr_mtr_veh_theft_truck,tot_clr_mtr_veh_theft_other,tot_clr_all_crimes,tot_clr_assault_aggravated,tot_clr_index_violent,tot_clr_index_property,tot_clr_index_total,clr_18_murder,clr_18_manslaughter,clr_18_rape_total,clr_18_rape_by_force,clr_18_rape_attempted,clr_18_robbery_total,clr_18_robbery_with_a_gun,clr_18_robbery_with_a_knife,clr_18_robbery_other_weapon,clr_18_robbery_unarmed,clr_18_assault_total,clr_18_assault_with_a_gun,clr_18_assault_with_a_knife,clr_18_assault_other_weapon,clr_18_assault_unarmed,clr_18_assault_simple,clr_18_burg_total,clr_18_burg_force_entry,clr_18_burg_nonforce_entry,clr_18_burg_attempted,clr_18_theft_total,clr_18_mtr_veh_theft_total,clr_18_mtr_veh_theft_car,clr_18_mtr_veh_theft_truck,clr_18_mtr_veh_theft_other,clr_18_all_crimes,clr_18_assault_aggravated,clr_18_index_violent,clr_18_index_property,clr_18_index_total,unfound_murder,unfound_manslaughter,unfound_rape_total,unfound_rape_by_force,unfound_rape_attempted,unfound_robbery_total,unfound_robbery_with_a_gun,unfound_robbery_with_a_knife,unfound_robbery_other_weapon,unfound_robbery_unarmed,unfound_assault_total,unfound_assault_with_a_gun,unfound_assault_with_a_knife,unfound_assault_other_weapon,unfound_assault_unarmed,unfound_assault_simple,unfound_burg_total,unfound_burg_force_entry,unfound_burg_nonforce_entry,unfound_burg_attempted,unfound_theft_total,unfound_mtr_veh_theft_total,unfound_mtr_veh_theft_car,unfound_mtr_veh_theft_truck,unfound_mtr_veh_theft_other,unfound_all_crimes,unfound_assault_aggravated,unfound_index_violent,unfound_index_property,unfound_index_total
Nevada County Sheriff's Office,2018-12-01,California,66431,CA02900,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,1,3,5,19,17,10,6,1,14,0,0,0,0,59,9,9,31,40,0,0,0,0,0,0,0,0,0,0,15,0,0,2,3,10,1,1,0,0,0,0,0,0,0,16,5,5,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Nevada County Sheriff's Office,2018-11-01,California,66431,CA02900,0,0,1,0,0,1,1,0,1,0,0,1,0,23,1,0,2,2,18,12,7,5,0,19,0,0,0,0,56,5,7,31,38,0,0,0,0,0,1,0,0,1,0,16,1,0,1,1,13,0,0,0,0,3,0,0,0,0,20,3,4,3,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,1,0,0,0,0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,1,1
Nevada County Sheriff's Office,2018-10-01,California,66431,CA02900,0,0,0,0,0,1,1,0,2,0,0,0,2,25,0,1,2,5,17,16,9,6,1,7,2,2,0,0,53,8,11,25,36,0,0,0,0,0,1,0,0,0,1,14,0,1,1,3,9,2,0,1,1,0,2,2,0,0,19,5,6,4,10,0,0,0,0,0,1,0,0,0,1,5,0,0,0,2,3,0,0,0,0,0,0,0,0,0,6,2,3,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,1,0,0,0,0,0,0,0,3,0,0,1,1
Nevada County Sheriff's Office,2018-09-01,California,66431,CA02900,0,0,2,0,1,2,2,0,0,0,0,0,0,48,0,0,5,15,28,20,11,6,3,14,0,0,0,0,85,20,22,34,56,0,0,0,0,0,0,0,0,0,0,21,0,0,3,7,11,0,0,0,0,2,0,0,0,0,23,10,10,2,12,0,0,0,0,0,0,0,0,0,0,6,0,0,1,1,4,0,0,0,0,1,0,0,0,0,7,2,2,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,2,0,0,0,0,0,0,3,0,0,2,2
Nevada County Sheriff's Office,2018-08-01,California,66431,CA02900,0,0,0,0,0,1,1,0,0,0,0,0,0,41,0,1,3,21,16,28,21,6,1,8,1,1,0,0,79,25,26,37,63,0,0,0,0,0,0,0,0,0,0,16,0,0,1,9,6,2,2,0,0,1,1,1,0,0,20,10,10,4,14,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,1,1,1,2
Nevada County Sheriff's Office,2018-07-01,California,66431,CA02900,0,0,0,0,0,1,1,0,1,1,0,0,0,27,0,1,1,9,16,16,11,4,1,14,0,0,0,0,59,11,13,30,43,0,0,0,0,0,1,1,0,0,0,13,0,0,1,5,7,2,1,1,0,1,0,0,0,0,17,6,7,3,10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,3,1,1,1,2
Nevada County Sheriff's Office,2018-06-01,California,66431,CA02900,0,0,0,0,0,1,1,0,0,0,0,0,0,17,0,0,2,3,12,16,9,5,2,11,1,1,0,0,46,5,6,28,34,1,0,0,0,0,0,0,0,0,0,7,0,0,0,1,6,3,1,1,1,0,0,0,0,0,11,1,2,3,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,2,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,1,2
Nevada County Sheriff's Office,2018-05-01,California,66431,CA02900,0,0,1,1,0,1,1,0,0,0,0,0,0,31,1,0,3,12,15,13,9,4,0,22,0,0,0,0,68,16,18,35,53,3,0,0,0,0,0,0,0,0,0,19,2,0,2,9,6,2,2,0,0,2,0,0,0,0,26,13,16,4,20,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Nevada County Sheriff's Office,2018-04-01,California,66431,CA02900,0,0,3,0,0,2,2,0,0,0,0,0,0,24,0,0,2,3,19,8,5,2,1,16,2,1,0,1,52,5,7,26,33,0,0,0,0,0,0,0,0,0,0,11,0,0,2,3,6,0,0,0,0,1,0,0,0,0,12,5,5,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nevada County Sheriff's Office,2018-03-01,California,66431,CA02900,0,0,0,0,0,3,3,0,1,0,0,0,1,19,3,0,3,2,11,15,8,6,1,30,0,0,0,0,68,8,12,45,57,0,0,0,0,0,0,0,0,0,0,15,2,0,4,2,7,1,0,1,0,2,0,0,0,0,18,8,8,3,11,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,1,0,1,0,0,0,0,0,0,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,1,1
