agency,year,state,population,ORI,card_unfounded_pt,card_unfounded_type,card_actual_type,card_officers_type,card_actual_pt,officers_killed_by_felony,officers_killed_by_accident,officers_assaulted,actual_murder,actual_manslaughter,actual_rape_total,actual_rape_by_force,actual_rape_attempted,actual_robbery_total,actual_robbery_with_a_gun,actual_robbery_with_a_knife,actual_robbery_other_weapon,actual_robbery_unarmed,actual_assault_total,actual_assault_with_a_gun,actual_assault_with_a_knife,actual_assault_other_weapon,actual_assault_unarmed,actual_assault_simple,actual_burg_total,actual_burg_force_entry,actual_burg_nonforce_entry,actual_burg_attempted,actual_theft_total,actual_motor_vehicle_theft_total,actual_motor_vehicle_theft_car,actual_motor_vehicle_theft_truck,actual_motor_vehicle_theft_other,actual_all_crimes,actual_theft_under50_dollar,actual_assault_aggravated,actual_index_violent,actual_index_property,actual_index_total,unfounded_murder,unfounded_manslaughter,unfounded_rape_total,unfounded_rape_by_force,unfounded_rape_attempted,unfounded_robbery_total,unfounded_robbery_with_a_gun,unfounded_robbery_with_a_knife,unfounded_robbery_other_weapon,unfounded_robbery_unarmed,unfounded_assault_total,unfounded_assault_with_a_gun,unfounded_assault_with_a_knife,unfounded_assault_other_weapon,unfounded_assault_unarmed,unfounded_assault_simple,unfounded_burg_total,unfounded_burg_force_entry,unfounded_burg_nonforce_entry,unfounded_burg_attempted,unfounded_theft_total,unfounded_motor_vehicle_theft_total,unfounded_motor_vehicle_theft_car,unfounded_motor_vehicle_theft_truck,unfounded_motor_vehicle_theft_other,unfounded_all_crimes,unfounded_theft_under50_dollar,unfounded_assault_aggravated,unfounded_index_violent,unfounded_index_property,unfounded_index_total
Honolulu County Rural,1970-12-01,Hawaii,305657,HI0020A,,not updated,normal return,not updated,breakdown offenses,0,0,0,1,0,6,5,1,8,5,0,0,3,142,7,1,1,1,132,365,306,45,14,712,111,111,0,0,1213,460,10,25,1188,1213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honolulu County Rural,1970-11-01,Hawaii,305657,HI0020A,,not updated,normal return,not updated,breakdown offenses,0,0,0,3,0,4,3,1,19,14,0,0,5,125,1,1,0,1,122,268,214,39,15,579,88,88,0,0,964,344,3,29,935,964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honolulu County Rural,1970-10-01,Hawaii,305657,HI0020A,,not updated,normal return,not updated,breakdown offenses,0,0,0,1,0,2,2,0,14,9,0,0,5,182,5,4,0,0,173,318,249,52,17,634,104,104,0,0,1082,378,9,26,1056,1082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honolulu County Rural,1970-09-01,Hawaii,305657,HI0020A,,not updated,normal return,not updated,breakdown offenses,0,0,0,1,0,2,2,0,5,2,0,0,3,178,2,3,2,1,170,259,208,44,7,699,84,84,0,0,1058,434,8,16,1042,1058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honolulu County Rural,1970-08-01,Hawaii,305657,HI0020A,,not updated,normal return,not updated,breakdown offenses,0,0,0,2,0,3,3,0,11,11,0,0,0,158,2,6,3,0,147,224,179,36,9,727,101,101,0,0,1079,442,11,27,1052,1079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honolulu County Rural,1970-07-01,Hawaii,305657,HI0020A,,not updated,normal return,not updated,breakdown offenses,0,0,0,1,0,2,2,0,3,2,0,0,1,143,1,1,2,0,139,265,203,42,20,756,90,90,0,0,1121,432,4,10,1111,1121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honolulu County Rural,1970-06-01,Hawaii,305657,HI0020A,,not updated,normal return,not updated,breakdown offenses,0,0,0,0,0,0,0,0,6,6,0,0,0,121,2,0,0,0,119,252,199,43,10,658,73,73,0,0,991,413,2,8,983,991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honolulu County Rural,1970-05-01,Hawaii,305657,HI0020A,,not updated,normal return,not updated,breakdown offenses,0,0,0,0,0,0,0,0,7,2,0,0,5,167,1,4,3,1,158,314,248,53,13,704,77,77,0,0,1111,442,9,16,1095,1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honolulu County Rural,1970-04-01,Hawaii,305657,HI0020A,,not updated,normal return,not updated,breakdown offenses,0,0,0,0,0,4,4,0,7,2,0,0,5,161,2,4,3,0,152,259,203,38,18,695,74,74,0,0,1048,456,9,20,1028,1048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honolulu County Rural,1970-03-01,Hawaii,305657,HI0020A,,not updated,normal return,not updated,breakdown offenses,0,0,0,0,0,2,2,0,6,5,0,0,1,158,2,3,0,0,153,267,205,46,16,721,124,124,0,0,1125,467,5,13,1112,1125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
